      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 08:31:11  -104702.972861*       0.9467
FIRE:    1 08:37:54  -104702.973524*       0.8267
FIRE:    2 08:41:51  -104702.976020*       0.4721
FIRE:    3 08:46:50  -104702.977134*       0.2005
FIRE:    4 08:50:04  -104702.977212*       0.1540
FIRE:    5 08:54:33  -104702.977283*       0.1319
FIRE:    6 08:59:04  -104702.977374*       0.0838
FIRE:    7 09:02:49  -104702.977458*       0.0767
FIRE:    8 09:06:02  -104702.977545*       0.0732
FIRE:    9 09:09:39  -104702.977632*       0.1068
FIRE:   10 09:13:04  -104702.977733*       0.1092
FIRE:   11 09:16:17  -104702.977865*       0.0997
FIRE:   12 09:19:35  -104702.978019*       0.0705
FIRE:   13 09:22:25  -104702.978132*       0.0316
