      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 23:02:50  -107070.189054*       1.7140
FIRE:    1 23:07:27  -107070.231051*       1.2117
FIRE:    2 23:12:15  -107070.284995*       1.1052
FIRE:    3 23:18:17  -107070.345933*       0.6730
FIRE:    4 23:23:04  -107070.386452*       0.8165
FIRE:    5 23:27:50  -107070.421611*       0.6172
FIRE:    6 23:32:57  -107070.448558*       0.5495
FIRE:    7 23:39:14  -107070.475877*       0.3902
FIRE:    8 23:45:09  -107070.498578*       0.5267
FIRE:    9 23:50:19  -107070.514970*       0.2974
FIRE:   10 23:55:43  -107070.512791*       0.3340
FIRE:   11 23:58:45  -107070.513960*       0.2379
FIRE:   12 00:02:18  -107070.515427*       0.1925
FIRE:   13 00:06:24  -107070.516726*       0.2607
FIRE:   14 00:10:07  -107070.518212*       0.2825
FIRE:   15 00:13:48  -107070.519900*       0.1896
FIRE:   16 00:17:57  -107070.521098*       0.1211
FIRE:   17 00:21:30  -107070.521699*       0.2067
FIRE:   18 00:25:34  -107070.522431*       0.1863
FIRE:   19 00:29:31  -107070.523178*       0.0969
FIRE:   20 00:33:43  -107070.523649*       0.1676
FIRE:   21 00:35:57  -107070.523783*       0.1393
FIRE:   22 00:38:25  -107070.523975*       0.0921
FIRE:   23 00:41:05  -107070.524161*       0.0894
FIRE:   24 00:43:50  -107070.524311*       0.1036
FIRE:   25 00:47:04  -107070.524485*       0.1233
FIRE:   26 00:51:18  -107070.524680*       0.1270
FIRE:   27 00:54:04  -107070.524867*       0.1112
FIRE:   28 00:57:17  -107070.525117*       0.0430
