      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 04:44:41  -104453.321011*       0.8525
FIRE:    1 04:51:04  -104453.331775*       0.6072
FIRE:    2 04:58:32  -104453.343483*       0.3625
FIRE:    3 05:04:48  -104453.349795*       0.1113
FIRE:    4 05:10:49  -104453.349420*       0.2736
FIRE:    5 05:15:43  -104453.349843*       0.2485
FIRE:    6 05:21:37  -104453.350501*       0.2248
FIRE:    7 05:26:35  -104453.351131*       0.1926
FIRE:    8 05:31:56  -104453.351700*       0.1943
FIRE:    9 05:37:12  -104453.352282*       0.1812
FIRE:   10 05:41:13  -104453.352904*       0.1667
FIRE:   11 05:47:13  -104453.353490*       0.1069
FIRE:   12 05:52:29  -104453.353918*       0.1124
FIRE:   13 05:56:29  -104453.354216*       0.1722
FIRE:   14 06:01:24  -104453.354628*       0.1664
FIRE:   15 06:07:06  -104453.355203*       0.1312
FIRE:   16 06:11:31  -104453.355827*       0.1427
FIRE:   17 06:15:42  -104453.356721*       0.1306
FIRE:   18 06:21:49  -104453.357725*       0.0754
FIRE:   19 06:27:48  -104453.358524*       0.1051
FIRE:   20 06:32:54  -104453.359227*       0.0757
FIRE:   21 06:38:08  -104453.359921*       0.0805
FIRE:   22 06:43:10  -104453.360641*       0.1142
FIRE:   23 06:48:46  -104453.361415*       0.0782
FIRE:   24 06:53:46  -104453.361963*       0.0565
FIRE:   25 06:58:28  -104453.362264*       0.0462
