      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 22:04:05  -155982.906391*       0.4525
FIRE:    1 22:10:27  -155982.906437*       0.4767
FIRE:    2 22:14:42  -155982.907271*       0.2513
FIRE:    3 22:18:17  -155982.907577*       0.1516
FIRE:    4 22:22:27  -155982.907612*       0.1561
FIRE:    5 22:24:52  -155982.907660*       0.1346
FIRE:    6 22:27:36  -155982.907716*       0.0991
FIRE:    7 22:30:29  -155982.907762*       0.0930
FIRE:    8 22:33:25  -155982.907812*       0.0956
FIRE:    9 22:36:20  -155982.907858*       0.0956
FIRE:   10 22:40:01  -155982.907922*       0.1018
FIRE:   11 22:44:41  -155982.908017*       0.0960
FIRE:   12 22:47:38  -155982.908133*       0.0959
FIRE:   13 22:51:12  -155982.908265*       0.0878
FIRE:   14 22:56:39  -155982.908404*       0.1061
FIRE:   15 23:03:11  -155982.908579*       0.1186
FIRE:   16 23:06:15  -155982.908787*       0.1109
FIRE:   17 23:10:10  -155982.909057*       0.0821
FIRE:   18 23:15:05  -155982.909342*       0.1065
FIRE:   19 23:19:44  -155982.909696*       0.0811
FIRE:   20 23:25:10  -155982.910090*       0.0979
FIRE:   21 23:30:20  -155982.910528*       0.1124
FIRE:   22 23:35:10  -155982.911046*       0.1121
FIRE:   23 23:39:31  -155982.911664*       0.0969
FIRE:   24 23:45:20  -155982.912358*       0.1019
FIRE:   25 23:50:13  -155982.913163*       0.0865
FIRE:   26 23:55:31  -155982.913970*       0.1040
FIRE:   27 00:01:01  -155982.914802*       0.1268
FIRE:   28 00:06:35  -155982.915316*       0.3215
FIRE:   29 00:11:42  -155982.915780*       0.0515
FIRE:   30 00:18:49  -155982.915502*       0.2872
FIRE:   31 00:22:28  -155982.915655*       0.2255
FIRE:   32 00:27:31  -155982.915825*       0.0975
FIRE:   33 00:31:28  -155982.915877*       0.0812
FIRE:   34 00:33:48  -155982.915880*       0.0545
FIRE:   35 00:36:16  -155982.915884*       0.0781
FIRE:   36 00:38:27  -155982.915890*       0.0494
