      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 19:34:29  -159631.927574*       8.9249
FIRE:    1 19:40:11  -159632.652788*       2.9805
FIRE:    2 19:43:47  -159632.682074*       1.7475
FIRE:    3 19:49:25  -159632.707575*       1.5597
FIRE:    4 19:53:26  -159632.728298*       2.2014
FIRE:    5 19:58:31  -159632.764413*       2.1057
FIRE:    6 20:04:44  -159632.810150*       1.1046
FIRE:    7 20:10:04  -159632.839524*       1.1191
FIRE:    8 20:14:47  -159632.853735*       1.5113
FIRE:    9 20:19:08  -159632.866479*       0.6015
FIRE:   10 20:24:11  -159632.854149*       1.4167
FIRE:   11 20:29:01  -159632.857280*       1.2058
FIRE:   12 20:32:38  -159632.862061*       0.9234
FIRE:   13 20:36:36  -159632.866597*       0.7786
FIRE:   14 20:40:59  -159632.869875*       0.6751
FIRE:   15 20:45:06  -159632.872679*       0.8582
FIRE:   16 20:48:53  -159632.876275*       0.8609
FIRE:   17 20:53:26  -159632.880758*       0.6419
FIRE:   18 20:57:08  -159632.885276*       0.2267
FIRE:   19 21:02:07  -159632.887821*       0.3033
FIRE:   20 21:08:09  -159632.888817*       0.6224
FIRE:   21 21:11:02  -159632.889103*       0.5769
FIRE:   22 21:13:41  -159632.889607*       0.4841
FIRE:   23 21:17:32  -159632.890209*       0.3799
FIRE:   24 21:20:12  -159632.890765*       0.2302
FIRE:   25 21:23:32  -159632.891196*       0.1307
FIRE:   26 21:26:49  -159632.891490*       0.2254
FIRE:   27 21:29:31  -159632.891741*       0.3263
FIRE:   28 21:32:33  -159632.892101*       0.3783
FIRE:   29 21:35:52  -159632.892701*       0.3830
FIRE:   30 21:38:54  -159632.893594*       0.3237
FIRE:   31 21:43:30  -159632.894694*       0.1965
FIRE:   32 21:47:05  -159632.895818*       0.1334
FIRE:   33 21:53:40  -159632.896909*       0.2272
FIRE:   34 22:00:10  -159632.898238*       0.2608
FIRE:   35 22:04:24  -159632.899979*       0.1544
FIRE:   36 22:08:57  -159632.901747*       0.1324
FIRE:   37 22:12:54  -159632.903453*       0.2300
FIRE:   38 22:17:53  -159632.905537*       0.1272
FIRE:   39 22:22:46  -159632.907406*       0.1807
FIRE:   40 22:26:42  -159632.909323*       0.1612
FIRE:   41 22:30:49  -159632.910983*       0.2080
FIRE:   42 22:35:04  -159632.912489*       0.1023
FIRE:   43 22:40:49  -159632.913123*       0.3140
FIRE:   44 22:43:15  -159632.913438*       0.1844
FIRE:   45 22:48:19  -159632.913615*       0.0487
