      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 19:27:19  -159492.796258*       0.9935
FIRE:    1 19:31:37  -159492.819341*       0.8670
FIRE:    2 19:37:01  -159492.857453*       0.8445
FIRE:    3 19:43:02  -159492.905687*       0.6024
FIRE:    4 19:49:21  -159492.952142*       0.7068
FIRE:    5 19:54:53  -159492.993818*       0.5455
FIRE:    6 20:00:31  -159493.025967*       0.3442
FIRE:    7 20:06:37  -159493.048057*       0.2564
FIRE:    8 20:11:40  -159493.061002*       0.2221
FIRE:    9 20:18:20  -159493.062400*       0.3668
FIRE:   10 20:23:37  -159493.063468*       0.2936
FIRE:   11 20:28:41  -159493.064831*       0.2529
FIRE:   12 20:34:33  -159493.065964*       0.2441
FIRE:   13 20:38:55  -159493.067218*       0.2780
FIRE:   14 20:45:48  -159493.068903*       0.2378
FIRE:   15 20:50:16  -159493.070626*       0.1396
FIRE:   16 20:54:49  -159493.071802*       0.1395
FIRE:   17 20:58:33  -159493.072757*       0.1933
FIRE:   18 21:03:08  -159493.073971*       0.1430
FIRE:   19 21:07:02  -159493.074846*       0.1247
FIRE:   20 21:11:08  -159493.075327*       0.1721
FIRE:   21 21:14:03  -159493.075447*       0.1334
FIRE:   22 21:16:42  -159493.075618*       0.1036
FIRE:   23 21:21:04  -159493.075772*       0.0510
FIRE:   24 21:23:43  -159493.075853*       0.0777
FIRE:   25 21:26:32  -159493.075922*       0.1128
FIRE:   26 21:30:33  -159493.076051*       0.1225
FIRE:   27 21:33:55  -159493.076232*       0.1054
FIRE:   28 21:37:26  -159493.076470*       0.0653
FIRE:   29 21:45:51  -159493.076665*       0.0505
FIRE:   30 21:49:53  -159493.076820*       0.0959
FIRE:   31 21:53:15  -159493.077043*       0.0999
FIRE:   32 21:57:04  -159493.077364*       0.0496
