      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 03:17:59  -127877.616303*       0.5077
FIRE:    1 03:23:07  -127877.616018*       0.6258
FIRE:    2 03:26:28  -127877.617188*       0.2591
FIRE:    3 03:31:48  -127877.617348*       0.2642
FIRE:    4 03:35:24  -127877.617405*       0.2287
FIRE:    5 03:39:58  -127877.617497*       0.1740
FIRE:    6 03:43:02  -127877.617570*       0.0902
FIRE:    7 03:46:23  -127877.617627*       0.0718
FIRE:    8 03:50:33  -127877.617654*       0.1346
FIRE:    9 03:54:05  -127877.617682*       0.1786
FIRE:   10 03:56:54  -127877.617739*       0.1874
FIRE:   11 04:01:36  -127877.617853*       0.1598
FIRE:   12 04:06:04  -127877.617988*       0.1007
FIRE:   13 04:09:25  -127877.618101*       0.0693
FIRE:   14 04:13:50  -127877.618191*       0.1382
FIRE:   15 04:18:29  -127877.618319*       0.1307
FIRE:   16 04:21:44  -127877.618481*       0.0927
FIRE:   17 04:26:43  -127877.618638*       0.0943
FIRE:   18 04:31:11  -127877.618793*       0.1202
FIRE:   19 04:35:23  -127877.618993*       0.0627
FIRE:   20 04:39:10  -127877.619175*       0.0862
FIRE:   21 04:41:38  -127877.619185*       0.0859
FIRE:   22 04:44:12  -127877.619195*       0.0607
FIRE:   23 04:45:47  -127877.619199*       0.0719
FIRE:   24 04:48:12  -127877.619207*       0.0405
