      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 22:11:05  -131125.412082*       9.5796
FIRE:    1 22:17:03  -131126.230526*       4.1898
FIRE:    2 22:20:43  -131126.288322*       1.5287
FIRE:    3 22:24:12  -131126.289924*       1.6619
FIRE:    4 22:26:42  -131126.293184*       1.4782
FIRE:    5 22:31:13  -131126.298361*       1.1145
FIRE:    6 22:36:46  -131126.303415*       0.6178
FIRE:    7 22:39:53  -131126.306546*       0.3413
FIRE:    8 22:42:48  -131126.307598*       0.6932
FIRE:    9 22:44:49  -131126.307808*       0.6853
FIRE:   10 22:47:36  -131126.308223*       0.6320
FIRE:   11 22:50:21  -131126.308798*       0.5818
FIRE:   12 22:53:34  -131126.309526*       0.5288
FIRE:   13 22:58:27  -131126.310345*       0.4179
FIRE:   14 23:02:49  -131126.311209*       0.3302
FIRE:   15 23:05:32  -131126.312089*       0.2991
FIRE:   16 23:09:22  -131126.313087*       0.2909
FIRE:   17 23:12:07  -131126.314194*       0.3345
FIRE:   18 23:16:01  -131126.315508*       0.3068
FIRE:   19 23:18:54  -131126.317089*       0.3739
FIRE:   20 23:22:42  -131126.319061*       0.3974
FIRE:   21 23:26:29  -131126.321522*       0.3734
FIRE:   22 23:30:40  -131126.324467*       0.2914
FIRE:   23 23:35:46  -131126.327790*       0.2688
FIRE:   24 23:40:02  -131126.331349*       0.2586
FIRE:   25 23:44:55  -131126.335153*       0.3093
FIRE:   26 23:49:54  -131126.339371*       0.2956
FIRE:   27 23:53:10  -131126.343824*       0.2047
FIRE:   28 23:59:10  -131126.348002*       0.2427
FIRE:   29 00:02:34  -131126.351883*       0.2782
FIRE:   30 00:08:53  -131126.355419*       0.1183
FIRE:   31 00:12:41  -131126.358064*       0.2640
FIRE:   32 00:16:56  -131126.360440*       0.1155
FIRE:   33 00:20:27  -131126.362308*       0.2745
FIRE:   34 00:24:20  -131126.364570*       0.1514
FIRE:   35 00:30:00  -131126.366883*       0.2655
FIRE:   36 00:33:56  -131126.369657*       0.2374
FIRE:   37 00:37:56  -131126.372316*       0.1144
FIRE:   38 00:43:02  -131126.374060*       0.0995
FIRE:   39 00:47:02  -131126.374127*       0.3039
FIRE:   40 00:49:46  -131126.374599*       0.1043
FIRE:   41 00:53:31  -131126.374757*       0.2357
FIRE:   42 00:56:41  -131126.374858*       0.2101
FIRE:   43 00:58:57  -131126.375017*       0.1005
FIRE:   44 01:02:56  -131126.375158*       0.0933
FIRE:   45 01:05:34  -131126.375281*       0.1146
FIRE:   46 01:08:46  -131126.375420*       0.1738
FIRE:   47 01:11:53  -131126.375623*       0.1720
FIRE:   48 01:14:38  -131126.375874*       0.1415
FIRE:   49 01:17:56  -131126.376177*       0.0906
FIRE:   50 01:20:50  -131126.376493*       0.0987
FIRE:   51 01:23:36  -131126.376847*       0.1434
FIRE:   52 01:26:38  -131126.377301*       0.1123
FIRE:   53 01:29:41  -131126.377776*       0.0614
FIRE:   54 01:33:15  -131126.378217*       0.1327
FIRE:   55 01:36:21  -131126.378746*       0.0857
FIRE:   56 01:41:54  -131126.379202*       0.1218
FIRE:   57 01:47:03  -131126.379674*       0.0827
FIRE:   58 01:50:08  -131126.380029*       0.1496
FIRE:   59 01:53:29  -131126.380468*       0.0385
