      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 03:24:59  -127878.690098*       0.4472
FIRE:    1 03:29:12  -127878.690312*       0.4822
FIRE:    2 03:33:45  -127878.691084*       0.2288
FIRE:    3 03:36:53  -127878.691284*       0.1347
FIRE:    4 03:40:35  -127878.691322*       0.1581
FIRE:    5 03:43:51  -127878.691368*       0.0998
FIRE:    6 03:47:12  -127878.691436*       0.0737
FIRE:    7 03:50:28  -127878.691493*       0.0663
FIRE:    8 03:54:46  -127878.691532*       0.0582
FIRE:    9 03:57:18  -127878.691565*       0.0871
FIRE:   10 04:00:42  -127878.691622*       0.0980
FIRE:   11 04:03:51  -127878.691703*       0.0969
FIRE:   12 04:07:17  -127878.691810*       0.0609
FIRE:   13 04:10:38  -127878.691911*       0.0514
FIRE:   14 04:15:37  -127878.691990*       0.0516
FIRE:   15 04:19:42  -127878.692056*       0.0815
FIRE:   16 04:23:11  -127878.692129*       0.0685
FIRE:   17 04:26:30  -127878.692229*       0.0724
FIRE:   18 04:31:05  -127878.692301*       0.0948
FIRE:   19 04:35:49  -127878.692384*       0.0799
FIRE:   20 04:40:19  -127878.692489*       0.0618
FIRE:   21 04:47:04  -127878.692567*       0.0922
FIRE:   22 04:50:59  -127878.692667*       0.0271
