      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 01:42:36  -128017.673735*       0.3603
FIRE:    1 01:48:17  -128017.675643*       0.3591
FIRE:    2 01:52:33  -128017.678761*       0.2461
FIRE:    3 01:58:10  -128017.681804*       0.2018
FIRE:    4 02:05:19  -128017.683923*       0.1240
FIRE:    5 02:11:50  -128017.684992*       0.1143
FIRE:    6 02:17:22  -128017.685565*       0.1216
FIRE:    7 02:22:35  -128017.686174*       0.1387
FIRE:    8 02:27:09  -128017.687102*       0.1417
FIRE:    9 02:31:45  -128017.688305*       0.1044
FIRE:   10 02:36:18  -128017.689565*       0.0870
FIRE:   11 02:41:15  -128017.690636*       0.1308
FIRE:   12 02:46:20  -128017.691270*       0.2512
FIRE:   13 02:51:36  -128017.691680*       0.1098
FIRE:   14 02:56:10  -128017.691731*       0.1483
FIRE:   15 02:59:13  -128017.691780*       0.1285
FIRE:   16 03:01:07  -128017.691842*       0.1028
FIRE:   17 03:03:49  -128017.691907*       0.0592
FIRE:   18 03:06:57  -128017.691945*       0.0696
FIRE:   19 03:09:07  -128017.691976*       0.0986
FIRE:   20 03:11:29  -128017.692022*       0.1172
FIRE:   21 03:16:52  -128017.692092*       0.1093
FIRE:   22 03:19:29  -128017.692181*       0.0851
FIRE:   23 03:23:10  -128017.692282*       0.0553
FIRE:   24 03:26:50  -128017.692374*       0.0716
FIRE:   25 03:29:49  -128017.692479*       0.0967
FIRE:   26 03:33:21  -128017.692631*       0.0944
FIRE:   27 03:37:39  -128017.692823*       0.0487
