      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 23:57:37  -128415.103343*       0.5149
FIRE:    1 00:03:31  -128415.108458*       0.4358
FIRE:    2 00:08:53  -128415.116373*       0.3355
FIRE:    3 00:14:57  -128415.124008*       0.2097
FIRE:    4 00:20:02  -128415.129061*       0.1339
FIRE:    5 00:27:46  -128415.131424*       0.0999
FIRE:    6 00:33:25  -128415.132297*       0.1819
FIRE:    7 00:41:01  -128415.133096*       0.1849
FIRE:    8 00:49:02  -128415.134540*       0.1265
FIRE:    9 00:54:14  -128415.136638*       0.0945
FIRE:   10 00:59:13  -128415.139238*       0.1210
FIRE:   11 01:03:58  -128415.141991*       0.0807
FIRE:   12 01:08:53  -128415.143957*       0.1881
FIRE:   13 01:14:07  -128415.143552*       0.4697
FIRE:   14 01:17:37  -128415.145644*       0.1634
FIRE:   15 01:21:10  -128415.145171*       0.3454
FIRE:   16 01:23:56  -128415.145573*       0.2801
FIRE:   17 01:29:51  -128415.146073*       0.1758
FIRE:   18 01:32:56  -128415.146371*       0.0714
FIRE:   19 01:37:40  -128415.146372*       0.1555
FIRE:   20 01:40:01  -128415.146391*       0.1361
FIRE:   21 01:42:15  -128415.146434*       0.1506
FIRE:   22 01:44:51  -128415.146485*       0.1379
FIRE:   23 01:47:27  -128415.146536*       0.0730
FIRE:   24 01:50:01  -128415.146602*       0.0993
FIRE:   25 01:52:35  -128415.146660*       0.0709
FIRE:   26 01:56:02  -128415.146711*       0.0763
FIRE:   27 02:00:02  -128415.146774*       0.0850
FIRE:   28 02:02:04  -128415.146822*       0.0925
FIRE:   29 02:07:19  -128415.146913*       0.1084
FIRE:   30 02:09:40  -128415.147007*       0.1102
FIRE:   31 02:13:27  -128415.147150*       0.1012
FIRE:   32 02:17:29  -128415.147324*       0.0855
FIRE:   33 02:20:44  -128415.147493*       0.0700
FIRE:   34 02:24:49  -128415.147676*       0.0653
FIRE:   35 02:29:27  -128415.147859*       0.0699
FIRE:   36 02:33:37  -128415.148083*       0.0686
FIRE:   37 02:37:40  -128415.148329*       0.0649
FIRE:   38 02:41:02  -128415.148563*       0.0872
FIRE:   39 02:48:34  -128415.148824*       0.0958
FIRE:   40 02:53:13  -128415.149149*       0.0639
FIRE:   41 02:57:38  -128415.149482*       0.0819
FIRE:   42 03:01:56  -128415.149910*       0.0585
FIRE:   43 03:06:02  -128415.150363*       0.0742
FIRE:   44 03:10:18  -128415.150947*       0.0611
FIRE:   45 03:14:04  -128415.151543*       0.0658
FIRE:   46 03:18:13  -128415.152253*       0.0558
FIRE:   47 03:23:54  -128415.153075*       0.0408
