      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 00:03:48  -128415.257932*       0.6735
FIRE:    1 00:09:11  -128415.265271*       0.5322
FIRE:    2 00:13:55  -128415.275090*       0.3521
FIRE:    3 00:21:58  -128415.283236*       0.1870
FIRE:    4 00:29:22  -128415.286619*       0.1813
FIRE:    5 00:32:27  -128415.286746*       0.1678
FIRE:    6 00:35:19  -128415.286935*       0.1015
FIRE:    7 00:41:34  -128415.287113*       0.0926
FIRE:    8 00:45:51  -128415.287259*       0.1396
FIRE:    9 00:49:39  -128415.287454*       0.1599
FIRE:   10 00:53:20  -128415.287746*       0.1481
FIRE:   11 00:56:39  -128415.288083*       0.1085
FIRE:   12 01:00:51  -128415.288430*       0.0825
FIRE:   13 01:08:31  -128415.288774*       0.1207
FIRE:   14 01:12:24  -128415.289216*       0.1147
FIRE:   15 01:17:46  -128415.289772*       0.0610
FIRE:   16 01:21:34  -128415.290311*       0.1109
FIRE:   17 01:28:38  -128415.290969*       0.1037
FIRE:   18 01:32:58  -128415.291701*       0.0728
FIRE:   19 01:39:51  -128415.292475*       0.0965
FIRE:   20 01:43:40  -128415.293281*       0.0864
FIRE:   21 01:48:17  -128415.294053*       0.0651
FIRE:   22 01:54:37  -128415.294733*       0.1125
FIRE:   23 02:01:00  -128415.295259*       0.1288
FIRE:   24 02:05:34  -128415.295723*       0.1383
FIRE:   25 02:08:59  -128415.295884*       0.0580
FIRE:   26 02:12:17  -128415.295878*       0.0944
FIRE:   27 02:14:44  -128415.295913*       0.0771
FIRE:   28 02:17:32  -128415.295959*       0.0476
