      Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
FIRE:    0 19:05:39     -590.703477*      10.5316
FIRE:    1 19:07:12     -591.544783*       7.4844
FIRE:    2 19:08:30     -591.712903*       1.7759
FIRE:    3 19:09:50     -591.668504*       3.3865
FIRE:    4 19:10:52     -591.681945*       2.9877
FIRE:    5 19:12:01     -591.702583*       2.2013
FIRE:    6 19:13:12     -591.720138*       1.0748
FIRE:    7 19:14:20     -591.724705*       0.3347
FIRE:    8 19:15:12     -591.724738*       0.3334
FIRE:    9 19:16:12     -591.724800*       0.3052
FIRE:   10 19:17:02     -591.724881*       0.2635
FIRE:   11 19:17:53     -591.724968*       0.2177
FIRE:   12 19:18:49     -591.725049*       0.1652
FIRE:   13 19:19:43     -591.725112*       0.1073
FIRE:   14 19:20:40     -591.725147*       0.0451
