EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.540              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.360               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	3.421123914287673E+003	-5.3946191E-001	-5.3989768E-001	4.330182913690805E-003	1.000000000000000E+000	0.0000000E+000	11	4.3760371E-001	3.9563828E+000	0.000000000000000E+000	-2.3378557E-006	1.8949041E-006	-4.2327597E-006	-9.7750139E-001	1.2468242E+005	1.0105895E+005	2.2574136E+005
2	1	0	1	0	3.421281414283694E+003	-5.3631270E-001	-5.3667498E-001	6.464613015362191E-003	1.000000000000000E+000	1.3578772E-006	11	4.3278393E-001	3.9563768E+000	0.000000000000000E+000	-3.4693960E-006	2.7977806E-006	-6.2671766E-006	-9.6945894E-001	8.3017344E+004	6.6946609E+004	1.4996395E+005
2	1	0	1	0	3.421561414276621E+003	-5.3071302E-001	-5.3107297E-001	8.203315950310847E-003	1.000000000000000E+000	3.9292408E-006	13	4.2402872E-001	3.9563782E+000	2.799999929266051E-001	-4.3565592E-006	3.4784416E-006	-7.8350013E-006	-9.5510173E-001	6.4738816E+004	5.1689918E+004	1.1642873E+005
2	1	0	1	0	3.421811414270305E+003	-5.2571338E-001	-5.2604955E-001	8.486360351303249E-003	1.000000000000000E+000	6.4064943E-006	13	4.1621885E-001	3.9563782E+000	5.299999866110739E-001	-4.4642461E-006	3.5321832E-006	-7.9964293E-006	-9.4226837E-001	6.1987652E+004	4.9045625E+004	1.1103327E+005
2	1	0	1	0	3.422061414263990E+003	-5.2071375E-001	-5.2106643E-001	8.665930931765320E-003	1.000000000000000E+000	8.9485084E-006	13	4.0840340E-001	3.9563782E+000	7.799999802955427E-001	-4.5155257E-006	3.5391956E-006	-8.0547215E-006	-9.2946982E-001	6.0128152E+004	4.7127469E+004	1.0725563E+005
2	1	0	1	0	3.422311414257674E+003	-5.1571417E-001	-5.1609415E-001	8.796687601023340E-003	1.000000000000000E+000	1.1529520E-005	13	4.0066281E-001	3.9563782E+000	1.029999973980011E+000	-4.5399188E-006	3.5245055E-006	-8.0644249E-006	-9.1675699E-001	5.8669145E+004	4.5547008E+004	1.0421616E+005
2	1	0	1	0	3.422561414251359E+003	-5.1071447E-001	-5.1108378E-001	8.920547338780768E-003	1.000000000000000E+000	1.4142689E-005	13	3.9294901E-001	3.9563782E+000	1.279999967664480E+000	-4.5591469E-006	3.5053204E-006	-8.0644677E-006	-9.0403283E-001	5.7292871E+004	4.4049879E+004	1.0134275E+005
2	1	0	1	0	3.422811414245043E+003	-5.0571483E-001	-5.0607324E-001	8.969631227411318E-003	1.000000000000000E+000	1.6781556E-005	13	3.8526887E-001	3.9563782E+000	1.529999961348949E+000	-4.5392903E-006	3.4557197E-006	-7.9950096E-006	-8.9134210E-001	5.6420742E+004	4.2952586E+004	9.9373328E+004
2	1	0	1	0	3.423061414238728E+003	-5.0071514E-001	-5.0108975E-001	9.090432008256416E-003	1.000000000000000E+000	1.9442054E-005	13	3.7766483E-001	3.9563782E+000	1.779999955033418E+000	-4.5551224E-006	3.4331365E-006	-7.9882584E-006	-8.7875462E-001	5.5122766E+004	4.1545313E+004	9.6668078E+004
2	1	0	1	0	3.423311414232412E+003	-4.9571550E-001	-4.9607980E-001	9.116569581658682E-003	1.000000000000000E+000	2.2118169E-005	13	3.7009999E-001	3.9563782E+000	2.029999948717887E+000	-4.5225461E-006	3.3740423E-006	-7.8965886E-006	-8.6617982E-001	5.4415184E+004	4.0596410E+004	9.5011594E+004
2	1	0	1	0	3.423561414226097E+003	-4.9071586E-001	-4.9108905E-001	9.177107946213930E-003	1.000000000000000E+000	2.4806188E-005	13	3.6262590E-001	3.9563782E+000	2.279999942402356E+000	-4.5067773E-006	3.3278570E-006	-7.8346338E-006	-8.5371494E-001	5.3512398E+004	3.9514180E+004	9.3026578E+004
2	1	0	1	0	3.423811314219784E+003	-4.8571774E-001	-4.8606113E-001	9.250946719549874E-003	1.000000000000000E+000	2.7502085E-005	13	3.5520867E-001	3.9563787E+000	2.529899936089350E+000	-4.4965254E-006	3.2860164E-006	-7.7825416E-006	-8.4126979E-001	5.2541770E+004	3.8397008E+004	9.0938781E+004
2	1	0	1	0	3.424061214213478E+003	-4.8071656E-001	-4.8107284E-001	9.335661973395748E-003	1.000000000000000E+000	3.0218222E-005	13	3.4782344E-001	3.9563782E+000	2.779799929783621E+000	-4.4911335E-006	3.2471621E-006	-7.7382956E-006	-8.2889628E-001	5.1530664E+004	3.7257500E+004	8.8788164E+004
2	1	0	1	0	3.424311214207162E+003	-4.7571692E-001	-4.7611514E-001	9.348284699843334E-003	1.000000000000000E+000	3.2949214E-005	13	3.4052125E-001	3.9563782E+000	3.029799923468090E+000	-4.4508597E-006	3.1832897E-006	-7.6341494E-006	-8.1663638E-001	5.0930750E+004	3.6426066E+004	8.7356813E+004
2	1	0	1	0	3.424561214200847E+003	-4.7071728E-001	-4.7110140E-001	9.374982785698115E-003	1.000000000000000E+000	3.5688361E-005	13	3.3326873E-001	3.9563782E+000	3.279799917152559E+000	-4.4165677E-006	3.1243885E-006	-7.5409562E-006	-8.0437016E-001	5.0250910E+004	3.5548730E+004	8.5799641E+004
