EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	1.252732919460154E+004	-4.3999010E-001	-4.4027844E-001	7.829386740922928E-002	1.000000000000000E+000	0.0000000E+000	12	-1.5672656E+000	4.9175520E+000	0.000000000000000E+000	-3.4471101E-005	1.1269872E+000
2	1	0	0	0	1.252842919458821E+004	-4.3944025E-001	-4.3971768E-001	7.863122216139437E-002	1.000000000000000E+000	8.6646956E-005	12	-1.5675309E+000	4.9175506E+000	0.000000000000000E+000	-3.4575540E-005	1.1278132E+000
2	1	0	0	0	1.253042919456400E+004	-4.3844020E-001	-4.3876144E-001	7.980794054535911E-002	1.000000000000000E+000	2.4558991E-004	12	-1.5682464E+000	4.9175506E+000	1.999999975785613E+000	-3.5016648E-005	1.1294849E+000
2	1	0	1	0	1.253242899453983E+004	-4.3744031E-001	-4.3776059E-001	8.106756275721400E-002	1.000000000000000E+000	4.0696695E-004	12	-1.5690528E+000	4.9175506E+000	3.999799951619934E+000	-3.5488185E-005	1.1312922E+000
2	1	0	1	0	1.253442869451562E+004	-4.3644047E-001	-4.3672478E-001	8.227521832557916E-002	1.000000000000000E+000	5.7077227E-004	12	-1.5697969E+000	4.9175510E+000	5.999499927405850E+000	-3.5931625E-005	1.1330721E+000
2	1	0	1	0	1.253642829449140E+004	-4.3544069E-001	-4.3577912E-001	8.348197657109346E-002	1.000000000000000E+000	7.3699030E-004	12	-1.5705245E+000	4.9175506E+000	7.999099903187016E+000	-3.6379704E-005	1.1347454E+000
2	1	0	1	0	1.253842789446720E+004	-4.3444088E-001	-4.3476987E-001	8.471694977430655E-002	1.000000000000000E+000	9.0564333E-004	12	-1.5712587E+000	4.9175510E+000	9.998699878982734E+000	-3.6832378E-005	1.1364888E+000
2	1	0	1	0	1.254042749444298E+004	-4.3344104E-001	-4.3377015E-001	8.595584232326270E-002	1.000000000000000E+000	1.0767723E-003	12	-1.5719973E+000	4.9175506E+000	1.199829985476390E+001	-3.7285077E-005	1.1382271E+000
2	1	0	0	0	1.254242719441873E+004	-4.3244123E-001	-4.3275127E-001	8.721474810407837E-002	1.000000000000000E+000	1.2504078E-003	12	-1.5726981E+000	4.9175506E+000	1.399799983052071E+001	-3.7742291E-005	1.1399468E+000
2	1	0	0	0	1.254442719439452E+004	-4.3144125E-001	-4.3175030E-001	8.849726316849393E-002	1.000000000000000E+000	1.4266075E-003	12	-1.5734025E+000	4.9175506E+000	1.599799980630632E+001	-3.8208720E-005	1.1416522E+000
