EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102466684519692E+003	-7.4000788E-001	-7.4031723E-001	-4.556464031338692E-003	1.000000000000000E+000	0.0000000E+000	14	4.2980069E-001	5.4241571E+000	0.000000000000000E+000	3.3732288E-006	-1.1701179E+000
2	0	0	1	0	5.102509284519168E+003	-7.3915637E-001	-7.3952240E-001	5.717347886534337E-003	1.000000000000000E+000	3.3071387E-007	14	4.2775813E-001	5.4241552E+000	0.000000000000000E+000	-4.2281067E-006	-1.1672806E+000
2	1	0	1	0	5.102574384518390E+003	-7.3785418E-001	-7.3820043E-001	7.540736624462238E-003	1.000000000000000E+000	9.2035793E-007	13	4.2491353E-001	5.4241567E+000	6.509999922127463E-002	-5.5665751E-006	-1.1631140E+000
2	1	0	1	0	5.102624384517781E+003	-7.3685414E-001	-7.3722279E-001	7.915952444481844E-003	1.000000000000000E+000	1.3781940E-006	13	4.2289644E-001	5.4241567E+000	1.150999986130046E-001	-5.8358205E-006	-1.1601193E+000
2	1	0	1	0	5.102674484517192E+003	-7.3585254E-001	-7.3618174E-001	7.856239323099534E-003	1.000000000000000E+000	1.8458535E-006	13	4.2092198E-001	5.4241567E+000	1.651999980240362E-001	-5.7836201E-006	-1.1571038E+000
2	1	0	1	0	5.102724684516565E+003	-7.3484862E-001	-7.3518538E-001	8.010619585522294E-003	1.000000000000000E+000	2.3167295E-006	13	4.1896528E-001	5.4241567E+000	2.153999973961618E-001	-5.8892906E-006	-1.1541507E+000
2	1	0	1	0	5.102774784515961E+003	-7.3384607E-001	-7.3420322E-001	8.253213746852645E-003	1.000000000000000E+000	2.7953690E-006	13	4.1705933E-001	5.4241567E+000	2.654999967926415E-001	-6.0595362E-006	-1.1512625E+000
2	1	0	1	0	5.102824784515353E+003	-7.3284614E-001	-7.3321491E-001	8.294328313139837E-003	1.000000000000000E+000	3.2799539E-006	13	4.1514432E-001	5.4241567E+000	3.154999961843714E-001	-6.0815250E-006	-1.1483593E+000
2	1	0	1	0	5.102874884514742E+003	-7.3184460E-001	-7.3224086E-001	8.457812446882030E-003	1.000000000000000E+000	3.7705665E-006	13	4.1324741E-001	5.4241567E+000	3.655999955735751E-001	-6.1931560E-006	-1.1454883E+000
2	1	0	1	0	5.102924984514146E+003	-7.3084211E-001	-7.3116761E-001	8.485782653291668E-003	1.000000000000000E+000	4.2627726E-006	13	4.1136655E-001	5.4241567E+000	4.156999949773308E-001	-6.2045297E-006	-1.1425341E+000
