EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102280684508412E+003	-7.3997551E-001	-7.4012190E-001	-4.673670511692762E-003	1.000000000000000E+000	0.0000000E+000	14	4.6391299E-001	5.5828671E+000	0.000000000000000E+000	3.4590860E-006	-1.2040349E+000
2	0	0	1	0	5.102323284507889E+003	-7.3912376E-001	-7.3937130E-001	6.457180397326845E-003	1.000000000000000E+000	3.5136955E-007	14	4.6176517E-001	5.5828648E+000	0.000000000000000E+000	-4.7742537E-006	-1.2011365E+000
2	1	0	1	0	5.102388384507096E+003	-7.3782170E-001	-7.3809528E-001	8.576463231023512E-003	1.000000000000000E+000	9.9054068E-007	13	4.5840460E-001	5.5828657E+000	6.509999920672271E-002	-6.3302468E-006	-1.1964998E+000
2	1	0	1	0	5.102438484506500E+003	-7.3682016E-001	-7.3706722E-001	9.043984908042965E-003	1.000000000000000E+000	1.5029922E-006	13	4.5598999E-001	5.5828662E+000	1.151999986104784E-001	-6.6660250E-006	-1.1930572E+000
2	1	0	1	0	5.102488584505889E+003	-7.3581773E-001	-7.3612440E-001	9.072727844964185E-003	1.000000000000000E+000	2.0272023E-006	13	4.5359573E-001	5.5828657E+000	1.652999979996821E-001	-6.6786565E-006	-1.1897202E+000
2	1	0	1	0	5.102538784505276E+003	-7.3481399E-001	-7.3506874E-001	9.220535118922887E-003	1.000000000000000E+000	2.5554118E-006	13	4.5119396E-001	5.5828657E+000	2.154999973863596E-001	-6.7777273E-006	-1.1862627E+000
2	1	0	1	0	5.102588784504675E+003	-7.3381376E-001	-7.3408872E-001	9.487397075173713E-003	1.000000000000000E+000	3.0920241E-006	13	4.4877663E-001	5.5828657E+000	2.654999967853655E-001	-6.9645912E-006	-1.1828654E+000
2	1	0	1	0	5.102638884504093E+003	-7.3281223E-001	-7.3309648E-001	9.363743671361266E-003	1.000000000000000E+000	3.6357569E-006	13	4.4638488E-001	5.5828662E+000	3.155999962036731E-001	-6.8645277E-006	-1.1794814E+000
2	1	0	1	0	5.102689084503450E+003	-7.3180825E-001	-7.3203021E-001	9.636628407941113E-003	1.000000000000000E+000	4.1834869E-006	13	4.4395623E-001	5.5828662E+000	3.657999955612468E-001	-7.0543033E-006	-1.1759864E+000
2	1	0	1	0	5.102739184502854E+003	-7.3080575E-001	-7.3108310E-001	9.871393404426755E-003	1.000000000000000E+000	4.7391436E-006	13	4.4157416E-001	5.5828657E+000	4.158999949650024E-001	-7.2168086E-006	-1.1726573E+000
2	1	0	1	0	5.102789284502272E+003	-7.2980398E-001	-7.3006344E-001	9.761276430224425E-003	1.000000000000000E+000	5.3013109E-006	13	4.3914944E-001	5.5828662E+000	4.659999943833100E-001	-7.1263512E-006	-1.1692128E+000
2	1	0	1	0	5.102839384501640E+003	-7.2880173E-001	-7.2907072E-001	9.917557488531931E-003	1.000000000000000E+000	5.8633605E-006	13	4.3674305E-001	5.5828657E+000	5.160999937506858E-001	-7.2306007E-006	-1.1658138E+000
2	1	0	1	0	5.102889384501032E+003	-7.2780174E-001	-7.2809523E-001	9.829364079956243E-003	1.000000000000000E+000	6.4285232E-006	13	4.3435127E-001	5.5828657E+000	5.660999931424158E-001	-7.1567133E-006	-1.1624465E+000
2	1	0	1	0	5.102939384500431E+003	-7.2680181E-001	-7.2706872E-001	9.861938937791415E-003	1.000000000000000E+000	6.9920206E-006	13	4.3192312E-001	5.5828657E+000	6.160999925414217E-001	-7.1703075E-006	-1.1589918E+000
2	1	0	1	0	5.102989484499849E+003	-7.2580004E-001	-7.2609466E-001	1.012767556189199E-002	1.000000000000000E+000	7.5642979E-006	13	4.2950577E-001	5.5828662E+000	6.661999919597292E-001	-7.3536512E-006	-1.1556004E+000
2	1	0	1	0	5.103039584499216E+003	-7.2479779E-001	-7.2507560E-001	9.985091240162509E-003	1.000000000000000E+000	8.1383341E-006	13	4.2709875E-001	5.5828657E+000	7.162999913271051E-001	-7.2399462E-006	-1.1521744E+000
2	1	0	1	0	5.103089584498608E+003	-7.2379774E-001	-7.2405976E-001	1.026252385647108E-002	1.000000000000000E+000	8.7147328E-006	13	4.2467108E-001	5.5828657E+000	7.662999907188350E-001	-7.4306804E-006	-1.1487309E+000
2	1	0	1	0	5.103139584498007E+003	-7.2279775E-001	-7.2304916E-001	1.023069387668293E-002	1.000000000000000E+000	9.2953087E-006	13	4.2228717E-001	5.5828657E+000	8.162999901178409E-001	-7.3972947E-006	-1.1453364E+000
2	1	0	1	0	5.103189584497406E+003	-7.2179776E-001	-7.2205460E-001	1.012514375960802E-002	1.000000000000000E+000	9.8756227E-006	13	4.1990364E-001	5.5828657E+000	8.662999895168468E-001	-7.3109068E-006	-1.1419582E+000
2	1	0	1	0	5.103239684496795E+003	-7.2079623E-001	-7.2103202E-001	1.023101987609062E-002	1.000000000000000E+000	1.0457527E-005	13	4.1755021E-001	5.5828662E+000	9.163999889060506E-001	-7.3768929E-006	-1.1385822E+000
2	1	0	1	0	5.103289784496184E+003	-7.1979380E-001	-7.2003376E-001	1.030670172271869E-002	1.000000000000000E+000	1.1042096E-005	13	4.1520253E-001	5.5828657E+000	9.664999882952543E-001	-7.4211734E-006	-1.1352363E+000
2	1	0	1	0	5.103339784495583E+003	-7.1879375E-001	-7.1898830E-001	1.032126256419968E-002	1.000000000000000E+000	1.1625121E-005	13	4.1286454E-001	5.5828657E+000	1.016499987694260E+000	-7.4208670E-006	-1.1318529E+000
2	1	0	1	0	5.103389784494982E+003	-7.1779370E-001	-7.1807957E-001	1.052760247235982E-002	1.000000000000000E+000	1.2215623E-005	13	4.1051829E-001	5.5828657E+000	1.066499987093266E+000	-7.5596563E-006	-1.1285979E+000
2	1	0	1	0	5.103439884494372E+003	-7.1679217E-001	-7.1702516E-001	1.027142801261682E-002	1.000000000000000E+000	1.2808288E-005	13	4.0823233E-001	5.5828662E+000	1.116599986482470E+000	-7.3648725E-006	-1.1252575E+000
2	1	0	1	0	5.103489984493761E+003	-7.1578974E-001	-7.1605349E-001	1.053757935598559E-002	1.000000000000000E+000	1.3397573E-005	13	4.0594336E-001	5.5828657E+000	1.166699985871674E+000	-7.5454705E-006	-1.1219969E+000
2	1	0	1	0	5.103540084493157E+003	-7.1478820E-001	-7.1501708E-001	1.041196568604750E-002	1.000000000000000E+000	1.3989978E-005	13	4.0372756E-001	5.5828662E+000	1.216799985268153E+000	-7.4447335E-006	-1.1187446E+000
