EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102280684508412E+003	-7.4004370E-001	-7.4053562E-001	-5.110802128911018E-003	1.000000000000000E+000	0.0000000E+000	14	3.6340305E-001	4.1006651E+000	0.000000000000000E+000	3.7847310E-006	-1.1039387E+000
2	0	0	1	0	5.102323584507889E+003	-7.3918641E-001	-7.3968345E-001	6.388519613542740E-003	1.000000000000000E+000	3.5102664E-007	14	3.6170545E-001	4.1006632E+000	0.000000000000000E+000	-4.7254821E-006	-1.1013889E+000
2	1	0	1	0	5.102389184507105E+003	-7.3787475E-001	-7.3839295E-001	8.412923390486382E-003	1.000000000000000E+000	9.8764065E-007	13	3.5903034E-001	4.1006637E+000	6.559999921591952E-002	-6.2120434E-006	-1.0974233E+000
2	1	0	1	0	5.102439684506506E+003	-7.3686457E-001	-7.3733920E-001	8.614255810058008E-003	1.000000000000000E+000	1.4968664E-006	13	3.5706881E-001	4.1006637E+000	1.160999986168463E-001	-6.3516286E-006	-1.0944080E+000
2	1	0	1	0	5.102489884505863E+003	-7.3586017E-001	-7.3635727E-001	9.081226783647665E-003	1.000000000000000E+000	2.0180587E-006	13	3.5512766E-001	4.1006637E+000	1.662999979744200E-001	-6.6870275E-006	-1.0914849E+000
2	1	0	1	0	5.102540184505284E+003	-7.3485482E-001	-7.3536021E-001	8.937070958056223E-003	1.000000000000000E+000	2.5485206E-006	13	3.5321715E-001	4.1006637E+000	2.165999973949511E-001	-6.5719664E-006	-1.0885774E+000
2	1	0	1	0	5.102590684504656E+003	-7.3384506E-001	-7.3432916E-001	9.183522203783961E-003	1.000000000000000E+000	3.0853437E-006	13	3.5128114E-001	4.1006637E+000	2.670999967667740E-001	-6.7437281E-006	-1.0856103E+000
2	1	0	1	0	5.102641184504057E+003	-7.3283482E-001	-7.3333204E-001	9.324825217053009E-003	1.000000000000000E+000	3.6304255E-006	13	3.4939247E-001	4.1006637E+000	3.175999961677007E-001	-6.8381933E-006	-1.0827246E+000
2	1	0	1	0	5.102691384503436E+003	-7.3182994E-001	-7.3229420E-001	9.321648729921972E-003	1.000000000000000E+000	4.1781027E-006	13	3.4748080E-001	4.1006637E+000	3.677999955471023E-001	-6.8261893E-006	-1.0797750E+000
2	1	0	1	0	5.102741584502837E+003	-7.3082697E-001	-7.3131639E-001	1.053480880314026E-002	1.000000000000000E+000	4.7555186E-006	13	3.4541860E-001	4.1006637E+000	4.179999949483317E-001	-7.7042787E-006	-1.0767350E+000
2	1	0	1	0	5.102791984502212E+003	-7.2981876E-001	-7.3028862E-001	9.612879556605766E-003	1.000000000000000E+000	5.3413814E-006	13	3.4343010E-001	4.1006637E+000	4.683999943226809E-001	-7.0201768E-006	-1.0737188E+000
2	1	0	1	0	5.102842484501627E+003	-7.2880900E-001	-7.2929430E-001	9.515745382106700E-003	1.000000000000000E+000	5.9036829E-006	13	3.4154597E-001	4.1006637E+000	5.188999937381595E-001	-6.9397788E-006	-1.0708402E+000
2	1	0	1	0	5.102892784500989E+003	-7.2780198E-001	-7.2829002E-001	9.858276388883869E-003	1.000000000000000E+000	6.4696183E-006	13	3.3963645E-001	4.1006637E+000	5.691999931004830E-001	-7.1796844E-006	-1.0679264E+000
2	1	0	1	0	5.102942984500405E+003	-7.2679877E-001	-7.2729009E-001	9.671072485596146E-003	1.000000000000000E+000	7.0402689E-006	13	3.3773777E-001	4.1006637E+000	6.193999925162643E-001	-7.0336750E-006	-1.0650278E+000
2	1	0	1	0	5.102993384499772E+003	-7.2579074E-001	-7.2628009E-001	9.780002134599036E-003	1.000000000000000E+000	7.6076662E-006	13	3.3582363E-001	4.1006637E+000	6.697999918833375E-001	-7.1030208E-006	-1.0621037E+000
2	1	0	1	0	5.103043984499178E+003	-7.2477901E-001	-7.2528815E-001	9.833125522630881E-003	1.000000000000000E+000	8.1809303E-006	13	3.3391738E-001	4.1006637E+000	7.203999912890140E-001	-7.1318495E-006	-1.0592055E+000
2	1	0	1	0	5.103094384498574E+003	-7.2377080E-001	-7.2428393E-001	9.764182676361172E-003	1.000000000000000E+000	8.7535054E-006	13	3.3207816E-001	4.1006637E+000	7.707999906851910E-001	-7.0720407E-006	-1.0563622E+000
2	1	0	1	0	5.103144684497966E+003	-7.2276437E-001	-7.2331196E-001	1.003869433239268E-002	1.000000000000000E+000	9.3283279E-006	13	3.3014396E-001	4.1006637E+000	8.210999900766183E-001	-7.2611078E-006	-1.0534559E+000
2	1	0	1	0	5.103195084497362E+003	-7.2175705E-001	-7.2226530E-001	9.976671176336729E-003	1.000000000000000E+000	9.9085200E-006	13	3.2826948E-001	4.1006637E+000	8.714999894727953E-001	-7.2058033E-006	-1.0505347E+000
2	1	0	1	0	5.103245584496719E+003	-7.2074682E-001	-7.2124696E-001	9.934455201604409E-003	1.000000000000000E+000	1.0489041E-005	13	3.2635906E-001	4.1006637E+000	9.219999888300663E-001	-7.1651957E-006	-1.0476060E+000
2	1	0	1	0	5.103295984496130E+003	-7.1973878E-001	-7.2025073E-001	1.013838582443974E-002	1.000000000000000E+000	1.1072940E-005	13	3.2447022E-001	4.1006637E+000	9.723999882407952E-001	-7.3021797E-006	-1.0447209E+000
2	1	0	1	0	5.103346184495509E+003	-7.1873397E-001	-7.1922117E-001	1.005754223377958E-002	1.000000000000000E+000	1.1657675E-005	13	3.2259190E-001	4.1006637E+000	1.022599987620197E+000	-7.2335974E-006	-1.0418131E+000
2	1	0	1	0	5.103396384494910E+003	-7.1773082E-001	-7.1823281E-001	1.037406557490873E-002	1.000000000000000E+000	1.2255935E-005	13	3.2066041E-001	4.1006637E+000	1.072799987021426E+000	-7.4509944E-006	-1.0388932E+000
2	1	0	1	0	5.103446884494304E+003	-7.1672106E-001	-7.1722436E-001	1.052881062231081E-002	1.000000000000000E+000	1.2874944E-005	13	3.1860623E-001	4.1006637E+000	1.123299986415077E+000	-7.5515195E-006	-1.0358306E+000
2	1	0	1	0	5.103497384493690E+003	-7.1571076E-001	-7.1621549E-001	1.016605275118032E-002	1.000000000000000E+000	1.3471041E-005	13	3.1673637E-001	4.1006637E+000	1.173799985801452E+000	-7.2810844E-006	-1.0329518E+000
2	1	0	1	0	5.103547584493062E+003	-7.1470594E-001	-7.1517342E-001	1.028973547336473E-002	1.000000000000000E+000	1.4061405E-005	13	3.1484443E-001	4.1006637E+000	1.223999985173577E+000	-7.3589454E-006	-1.0300179E+000
2	1	0	1	0	5.103597784492478E+003	-7.1370280E-001	-7.1419209E-001	1.031466361912031E-002	1.000000000000000E+000	1.4653539E-005	13	3.1298915E-001	4.1006637E+000	1.274199984589359E+000	-7.3666511E-006	-1.0271813E+000
2	1	0	1	0	5.103648484491845E+003	-7.1268952E-001	-7.1318132E-001	1.016123120137555E-002	1.000000000000000E+000	1.5248311E-005	13	3.1112951E-001	4.1006637E+000	1.324899983956129E+000	-7.2468001E-006	-1.0243108E+000
2	1	0	1	0	5.103698984491246E+003	-7.1167874E-001	-7.1213800E-001	1.040349147504655E-002	1.000000000000000E+000	1.5840920E-005	13	3.0927438E-001	4.1006637E+000	1.375399983357056E+000	-7.4087216E-006	-1.0214124E+000
2	1	0	1	0	5.103749384490628E+003	-7.1067011E-001	-7.1114731E-001	1.042795438034873E-002	1.000000000000000E+000	1.6432847E-005	13	3.0744141E-001	4.1006637E+000	1.425799982738681E+000	-7.4158115E-006	-1.0185888E+000
2	1	0	1	0	5.103799584490029E+003	-7.0966661E-001	-7.1013129E-001	1.036750825932971E-002	1.000000000000000E+000	1.7028116E-005	13	3.0556357E-001	4.1006637E+000	1.475999982139911E+000	-7.3622919E-006	-1.0156949E+000
2	1	0	1	0	5.103849984489418E+003	-7.0865881E-001	-7.0914268E-001	1.053203274228039E-002	1.000000000000000E+000	1.7626840E-005	13	3.0372420E-001	4.1006637E+000	1.526399981528812E+000	-7.4687141E-006	-1.0128669E+000
2	1	0	1	0	5.103900684488806E+003	-7.0764524E-001	-7.0813531E-001	1.024733136331482E-002	1.000000000000000E+000	1.8227447E-005	13	3.0189180E-001	4.1006637E+000	1.577099980917410E+000	-7.2564972E-006	-1.0100272E+000
2	1	0	1	0	5.103951084488181E+003	-7.0663637E-001	-7.0712233E-001	1.041591549157880E-002	1.000000000000000E+000	1.8822762E-005	13	3.0003977E-001	4.1006637E+000	1.627499980291759E+000	-7.3653264E-006	-1.0071621E+000
2	1	0	1	0	5.104001184487570E+003	-7.0563394E-001	-7.0611864E-001	1.073385502806766E-002	1.000000000000000E+000	1.9425979E-005	13	2.9821554E-001	4.1006637E+000	1.677599979680963E+000	-7.5793751E-006	-1.0043342E+000
2	1	0	1	0	5.104051484486990E+003	-7.0462924E-001	-7.0510876E-001	1.126561072778076E-002	1.000000000000000E+000	2.0053720E-005	13	2.9629526E-001	4.1006637E+000	1.727899979101494E+000	-7.9434813E-006	-1.0014040E+000
2	1	0	1	0	5.104102184486372E+003	-7.0361501E-001	-7.0409799E-001	1.066785224799688E-002	1.000000000000000E+000	2.0682570E-005	13	2.9437467E-001	4.1006637E+000	1.778599978482816E+000	-7.5112134E-006	-9.9847269E-001
2	1	0	1	0	5.104152684485744E+003	-7.0260525E-001	-7.0313448E-001	1.057090980595937E-002	1.000000000000000E+000	2.1289823E-005	13	2.9258773E-001	4.1006637E+000	1.829099977854639E+000	-7.4327713E-006	-9.9572217E-001
2	1	0	1	0	5.104202984485135E+003	-7.0159799E-001	-7.0207781E-001	1.054950503748840E-002	1.000000000000000E+000	2.1896067E-005	13	2.9077289E-001	4.1006637E+000	1.879399977246067E+000	-7.4065733E-006	-9.9285066E-001
2	1	0	1	0	5.104253284484526E+003	-7.0059299E-001	-7.0109624E-001	1.070327968878921E-002	1.000000000000000E+000	2.2502580E-005	13	2.8897414E-001	4.1006637E+000	1.929699976637494E+000	-7.5040293E-006	-9.9007034E-001
2	1	0	1	0	5.104303784483927E+003	-6.9958276E-001	-7.0007128E-001	1.040233191274470E-002	1.000000000000000E+000	2.3109847E-005	13	2.8721759E-001	4.1006637E+000	1.980199976038421E+000	-7.2823736E-006	-9.8728883E-001
2	1	0	1	0	5.104354284483328E+003	-6.9857299E-001	-6.9906431E-001	1.052828330503323E-002	1.000000000000000E+000	2.3712182E-005	13	2.8545323E-001	4.1006637E+000	2.030699975439347E+000	-7.3599472E-006	-9.8451757E-001
2	1	0	1	0	5.104404584482691E+003	-6.9756591E-001	-6.9807768E-001	1.072168180447386E-002	1.000000000000000E+000	2.4319397E-005	13	2.8367105E-001	4.1006637E+000	2.080999974801671E+000	-7.4845666E-006	-9.8174870E-001
2	1	0	1	0	5.104454684482087E+003	-6.9656432E-001	-6.9708347E-001	1.053473981063485E-002	1.000000000000000E+000	2.4927484E-005	13	2.8189936E-001	4.1006637E+000	2.131099974198150E+000	-7.3435931E-006	-9.7898281E-001
2	1	0	1	0	5.104505084481469E+003	-6.9555700E-001	-6.9605339E-001	1.068140200729705E-002	1.000000000000000E+000	2.5536947E-005	13	2.8013527E-001	4.1006637E+000	2.181499973579776E+000	-7.4348259E-006	-9.7618866E-001
2	1	0	1	0	5.104555584480855E+003	-6.9454676E-001	-6.9505018E-001	1.071670484238905E-002	1.000000000000000E+000	2.6149448E-005	13	2.7838856E-001	4.1006637E+000	2.231999972966150E+000	-7.4486475E-006	-9.7343874E-001
2	1	0	1	0	5.104605884480254E+003	-6.9354045E-001	-6.9402999E-001	1.051934924925813E-002	1.000000000000000E+000	2.6759653E-005	13	2.7666354E-001	4.1006637E+000	2.282299972364854E+000	-7.3007436E-006	-9.7069353E-001
2	1	0	1	0	5.104656084479648E+003	-6.9253618E-001	-6.9304401E-001	1.079290901908442E-002	1.000000000000000E+000	2.7371972E-005	13	2.7491167E-001	4.1006637E+000	2.332499971758807E+000	-7.4799609E-006	-9.6795571E-001
2	1	0	1	0	5.104706384479054E+003	-6.9153076E-001	-6.9205660E-001	1.056242802189858E-002	1.000000000000000E+000	2.7987533E-005	13	2.7321458E-001	4.1006637E+000	2.382799971164786E+000	-7.3097981E-006	-9.6527117E-001
2	1	0	1	0	5.104756884478425E+003	-6.9052106E-001	-6.9102544E-001	1.145698640553994E-002	1.000000000000000E+000	2.8623794E-005	13	2.7129507E-001	4.1006637E+000	2.433299970536609E+000	-7.9170686E-006	-9.6232051E-001
2	1	0	1	0	5.104807284477836E+003	-6.8951237E-001	-6.9002599E-001	1.085986705797035E-002	1.000000000000000E+000	2.9264906E-005	13	2.6959205E-001	4.1006637E+000	2.483699969947338E+000	-7.4935906E-006	-9.5961803E-001
2	1	0	1	0	5.104857384477211E+003	-6.8850994E-001	-6.8899459E-001	1.063505539571416E-002	1.000000000000000E+000	2.9881421E-005	13	2.6788640E-001	4.1006637E+000	2.533799969321990E+000	-7.3274955E-006	-9.5688099E-001
2	1	0	1	0	5.104907684476602E+003	-6.8750525E-001	-6.8800151E-001	1.063091570077761E-002	1.000000000000000E+000	3.0493908E-005	13	2.6619270E-001	4.1006637E+000	2.584099968713417E+000	-7.3140859E-006	-9.5419419E-001
2	1	0	1	0	5.104958384475998E+003	-6.8649101E-001	-6.8696201E-001	1.070733646126466E-002	1.000000000000000E+000	3.1112693E-005	13	2.6451892E-001	4.1006637E+000	2.634799968109292E+000	-7.3555334E-006	-9.5148093E-001
