EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	2.927418726212418E+003	-4.4003975E-001	-4.4065306E-001	4.627917893230915E-003	1.000000000000000E+000	0.0000000E+000	14	-1.4763228E+000	5.0770006E+000	0.000000000000000E+000	-2.0393061E-006	1.0356697E+000
2	1	0	1	0	2.928518726184629E+003	-4.3948984E-001	-4.4008794E-001	4.850538378909884E-003	1.000000000000000E+000	5.5115815E-006	14	-1.4764254E+000	5.0769997E+000	0.000000000000000E+000	-2.1346634E-006	1.0363375E+000
2	1	0	1	0	2.930518726134105E+003	-4.3848985E-001	-4.3902433E-001	4.933320080170479E-003	1.000000000000000E+000	1.5634418E-005	14	-1.4767141E+000	5.0769997E+000	1.999999949475750E+000	-2.1658475E-006	1.0376898E+000
2	1	0	1	0	2.932518626083584E+003	-4.3748993E-001	-4.3806690E-001	5.017405226654337E-003	1.000000000000000E+000	2.5926814E-005	14	-1.4770808E+000	5.0769997E+000	3.999899898954027E+000	-2.1979592E-006	1.0390139E+000
2	1	0	0	0	2.934518526033062E+003	-4.3648994E-001	-4.3703505E-001	5.099911642854137E-003	1.000000000000000E+000	3.6384445E-005	14	-1.4775252E+000	5.0769997E+000	5.999799848432303E+000	-2.2288402E-006	1.0404902E+000
2	1	0	0	0	2.936518525982538E+003	-4.3548995E-001	-4.3601072E-001	5.183980117168946E-003	1.000000000000000E+000	4.7005589E-005	14	-1.4780314E+000	5.0769997E+000	7.999799797908054E+000	-2.2602710E-006	1.0420207E+000
2	1	0	0	0	2.938518525932013E+003	-4.3448994E-001	-4.3505526E-001	5.269366744779218E-003	1.000000000000000E+000	5.7792717E-005	14	-1.4786060E+000	5.0769997E+000	9.999799747383804E+000	-2.2924658E-006	1.0435507E+000
2	1	0	0	0	2.940518525881489E+003	-4.3348998E-001	-4.3406060E-001	5.355730406758324E-003	1.000000000000000E+000	6.8750604E-005	14	-1.4792455E+000	5.0769997E+000	1.199979969685955E+001	-2.3247117E-006	1.0451850E+000
2	1	0	1	0	2.942518425830967E+003	-4.3249002E-001	-4.3307233E-001	5.441214492193466E-003	1.000000000000000E+000	7.9882739E-005	14	-1.4799473E+000	5.0769997E+000	1.399969964633783E+001	-2.3564394E-006	1.0468750E+000
2	1	0	1	0	2.944518325780446E+003	-4.3149003E-001	-4.3206072E-001	5.529643361459988E-003	1.000000000000000E+000	9.1185248E-005	14	-1.4806972E+000	5.0769997E+000	1.599959959581611E+001	-2.3891416E-006	1.0486364E+000
