EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.540              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.360               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	3.644213908698293E+003	-5.3938991E-001	-5.4004484E-001	1.822423073463142E-003	1.000000000000000E+000	0.0000000E+000	11	4.1364375E-001	3.4479697E+000	0.000000000000000E+000	-9.8419014E-007	7.5383389E-007	-1.7380241E-006	-9.5368862E-001	2.9633341E+005	2.2697459E+005	5.2330800E+005
2	1	0	1	0	3.644370408694347E+003	-5.3626174E-001	-5.3689718E-001	6.033068605777577E-003	1.000000000000000E+000	1.3141640E-006	11	4.0945035E-001	3.4479661E+000	0.000000000000000E+000	-3.2391376E-006	2.4702420E-006	-5.7093798E-006	-9.4634753E-001	8.8992391E+004	6.7867680E+004	1.5686006E+005
2	1	0	1	0	3.644650908687254E+003	-5.3065157E-001	-5.3125530E-001	7.606060116013114E-003	1.000000000000000E+000	3.7721322E-006	13	4.0259895E-001	3.4479663E+000	2.804999929066980E-001	-4.0407599E-006	3.0621918E-006	-7.1029517E-006	-9.3385422E-001	6.9846320E+004	5.2931340E+004	1.2277766E+005
2	1	0	1	0	3.644903308680877E+003	-5.2560335E-001	-5.2622581E-001	7.709725124085937E-003	1.000000000000000E+000	6.0847569E-006	13	3.9682701E-001	3.4479661E+000	5.328999865305377E-001	-4.0570562E-006	3.0594272E-006	-7.1164836E-006	-9.2305279E-001	6.8254805E+004	5.1470969E+004	1.1972577E+005
2	1	0	1	0	3.645155508674507E+003	-5.2055907E-001	-5.2119112E-001	7.971081109238929E-003	1.000000000000000E+000	8.4408739E-006	13	3.9140007E-001	3.4479661E+000	7.850999801594299E-001	-4.1544567E-006	3.1198817E-006	-7.2743383E-006	-9.1259122E-001	6.5385250E+004	4.9102508E+004	1.1448776E+005
2	1	0	1	0	3.645407708668136E+003	-5.1551551E-001	-5.1614827E-001	7.963126209351828E-003	1.000000000000000E+000	1.0827204E-005	13	3.8616061E-001	3.4479663E+000	1.037299973788322E+000	-4.1101539E-006	3.0750457E-006	-7.1851996E-006	-9.0230888E-001	6.4817293E+004	4.8493594E+004	1.1331088E+005
2	1	0	1	0	3.645660108661759E+003	-5.1046735E-001	-5.1108545E-001	8.159595073194525E-003	1.000000000000000E+000	1.3242047E-005	13	3.8125980E-001	3.4479661E+000	1.289699967412162E+000	-4.1702501E-006	3.1109255E-006	-7.2811758E-006	-8.9234525E-001	6.2636129E+004	4.6725332E+004	1.0936146E+005
2	1	0	1	0	3.645912508655383E+003	-5.0541937E-001	-5.0608206E-001	8.120622379044366E-003	1.000000000000000E+000	1.5680238E-005	13	3.7651601E-001	3.4479663E+000	1.542099961036001E+000	-4.1097014E-006	3.0575443E-006	-7.1672457E-006	-8.8259804E-001	6.2320602E+004	4.6365414E+004	1.0868602E+005
2	1	0	1	0	3.646164208649025E+003	-5.0038505E-001	-5.0101125E-001	8.290860381935910E-003	1.000000000000000E+000	1.8126679E-005	13	3.7214693E-001	3.4479654E+000	1.793799954677524E+000	-4.1538142E-006	3.0854183E-006	-7.2392327E-006	-8.7315822E-001	6.0429344E+004	4.4886406E+004	1.0531575E+005
2	1	0	1	0	3.646414808642694E+003	-4.9537241E-001	-4.9601027E-001	8.378376424602484E-003	1.000000000000000E+000	2.0592694E-005	13	3.6801040E-001	3.4479656E+000	2.044399948346836E+000	-4.1557610E-006	3.0833296E-006	-7.2390903E-006	-8.6402071E-001	5.9201238E+004	4.3923832E+004	1.0312507E+005
