EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927596726218326E+003	-4.3997547E-001	-4.4071424E-001	4.785151220858097E-003	1.000000000000000E+000	0.0000000E+000	14	-1.4242622E+000	3.4581230E+000	0.000000000000000E+000	-2.1088842E-006	9.8354793E-001
2	1	0	0	0	2.928696726190537E+003	-4.3942550E-001	-4.4012257E-001	4.374739762103851E-003	1.000000000000000E+000	4.9695332E-006	14	-1.4244115E+000	3.4581218E+000	0.000000000000000E+000	-1.9254217E-006	9.8428893E-001
2	1	0	0	0	2.930696726140013E+003	-4.3842554E-001	-4.3911833E-001	4.451453568502711E-003	1.000000000000000E+000	1.4094008E-005	14	-1.4246249E+000	3.4581218E+000	1.999999949475750E+000	-1.9547149E-006	9.8550659E-001
2	1	0	0	0	2.932696726089489E+003	-4.3742555E-001	-4.3805784E-001	4.520025324283583E-003	1.000000000000000E+000	2.3366843E-005	14	-1.4248835E+000	3.4581218E+000	3.999999898951501E+000	-1.9800325E-006	9.8682564E-001
2	1	0	0	0	2.934696726038965E+003	-4.3642554E-001	-4.3706954E-001	4.590184492771078E-003	1.000000000000000E+000	3.2783952E-005	14	-1.4251736E+000	3.4581218E+000	5.999999848427251E+000	-2.0062298E-006	9.8810410E-001
2	1	0	0	0	2.936696725988440E+003	-4.3542558E-001	-4.3608326E-001	4.666009457507950E-003	1.000000000000000E+000	4.2345091E-005	14	-1.4255098E+000	3.4581218E+000	7.999999797903001E+000	-2.0347686E-006	9.8942655E-001
2	1	0	0	0	2.938696725937916E+003	-4.3442553E-001	-4.3508855E-001	4.736668611527758E-003	1.000000000000000E+000	5.2049705E-005	14	-1.4258857E+000	3.4581218E+000	9.999999747378752E+000	-2.0608702E-006	9.9079716E-001
2	1	0	0	0	2.940696725887392E+003	-4.3342555E-001	-4.3411928E-001	4.815525556747052E-003	1.000000000000000E+000	6.1902028E-005	14	-1.4263108E+000	3.4581218E+000	1.199999969685450E+001	-2.0905125E-006	9.9219149E-001
2	1	0	0	0	2.942696725836868E+003	-4.3242550E-001	-4.3306732E-001	4.885327970467843E-003	1.000000000000000E+000	7.1903101E-005	14	-1.4267647E+000	3.4581218E+000	1.399999964633025E+001	-2.1156759E-006	9.9369740E-001
2	1	0	0	0	2.944696725786343E+003	-4.3142554E-001	-4.3210024E-001	4.962237635147318E-003	1.000000000000000E+000	8.2051913E-005	14	-1.4272522E+000	3.4581218E+000	1.599999959580600E+001	-2.1441840E-006	9.9515194E-001
