EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927463126211514E+003	-4.3998936E-001	-4.4038773E-001	1.355420332401991E-003	1.000000000000000E+000	0.0000000E+000	14	-1.1426042E+000	4.1727738E+000	0.000000000000000E+000	-5.9691047E-007	7.0221651E-001
2	1	0	1	0	2.928562626183739E+003	-4.3943971E-001	-4.3976036E-001	1.397429011333679E-003	1.000000000000000E+000	1.6962314E-006	14	-1.1424521E+000	4.1727729E+000	0.000000000000000E+000	-6.1453386E-007	7.0269179E-001
2	1	0	1	0	2.930562226133225E+003	-4.3843994E-001	-4.3873626E-001	1.439848370848335E-003	1.000000000000000E+000	4.8299853E-006	14	-1.1422522E+000	4.1727729E+000	1.999599949485855E+000	-6.3171370E-007	7.0351595E-001
2	1	0	1	0	2.932561426082721E+003	-4.3744034E-001	-4.3780142E-001	1.472312522099766E-003	1.000000000000000E+000	8.0388781E-006	14	-1.1421310E+000	4.1727729E+000	3.998799898981815E+000	-6.4458050E-007	7.0432955E-001
2	1	0	1	0	2.934561026032206E+003	-4.3644047E-001	-4.3683138E-001	1.511181734775376E-003	1.000000000000000E+000	1.1324573E-005	14	-1.1420771E+000	4.1727734E+000	5.998399848467670E+000	-6.6013160E-007	7.0524573E-001
2	1	0	1	0	2.936560925981685E+003	-4.3544057E-001	-4.3573925E-001	1.546469145409674E-003	1.000000000000000E+000	1.4681629E-005	14	-1.1420997E+000	4.1727734E+000	7.998299797945947E+000	-6.7385730E-007	7.0636046E-001
2	1	0	1	0	2.938560725931166E+003	-4.3444061E-001	-4.3474898E-001	1.584783214697991E-003	1.000000000000000E+000	1.8108962E-005	14	-1.1421839E+000	4.1727724E+000	9.998099747426750E+000	-6.8898288E-007	7.0743489E-001
2	1	0	1	0	2.940560225880654E+003	-4.3344092E-001	-4.3379602E-001	1.620169394126110E-003	1.000000000000000E+000	2.1606438E-005	14	-1.1423423E+000	4.1727729E+000	1.199759969691513E+001	-7.0282306E-007	7.0854628E-001
2	1	0	1	0	2.942559825830140E+003	-4.3244109E-001	-4.3280903E-001	1.653764059771545E-003	1.000000000000000E+000	2.5171772E-005	14	-1.1425807E+000	4.1727729E+000	1.399719964640099E+001	-7.1576403E-007	7.0977175E-001
2	1	0	1	0	2.944559325779628E+003	-4.3144134E-001	-4.3178496E-001	1.691111322406406E-003	1.000000000000000E+000	2.8811739E-005	14	-1.1428750E+000	4.1727719E+000	1.599669959588937E+001	-7.3019640E-007	7.1108997E-001
