EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.540              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.360               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	2.234942344290248E+003	-5.3940934E-001	-5.3989601E-001	4.558025393635035E-003	1.000000000000000E+000	0.0000000E+000	11	2.5226706E-001	3.8025870E+000	0.000000000000000E+000	-2.4608598E-006	1.1498397E-006	-3.6106994E-006	-7.9216307E-001	1.1844954E+005	5.5345691E+004	1.7379523E+005
2	1	0	1	0	2.235100844286244E+003	-5.3624052E-001	-5.3674126E-001	5.379432901591583E-003	1.000000000000000E+000	1.1892430E-006	11	2.4899988E-001	3.8025849E+000	0.000000000000000E+000	-2.8873635E-006	1.3394781E-006	-4.2268416E-006	-7.8574115E-001	9.9776547E+004	4.6287383E+004	1.4606394E+005
2	1	0	1	0	2.235382544279128E+003	-5.3060669E-001	-5.3113538E-001	6.497824363892055E-003	1.000000000000000E+000	3.3827030E-006	13	2.4333830E-001	3.8025851E+000	2.816999928836594E-001	-3.4512243E-006	1.5811695E-006	-5.0323938E-006	-7.7447367E-001	8.1740492E+004	3.7449195E+004	1.1918970E+005
2	1	0	1	0	2.235634244272769E+003	-5.2557242E-001	-5.2608991E-001	6.838104230048518E-003	1.000000000000000E+000	5.4617190E-006	13	2.3825705E-001	3.8025851E+000	5.333999865251826E-001	-3.5974576E-006	1.6292265E-006	-5.2266842E-006	-7.6434696E-001	7.6935055E+004	3.4842559E+004	1.1177761E+005
2	1	0	1	0	2.235885844266413E+003	-5.2054036E-001	-5.2107078E-001	6.804479960683799E-003	1.000000000000000E+000	7.5807502E-006	13	2.3327379E-001	3.8025851E+000	7.849999801692320E-001	-3.5456158E-006	1.5873068E-006	-5.1329225E-006	-7.5434458E-001	7.6577602E+004	3.4282383E+004	1.1085998E+005
2	1	0	1	0	2.236137344260060E+003	-5.1551044E-001	-5.1603442E-001	6.907018353821277E-003	1.000000000000000E+000	9.7084849E-006	13	2.2830483E-001	3.8025849E+000	1.036499973815808E+000	-3.5642593E-006	1.5769057E-006	-5.1411648E-006	-7.4433923E-001	7.4711602E+004	3.3054035E+004	1.0776564E+005
2	1	0	1	0	2.236388644253711E+003	-5.1048446E-001	-5.1099753E-001	7.147428790961460E-003	1.000000000000000E+000	1.1879998E-005	13	2.2331843E-001	3.8025851E+000	1.287799967467436E+000	-3.6523186E-006	1.5961525E-006	-5.2484711E-006	-7.3431599E-001	7.1493898E+004	3.1244582E+004	1.0273848E+005
2	1	0	1	0	2.236639844247365E+003	-5.0546032E-001	-5.0600153E-001	7.118254393368710E-003	1.000000000000000E+000	1.4067693E-005	13	2.1833056E-001	3.8025851E+000	1.538999961121590E+000	-3.6018475E-006	1.5541325E-006	-5.1559800E-006	-7.2433209E-001	7.1085063E+004	3.0671924E+004	1.0175698E+005
2	1	0	1	0	2.236891144241017E+003	-5.0043452E-001	-5.0094879E-001	7.163135125074451E-003	1.000000000000000E+000	1.6262355E-005	13	2.1341459E-001	3.8025851E+000	1.790299954773218E+000	-3.5883638E-006	1.5287176E-006	-5.1170814E-006	-7.1436340E-001	6.9934289E+004	2.9793463E+004	9.9727758E+004
2	1	0	1	0	2.237141844234684E+003	-4.9541983E-001	-4.9595138E-001	7.259529687030225E-003	1.000000000000000E+000	1.8473635E-005	13	2.0849849E-001	3.8025854E+000	2.040999948440003E+000	-3.6003737E-006	1.5136010E-006	-5.1139750E-006	-7.0444989E-001	6.8317289E+004	2.8720662E+004	9.7037953E+004
2	1	0	1	0	2.237391844228368E+003	-4.9041986E-001	-4.9094754E-001	7.341483136287411E-003	1.000000000000000E+000	2.0699665E-005	13	2.0362382E-001	3.8025854E+000	2.290999942124472E+000	-3.6042832E-006	1.4949009E-006	-5.0991839E-006	-6.9457138E-001	6.6873070E+004	2.7736061E+004	9.4609133E+004
2	1	0	1	0	2.237641844222053E+003	-4.8541984E-001	-4.8597312E-001	7.416026665374595E-003	1.000000000000000E+000	2.2946590E-005	13	1.9877763E-001	3.8025854E+000	2.540999935808941E+000	-3.6039896E-006	1.4741402E-006	-5.0781300E-006	-6.8475074E-001	6.5530121E+004	2.6803791E+004	9.2333914E+004
2	1	0	1	0	2.237891844215737E+003	-4.8041987E-001	-4.8095867E-001	7.452891986709467E-003	1.000000000000000E+000	2.5207164E-005	13	1.9397888E-001	3.8025854E+000	2.790999929493410E+000	-3.5845330E-006	1.4457036E-006	-5.0302365E-006	-6.7493755E-001	6.4533160E+004	2.6027330E+004	9.0560492E+004
2	1	0	1	0	2.238141844209422E+003	-4.7541988E-001	-4.7597590E-001	7.532064881742822E-003	1.000000000000000E+000	2.7485550E-005	13	1.8919414E-001	3.8025854E+000	3.040999923177878E+000	-3.5850815E-006	1.4250226E-006	-5.0101039E-006	-6.6517007E-001	6.3193281E+004	2.5118496E+004	8.8311781E+004
2	1	0	1	0	2.238391844203106E+003	-4.7041982E-001	-4.7094205E-001	7.578491467505805E-003	1.000000000000000E+000	2.9781690E-005	13	1.8446100E-001	3.8025854E+000	3.290999916862347E+000	-3.5690302E-006	1.3979361E-006	-4.9669666E-006	-6.5540302E-001	6.2141926E+004	2.4340068E+004	8.6481992E+004
2	1	0	1	0	2.238641844196791E+003	-4.6541989E-001	-4.6597618E-001	7.676802544306628E-003	1.000000000000000E+000	3.2091419E-005	13	1.7974816E-001	3.8025854E+000	3.540999910546816E+000	-3.5772071E-006	1.3798912E-006	-4.9570981E-006	-6.4572436E-001	6.0699254E+004	2.3414457E+004	8.4113711E+004
2	1	0	1	0	2.238891844190475E+003	-4.6041983E-001	-4.6095467E-001	7.764394562944906E-003	1.000000000000000E+000	3.4425273E-005	13	1.7508706E-001	3.8025854E+000	3.790999904231284E+000	-3.5790340E-006	1.3594450E-006	-4.9384789E-006	-6.3604176E-001	5.9367754E+004	2.2549996E+004	8.1917750E+004
2	1	0	1	0	2.239141844184160E+003	-4.5541984E-001	-4.5595291E-001	7.807935311278436E-003	1.000000000000000E+000	3.6777157E-005	13	1.7047109E-001	3.8025854E+000	4.040999897915754E+000	-3.5600508E-006	1.3310272E-006	-4.8910779E-006	-6.2642401E-001	5.8396094E+004	2.1833057E+004	8.0229148E+004
2	1	0	1	0	2.239391844177844E+003	-4.5041984E-001	-4.5096669E-001	7.926201566635759E-003	1.000000000000000E+000	3.9147821E-005	13	1.6589402E-001	3.8025854E+000	4.290999891600222E+000	-3.5744529E-006	1.3149095E-006	-4.8893621E-006	-6.1686069E-001	5.6895688E+004	2.0929826E+004	7.7825516E+004
2	1	0	1	0	2.239641844171529E+003	-4.4541985E-001	-4.4595316E-001	7.975246939811345E-003	1.000000000000000E+000	4.1540523E-005	13	1.6137528E-001	3.8025854E+000	4.540999885284691E+000	-3.5565865E-006	1.2870078E-006	-4.8435945E-006	-6.0732841E-001	5.5917160E+004	2.0234520E+004	7.6151680E+004
2	1	0	1	0	2.239891844165213E+003	-4.4041982E-001	-4.4095650E-001	8.043783761800136E-003	1.000000000000000E+000	4.3949189E-005	13	1.5691561E-001	3.8025854E+000	4.790999878969160E+000	-3.5469589E-006	1.2621952E-006	-4.8091538E-006	-5.9787214E-001	5.4819539E+004	1.9507686E+004	7.4327227E+004
2	1	0	1	0	2.240141844158898E+003	-4.3541986E-001	-4.3597656E-001	8.150015655726039E-003	1.000000000000000E+000	4.6378791E-005	13	1.5248787E-001	3.8025854E+000	5.040999872653629E+000	-3.5532157E-006	1.2427786E-006	-4.7959943E-006	-5.8846444E-001	5.3493953E+004	1.8710133E+004	7.2204086E+004
2	1	0	1	0	2.240391844152582E+003	-4.3041980E-001	-4.3096760E-001	8.214612843050639E-003	1.000000000000000E+000	4.8826831E-005	13	1.4810050E-001	3.8025854E+000	5.290999866338097E+000	-3.5402320E-006	1.2165882E-006	-4.7568201E-006	-5.7906806E-001	5.2463531E+004	1.8028908E+004	7.0492438E+004
2	1	0	1	0	2.240641844146267E+003	-4.2541984E-001	-4.2597336E-001	8.272797077558500E-003	1.000000000000000E+000	5.1289247E-005	13	1.4375740E-001	3.8025854E+000	5.540999860022566E+000	-3.5239912E-006	1.1892758E-006	-4.7132671E-006	-5.6973076E-001	5.1490852E+004	1.7377121E+004	6.8867969E+004
2	1	0	1	0	2.240891844139951E+003	-4.2041981E-001	-4.2097834E-001	8.371230251263572E-003	1.000000000000000E+000	5.3775515E-005	13	1.3943994E-001	3.8025854E+000	5.790999853707035E+000	-3.5241067E-006	1.1672838E-006	-4.6913906E-006	-5.6041825E-001	5.0288707E+004	1.6657043E+004	6.6945750E+004
2	1	0	1	0	2.241141844133636E+003	-4.1541985E-001	-4.1597229E-001	8.436908028175653E-003	1.000000000000000E+000	5.6276931E-005	13	1.3516764E-001	3.8025854E+000	6.040999847391503E+000	-3.5095200E-006	1.1403970E-006	-4.6499172E-006	-5.5113995E-001	4.9303879E+004	1.6020993E+004	6.5324871E+004
2	1	0	1	0	2.241391844127320E+003	-4.1041982E-001	-4.1096532E-001	8.525928260471854E-003	1.000000000000000E+000	5.8800761E-005	13	1.3088772E-001	3.8025854E+000	6.290999841075973E+000	-3.5038609E-006	1.1159393E-006	-4.6198002E-006	-5.4185307E-001	4.8201828E+004	1.5351727E+004	6.3553555E+004
2	1	0	1	0	2.241641844121004E+003	-4.0541983E-001	-4.0595931E-001	8.560266154485658E-003	1.000000000000000E+000	6.1344450E-005	13	1.2663727E-001	3.8025854E+000	6.540999834760442E+000	-3.4751197E-006	1.0840487E-006	-4.5591682E-006	-5.3259659E-001	4.7423680E+004	1.4793613E+004	6.2217293E+004
2	1	0	1	0	2.241891844114689E+003	-4.0041983E-001	-4.0095276E-001	8.637276685600298E-003	1.000000000000000E+000	6.3899890E-005	13	1.2241463E-001	3.8025854E+000	6.790999828444910E+000	-3.4631398E-006	1.0573291E-006	-4.5204688E-006	-5.2336740E-001	4.6421199E+004	1.4172827E+004	6.0594027E+004
2	1	0	1	0	2.242141844108373E+003	-3.9541981E-001	-3.9595461E-001	8.702356713985559E-003	1.000000000000000E+000	6.6473258E-005	13	1.1819350E-001	3.8025854E+000	7.040999822129379E+000	-3.4457382E-006	1.0285620E-006	-4.4743001E-006	-5.1414812E-001	4.5499699E+004	1.3581780E+004	5.9081480E+004
2	1	0	1	0	2.242391844102058E+003	-3.9041981E-001	-3.9094833E-001	8.750244416573766E-003	1.000000000000000E+000	6.9060472E-005	13	1.1401580E-001	3.8025854E+000	7.290999815813848E+000	-3.4208933E-006	9.9766612E-007	-4.4185595E-006	-5.0496411E-001	4.4678563E+004	1.3030013E+004	5.7708574E+004
2	1	0	1	0	2.242641844095742E+003	-3.8541982E-001	-3.8595814E-001	8.829541986279165E-003	1.000000000000000E+000	7.1660390E-005	13	1.0983215E-001	3.8025854E+000	7.540999809498317E+000	-3.4078334E-006	9.6976760E-007	-4.3776013E-006	-4.9579030E-001	4.3712137E+004	1.2439168E+004	5.6151305E+004
2	1	0	1	0	2.242891844089427E+003	-3.8041979E-001	-3.8095939E-001	8.885353177209371E-003	1.000000000000000E+000	7.4279444E-005	13	1.0567769E-001	3.8025854E+000	7.790999803182785E+000	-3.3849587E-006	9.3898365E-007	-4.3239424E-006	-4.8663709E-001	4.2874984E+004	1.1893472E+004	5.4768457E+004
2	1	0	1	0	2.243141844083111E+003	-3.7541983E-001	-3.7596580E-001	8.983650617380684E-003	1.000000000000000E+000	7.6916942E-005	13	1.0152207E-001	3.8025854E+000	8.040999796867254E+000	-3.3775455E-006	9.1203884E-007	-4.2895845E-006	-4.7748786E-001	4.1850004E+004	1.1300760E+004	5.3150762E+004
2	1	0	1	0	2.243391844076796E+003	-3.7041977E-001	-3.7096581E-001	9.027128327807401E-003	1.000000000000000E+000	7.9573998E-005	13	9.7365245E-002	3.8025854E+000	8.290999790551724E+000	-3.3487559E-006	8.7892857E-007	-4.2276847E-006	-4.6833104E-001	4.1094555E+004	1.0785850E+004	5.1880402E+004
2	1	0	1	0	2.243641844070480E+003	-3.6541978E-001	-3.6596373E-001	9.090495199205912E-003	1.000000000000000E+000	8.2248735E-005	13	9.3227215E-002	3.8025854E+000	8.540999784236192E+000	-3.3267916E-006	8.4748154E-007	-4.1742733E-006	-4.5919093E-001	4.0257844E+004	1.0255461E+004	5.0513305E+004
2	1	0	1	0	2.243891844064164E+003	-3.6041975E-001	-3.6095834E-001	9.195949683491800E-003	1.000000000000000E+000	8.4940781E-005	13	8.9069299E-002	3.8025854E+000	8.790999777920660E+000	-3.3193546E-006	8.1907677E-007	-4.1384314E-006	-4.5002764E-001	3.9251883E+004	9.6857100E+003	4.8937594E+004
2	1	0	1	0	2.244141844057849E+003	-3.5541978E-001	-3.5594413E-001	9.248702617585550E-003	1.000000000000000E+000	8.7650427E-005	13	8.4927857E-002	3.8025854E+000	9.040999771605129E+000	-3.2920213E-006	7.8547248E-007	-4.0774939E-006	-4.4087198E-001	3.8485844E+004	9.1826777E+003	4.7668523E+004
2	1	0	1	0	2.244391844051533E+003	-3.5041976E-001	-3.5097095E-001	9.293941290911378E-003	1.000000000000000E+000	9.0376459E-005	13	8.0789097E-002	3.8025854E+000	9.290999765289599E+000	-3.2619034E-006	7.5084910E-007	-4.0127525E-006	-4.3176004E-001	3.7763414E+004	8.6926631E+003	4.6456078E+004
2	1	0	1	0	2.244641844045218E+003	-3.4541976E-001	-3.4597149E-001	9.358521474669472E-003	1.000000000000000E+000	9.3117997E-005	13	7.6671608E-002	3.8025854E+000	9.540999758974067E+000	-3.2377816E-006	7.1753288E-007	-3.9553147E-006	-4.2264310E-001	3.6968605E+004	8.1927051E+003	4.5161313E+004
2	1	0	1	0	2.244891844038902E+003	-3.4041974E-001	-3.4097043E-001	9.448855615824481E-003	1.000000000000000E+000	9.5879404E-005	13	7.2557218E-002	3.8025854E+000	9.790999752658536E+000	-3.2217804E-006	6.8558268E-007	-3.9073630E-006	-4.1352764E-001	3.6085898E+004	7.6789424E+003	4.3764840E+004
2	1	0	1	0	2.245141844032587E+003	-3.3541974E-001	-3.3596346E-001	9.519525531791917E-003	1.000000000000000E+000	9.8658718E-005	13	6.8433590E-002	3.8025854E+000	1.004099974634300E+001	-3.1982127E-006	6.5145531E-007	-3.8496682E-006	-4.0439704E-001	3.5292039E+004	7.1887607E+003	4.2480797E+004
2	1	0	1	0	2.245391844026271E+003	-3.3041978E-001	-3.3097163E-001	9.611880686094504E-003	1.000000000000000E+000	1.0145632E-004	13	6.4310722E-002	3.8025854E+000	1.029099974002747E+001	-3.1812599E-006	6.1814700E-007	-3.7994068E-006	-3.9528236E-001	3.4433598E+004	6.6907534E+003	4.1124352E+004
2	1	0	1	0	2.245641844019956E+003	-3.2541972E-001	-3.2596916E-001	9.652285311580188E-003	1.000000000000000E+000	1.0427090E-004	13	6.0226630E-002	3.8025854E+000	1.054099973371194E+001	-3.1463474E-006	5.8132463E-007	-3.7276720E-006	-3.8619578E-001	3.3771191E+004	6.2396240E+003	4.0010813E+004
2	1	0	1	0	2.245891844013640E+003	-3.2041973E-001	-3.2096469E-001	9.738438112738917E-003	1.000000000000000E+000	1.0710401E-004	13	5.6117591E-002	3.8025854E+000	1.079099972739641E+001	-3.1256948E-006	5.4649769E-007	-3.6721924E-006	-3.7708229E-001	3.2958539E+004	5.7624839E+003	3.8721023E+004
2	1	0	1	0	2.246141844007325E+003	-3.1541973E-001	-3.1597272E-001	9.789686806842140E-003	1.000000000000000E+000	1.0995268E-004	13	5.2010916E-002	3.8025854E+000	1.104099972108088E+001	-3.0932740E-006	5.0917060E-007	-3.6024444E-006	-3.6798364E-001	3.2276080E+004	5.3128271E+003	3.7588906E+004
2	1	0	1	0	2.246391844001009E+003	-3.1041971E-001	-3.1098366E-001	9.850607634336733E-003	1.000000000000000E+000	1.1281834E-004	13	4.7922149E-002	3.8025854E+000	1.129099971476535E+001	-3.0633780E-006	4.7206228E-007	-3.5354403E-006	-3.5890579E-001	3.1569998E+004	4.8648926E+003	3.6434891E+004
2	1	0	1	0	2.246641843994694E+003	-3.0541971E-001	-3.0598530E-001	9.936928181658894E-003	1.000000000000000E+000	1.1569780E-004	13	4.3837354E-002	3.8025854E+000	1.154099970844982E+001	-3.0405540E-006	4.3560863E-007	-3.4761626E-006	-3.4982264E-001	3.0792746E+004	4.4115601E+003	3.5204305E+004
2	1	0	1	0	2.246891843988378E+003	-3.0041969E-001	-3.0096617E-001	9.987313486477370E-003	1.000000000000000E+000	1.1859571E-004	13	3.9765917E-002	3.8025854E+000	1.179099970213428E+001	-3.0058436E-006	3.9715468E-007	-3.4029981E-006	-3.4073210E-001	3.0134848E+004	3.9816431E+003	3.4116492E+004
2	1	0	1	0	2.247141843982063E+003	-2.9541969E-001	-2.9599667E-001	1.009204603817174E-002	1.000000000000000E+000	1.2151299E-004	13	3.5698339E-002	3.8025854E+000	1.204099969581876E+001	-2.9872119E-006	3.6026930E-007	-3.3474812E-006	-3.3169502E-001	2.9329699E+004	3.5372747E+003	3.2866973E+004
2	1	0	1	0	2.247391843975747E+003	-2.9041967E-001	-2.9099745E-001	1.013229832133966E-002	1.000000000000000E+000	1.2444740E-004	13	3.1641003E-002	3.8025854E+000	1.229099968950322E+001	-2.9484729E-006	3.2059609E-007	-3.2690691E-006	-3.2263845E-001	2.8719787E+004	3.1227864E+003	3.1842572E+004
2	1	0	1	0	2.247641843969432E+003	-2.8541970E-001	-2.8599986E-001	1.021164883269465E-002	1.000000000000000E+000	1.2740040E-004	13	2.7578231E-002	3.8025854E+000	1.254099968318769E+001	-2.9205303E-006	2.8161921E-007	-3.2021494E-006	-3.1357810E-001	2.8007217E+004	2.7006638E+003	3.0707881E+004
2	1	0	1	0	2.247891843963116E+003	-2.8041965E-001	-2.8099266E-001	1.030803826811007E-002	1.000000000000000E+000	1.3037301E-004	13	2.3520967E-002	3.8025854E+000	1.279099967687216E+001	-2.8964830E-006	2.4245503E-007	-3.1389382E-006	-3.0451363E-001	2.7259566E+004	2.2818083E+003	2.9541375E+004
2	1	0	1	0	2.248141843956801E+003	-2.7541965E-001	-2.7598086E-001	1.037704559034343E-002	1.000000000000000E+000	1.3336286E-004	13	1.9465135E-002	3.8025854E+000	1.304099967055663E+001	-2.8638660E-006	2.0199060E-007	-3.0658566E-006	-2.9544601E-001	2.6595320E+004	1.8757878E+003	2.8471109E+004
2	1	0	1	0	2.248391843950485E+003	-2.7041963E-001	-2.7099782E-001	1.042550052361731E-002	1.000000000000000E+000	1.3637332E-004	13	1.5400414E-002	3.8025854E+000	1.329099966424110E+001	-2.8252880E-006	1.6055702E-007	-2.9858450E-006	-2.8639823E-001	2.5993746E+004	1.4771870E+003	2.7470934E+004
2	1	0	1	0	2.248641843944170E+003	-2.6541966E-001	-2.6598638E-001	1.050995203126293E-002	1.000000000000000E+000	1.3940086E-004	13	1.1342092E-002	3.8025854E+000	1.354099965792557E+001	-2.7955041E-006	1.1920485E-007	-2.9147091E-006	-2.7732846E-001	2.5308049E+004	1.0791764E+003	2.6387227E+004
2	1	0	1	0	2.248891843937854E+003	-2.6041964E-001	-2.6099977E-001	1.061454982430283E-002	1.000000000000000E+000	1.4245280E-004	13	7.2732763E-003	3.8025854E+000	1.379099965161004E+001	-2.7703950E-006	7.7202557E-008	-2.8475977E-006	-2.6827306E-001	2.4588869E+004	6.8521759E+002	2.5274086E+004
2	1	0	1	0	2.249141843931539E+003	-2.5541967E-001	-2.5599405E-001	1.072387953964384E-002	1.000000000000000E+000	1.4553126E-004	13	3.1919261E-003	3.8025854E+000	1.404099964529451E+001	-2.7452493E-006	3.4229831E-008	-2.7794792E-006	-2.5918597E-001	2.3871402E+004	2.9764658E+002	2.4169049E+004
2	1	0	1	0	2.249391843925223E+003	-2.5041962E-001	-2.5100514E-001	1.081893706993604E-002	1.000000000000000E+000	1.4863194E-004	13	-8.6934539E-004	3.8025854E+000	1.429099963897897E+001	-2.7156088E-006	-9.4053929E-009	-2.7062035E-006	-2.5013581E-001	2.3200537E+004	8.0354050E+001	2.3120182E+004
2	1	0	1	0	2.249641843918908E+003	-2.4541964E-001	-2.4598926E-001	1.094335751931921E-002	1.000000000000000E+000	1.5175914E-004	13	-4.9582054E-003	3.8025854E+000	1.454099963266344E+001	-2.6919483E-006	-5.4259413E-008	-2.6376890E-006	-2.4103105E-001	2.2478408E+004	4.5307898E+002	2.2025330E+004
2	1	0	1	0	2.249891843912592E+003	-2.4041963E-001	-2.4099571E-001	1.104261269883998E-002	1.000000000000000E+000	1.5491211E-004	13	-9.0323407E-003	3.8025854E+000	1.479099962634791E+001	-2.6612222E-006	-9.9740639E-008	-2.5614816E-006	-2.3196337E-001	2.1824156E+004	8.1795325E+002	2.1006203E+004
2	1	0	1	0	2.250141843906276E+003	-2.3541963E-001	-2.3597237E-001	1.116227704954817E-002	1.000000000000000E+000	1.5809077E-004	13	-1.3125614E-002	3.8025854E+000	1.504099962003238E+001	-2.6339890E-006	-1.4651174E-007	-2.4874773E-006	-2.2284676E-001	2.1140164E+004	1.1758904E+003	1.9964273E+004
2	1	0	1	0	2.250391843899961E+003	-2.3041962E-001	-2.3099755E-001	1.128765480152535E-002	1.000000000000000E+000	1.6129841E-004	13	-1.7238285E-002	3.8025854E+000	1.529099961371685E+001	-2.6074206E-006	-1.9457981E-007	-2.4128408E-006	-2.1375926E-001	2.0464619E+004	1.5271804E+003	1.8937438E+004
2	1	0	1	0	2.250641843893645E+003	-2.2541961E-001	-2.2597989E-001	1.135594247453089E-002	1.000000000000000E+000	1.6453034E-004	13	-2.1349221E-002	3.8025854E+000	1.554099960740132E+001	-2.5662148E-006	-2.4244054E-007	-2.3237742E-006	-2.0463067E-001	1.9899703E+004	1.8800044E+003	1.8019699E+004
2	1	0	1	0	2.250891843887330E+003	-2.2041962E-001	-2.2099784E-001	1.153918231903184E-002	1.000000000000000E+000	1.6779738E-004	13	-2.5463350E-002	3.8025854E+000	1.579099960108579E+001	-2.5501345E-006	-2.9382625E-007	-2.2563081E-006	-1.9553450E-001	1.9151949E+004	2.2066858E+003	1.6945264E+004
2	1	0	1	0	2.251141843881014E+003	-2.1541961E-001	-2.1599998E-001	1.165678718588223E-002	1.000000000000000E+000	1.7109913E-004	13	-2.9618371E-002	3.8025854E+000	1.604099959477026E+001	-2.5178658E-006	-3.4525505E-007	-2.1726107E-006	-1.8638161E-001	1.8529975E+004	2.5408691E+003	1.5989105E+004
2	1	0	1	0	2.251391843874699E+003	-2.1041961E-001	-2.1100999E-001	1.177803408370370E-002	1.000000000000000E+000	1.7443228E-004	13	-3.3763785E-002	3.8025854E+000	1.629099958845472E+001	-2.4852829E-006	-3.9767102E-007	-2.0876118E-006	-1.7724621E-001	1.7915553E+004	2.8666741E+003	1.5048879E+004
2	1	0	1	0	2.251641843868383E+003	-2.0541960E-001	-2.0596974E-001	1.192985069609353E-002	1.000000000000000E+000	1.7780675E-004	13	-3.7934501E-002	3.8025854E+000	1.654099958213919E+001	-2.4571882E-006	-4.5255294E-007	-2.0046352E-006	-1.6803524E-001	1.7265072E+004	3.1797969E+003	1.4085275E+004
2	1	0	1	0	2.251891843862068E+003	-2.0041960E-001	-2.0097676E-001	1.206141925471535E-002	1.000000000000000E+000	1.8121683E-004	13	-4.2140871E-002	3.8025854E+000	1.679099957582366E+001	-2.4240649E-006	-5.0827873E-007	-1.9157862E-006	-1.5883589E-001	1.6662779E+004	3.4938567E+003	1.3168922E+004
2	1	0	1	0	2.252141843855752E+003	-1.9541961E-001	-1.9599183E-001	1.224075703581541E-002	1.000000000000000E+000	1.8466210E-004	13	-4.6343494E-002	3.8025854E+000	1.704099956950813E+001	-2.3990883E-006	-5.6727947E-007	-1.8318090E-006	-1.4964834E-001	1.6011414E+004	3.7859990E+003	1.2225415E+004
