EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	5.827636475735344E+003	-4.4001961E-001	-4.4049850E-001	4.695394076406956E-003	1.000000000000000E+000	0.0000000E+000	14	-1.4785906E+000	3.9261005E+000	0.000000000000000E+000	-2.0683140E-006	1.0380921E+000
2	1	0	1	0	5.828736775722020E+003	-4.3946961E-001	-4.4002873E-001	5.066486271991036E-003	1.000000000000000E+000	5.7295265E-006	14	-1.4789340E+000	3.9260991E+000	0.000000000000000E+000	-2.2293996E-006	1.0389054E+000
2	1	0	1	0	5.830737075697820E+003	-4.3846947E-001	-4.3900850E-001	5.154278081271394E-003	1.000000000000000E+000	1.6252983E-005	14	-1.4793717E+000	3.9260993E+000	2.000299975799862E+000	-2.2627719E-006	1.0403632E+000
2	1	0	1	0	5.832737375673605E+003	-4.3746930E-001	-4.3804547E-001	5.240779653741687E-003	1.000000000000000E+000	2.6953703E-005	14	-1.4799514E+000	3.9260991E+000	4.000599951585173E+000	-2.2956997E-006	1.0419059E+000
2	1	0	1	0	5.834737675649376E+003	-4.3646917E-001	-4.3701786E-001	5.328519465827727E-003	1.000000000000000E+000	3.7827744E-005	14	-1.4805956E+000	3.9260993E+000	6.000899927355931E+000	-2.3286582E-006	1.0435777E+000
2	1	0	1	0	5.836737975625176E+003	-4.3546900E-001	-4.3601978E-001	5.412878719983569E-003	1.000000000000000E+000	4.8870741E-005	14	-1.4813153E+000	3.9260991E+000	8.001199903155793E+000	-2.3601222E-006	1.0452955E+000
2	1	0	1	0	5.838738075600937E+003	-4.3446895E-001	-4.3498158E-001	5.501230490673664E-003	1.000000000000000E+000	6.0084763E-005	14	-1.4821423E+000	3.9260993E+000	1.000129987891705E+001	-2.3929340E-006	1.0471607E+000
2	1	0	1	0	5.840738075576723E+003	-4.3346897E-001	-4.3398586E-001	5.586389228564720E-003	1.000000000000000E+000	7.1472001E-005	14	-1.4830749E+000	3.9260993E+000	1.200129985470267E+001	-2.4244139E-006	1.0490891E+000
2	1	0	1	0	5.842738075552508E+003	-4.3246895E-001	-4.3303043E-001	5.668963519533859E-003	1.000000000000000E+000	8.3034683E-005	14	-1.4840399E+000	3.9260993E+000	1.400129983048828E+001	-2.4548337E-006	1.0510094E+000
2	1	0	1	0	5.844738075528294E+003	-4.3146896E-001	-4.3202195E-001	5.762696828187357E-003	1.000000000000000E+000	9.4771123E-005	14	-1.4851263E+000	3.9260993E+000	1.600129980627389E+001	-2.4896115E-006	1.0531043E+000
