EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	9.627985629714763E+003	-4.4002596E-001	-4.4046301E-001	6.333635188639164E-003	1.000000000000000E+000	0.0000000E+000	13	-1.3999115E+000	4.0544772E+000	0.000000000000000E+000	-2.7897320E-006	9.5944852E-001
2	1	0	1	0	9.629085529701464E+003	-4.3947613E-001	-4.3985561E-001	6.295879352043654E-003	1.000000000000000E+000	7.0937663E-006	13	-1.4000975E+000	4.0544758E+000	0.000000000000000E+000	-2.7692779E-006	9.6024191E-001
2	1	0	1	0	9.631085229677206E+003	-4.3847626E-001	-4.3891615E-001	6.406126456341782E-003	1.000000000000000E+000	2.0123509E-005	13	-1.4006004E+000	4.0544753E+000	1.999699975742260E+000	-2.8117524E-006	9.6168429E-001
2	1	0	1	0	9.633085029653026E+003	-4.3747640E-001	-4.3784109E-001	6.509959948284627E-003	1.000000000000000E+000	3.3367862E-005	13	-1.4012067E+000	4.0544758E+000	3.999499951562029E+000	-2.8503280E-006	9.6336567E-001
2	1	0	1	0	9.635085029628812E+003	-4.3647641E-001	-4.3687084E-001	6.613478287543245E-003	1.000000000000000E+000	4.6819780E-005	13	-1.4018909E+000	4.0544758E+000	5.999499927347642E+000	-2.8892359E-006	9.6502006E-001
2	1	0	1	0	9.637084729604612E+003	-4.3547648E-001	-4.3580845E-001	6.720349961384570E-003	1.000000000000000E+000	6.0483617E-005	13	-1.4026456E+000	4.0544758E+000	7.999199903148110E+000	-2.9287853E-006	9.6683717E-001
2	1	0	1	0	9.639084329580364E+003	-4.3447673E-001	-4.3488717E-001	6.826860316834476E-003	1.000000000000000E+000	7.4356067E-005	13	-1.4035025E+000	4.0544758E+000	9.998799878900172E+000	-2.9689140E-006	9.6861529E-001
2	1	0	1	0	9.641083929556167E+003	-4.3347692E-001	-4.3386731E-001	6.927279031419792E-003	1.000000000000000E+000	8.8438923E-005	13	-1.4044248E+000	4.0544758E+000	1.199839985470317E+001	-3.0055198E-006	9.7055745E-001
2	1	0	1	0	9.643083429531951E+003	-4.3247724E-001	-4.3289304E-001	7.035512943149969E-003	1.000000000000000E+000	1.0272858E-004	13	-1.4054117E+000	4.0544758E+000	1.399789983048686E+001	-3.0456247E-006	9.7251868E-001
2	1	0	0	0	9.645083229507785E+003	-4.3147731E-001	-4.3187621E-001	7.144574677992732E-003	1.000000000000000E+000	1.1723804E-004	13	-1.4064444E+000	4.0544758E+000	1.599769980632118E+001	-3.0855720E-006	9.7456825E-001
2	1	0	1	0	9.647083029483532E+003	-4.3047735E-001	-4.3085936E-001	7.253587630194090E-003	1.000000000000000E+000	1.3196529E-004	13	-1.4075214E+000	4.0544753E+000	1.799749978206819E+001	-3.1252762E-006	9.7666204E-001
2	1	0	0	0	9.649082829459308E+003	-4.2947745E-001	-4.2985216E-001	7.370332412294608E-003	1.000000000000000E+000	1.4691691E-004	13	-1.4086931E+000	4.0544758E+000	1.999729975784430E+001	-3.1681534E-006	9.7884095E-001
2	1	0	1	0	9.651082629435114E+003	-4.2847750E-001	-4.2883423E-001	7.482446177578490E-003	1.000000000000000E+000	1.6209400E-004	13	-1.4098619E+000	4.0544758E+000	2.199709973364952E+001	-3.2087291E-006	9.8102772E-001
2	1	0	1	0	9.653082329410885E+003	-4.2747775E-001	-4.2785993E-001	7.596555296825777E-003	1.000000000000000E+000	1.7749902E-004	13	-1.4110681E+000	4.0544758E+000	2.399679970942088E+001	-3.2502617E-006	9.8320818E-001
2	1	0	1	0	9.655082229386666E+003	-4.2647779E-001	-4.2684200E-001	7.712318683519070E-003	1.000000000000000E+000	1.9313862E-004	13	-1.4123108E+000	4.0544758E+000	2.599669968520175E+001	-3.2919415E-006	9.8546886E-001
2	1	0	1	0	9.657082229362451E+003	-4.2547780E-001	-4.2586213E-001	7.832725298614979E-003	1.000000000000000E+000	2.0901237E-004	13	-1.4135767E+000	4.0544758E+000	2.799669966098736E+001	-3.3356612E-006	9.8771459E-001
2	1	0	1	0	9.659082129338291E+003	-4.2447782E-001	-4.2486122E-001	7.951194504901948E-003	1.000000000000000E+000	2.2511982E-004	13	-1.4148819E+000	4.0544758E+000	2.999659963682643E+001	-3.3781541E-006	9.9002075E-001
2	1	0	1	0	9.661081729314028E+003	-4.2347807E-001	-4.2381158E-001	8.074582742901210E-003	1.000000000000000E+000	2.4147352E-004	13	-1.4162228E+000	4.0544758E+000	3.199619961256394E+001	-3.4221016E-006	9.9241126E-001
2	1	0	0	0	9.663081629289809E+003	-4.2247808E-001	-4.2287108E-001	8.193999365861945E-003	1.000000000000000E+000	2.5807510E-004	13	-1.4175972E+000	4.0544758E+000	3.399609958834480E+001	-3.4650054E-006	9.9472606E-001
2	1	0	0	0	9.665081629265595E+003	-4.2147809E-001	-4.2180225E-001	8.325091616564327E-003	1.000000000000000E+000	2.7492311E-004	13	-1.4189962E+000	4.0544758E+000	3.599609956413042E+001	-3.5115424E-006	9.9719393E-001
2	1	0	1	0	9.667081329241395E+003	-4.2047825E-001	-4.2084587E-001	8.446413879065542E-003	1.000000000000000E+000	2.9201593E-004	13	-1.4204042E+000	4.0544758E+000	3.799579953993089E+001	-3.5546384E-006	9.9955833E-001
2	1	0	0	0	9.669080829217186E+003	-4.1947848E-001	-4.1986108E-001	8.577745382664651E-003	1.000000000000000E+000	3.0936484E-004	13	-1.4218498E+000	4.0544758E+000	3.999529951572185E+001	-3.6014615E-006	1.0019888E+000
2	1	0	1	0	9.671080329193035E+003	-4.1847873E-001	-4.1883054E-001	8.706450483096198E-003	1.000000000000000E+000	3.2697295E-004	13	-1.4233087E+000	4.0544763E+000	4.199479949157103E+001	-3.6465274E-006	1.0044782E+000
2	1	0	1	0	9.673079929168816E+003	-4.1747895E-001	-4.1789025E-001	8.839073765844904E-003	1.000000000000000E+000	3.4484305E-004	13	-1.4247844E+000	4.0544758E+000	4.399439946735220E+001	-3.6937627E-006	1.0068941E+000
2	1	0	1	0	9.675079829144612E+003	-4.1647899E-001	-4.1683522E-001	8.974082722081618E-003	1.000000000000000E+000	3.6298318E-004	13	-1.4262999E+000	4.0544758E+000	4.599429944314761E+001	-3.7407137E-006	1.0094647E+000
2	1	0	1	0	9.677079629120388E+003	-4.1547903E-001	-4.1584164E-001	9.113855980702634E-003	1.000000000000000E+000	3.8139496E-004	13	-1.4278499E+000	4.0544753E+000	4.799409941892372E+001	-3.7899208E-006	1.0120082E+000
2	1	0	1	0	9.679079429096193E+003	-4.1447914E-001	-4.1487789E-001	9.250317311793238E-003	1.000000000000000E+000	4.0008331E-004	13	-1.4293833E+000	4.0544758E+000	4.999389939472894E+001	-3.8377520E-006	1.0145054E+000
2	1	0	1	0	9.681079129071950E+003	-4.1347930E-001	-4.1383457E-001	9.390959568558704E-003	1.000000000000000E+000	4.1904883E-004	13	-1.4309492E+000	4.0544763E+000	5.199359937048575E+001	-3.8863036E-006	1.0171146E+000
2	1	0	1	0	9.683078729047760E+003	-4.1247952E-001	-4.1286877E-001	9.532642111695355E-003	1.000000000000000E+000	4.3829516E-004	13	-1.4325634E+000	4.0544758E+000	5.399319934629602E+001	-3.9357301E-006	1.0196947E+000
2	1	0	1	0	9.685078329023556E+003	-4.1147971E-001	-4.1181493E-001	9.680987855153728E-003	1.000000000000000E+000	4.5783285E-004	13	-1.4341923E+000	4.0544758E+000	5.599279932209174E+001	-3.9867755E-006	1.0223774E+000
2	1	0	1	0	9.687077928999337E+003	-4.1047993E-001	-4.1082793E-001	9.833648379251603E-003	1.000000000000000E+000	4.7767546E-004	13	-1.4358692E+000	4.0544758E+000	5.799239929787291E+001	-4.0399373E-006	1.0250413E+000
2	1	0	1	0	9.689077528975147E+003	-4.0948009E-001	-4.0979740E-001	9.981844062921019E-003	1.000000000000000E+000	4.9781991E-004	13	-1.4375620E+000	4.0544758E+000	5.999199927368318E+001	-4.0905338E-006	1.0277646E+000
2	1	0	1	0	9.691077028950924E+003	-4.0848038E-001	-4.0879667E-001	1.013250113605041E-002	1.000000000000000E+000	5.1825575E-004	13	-1.4392543E+000	4.0544758E+000	6.199149924945959E+001	-4.1421326E-006	1.0304576E+000
2	1	0	0	0	9.693076828926714E+003	-4.0748051E-001	-4.0782121E-001	1.028454720127886E-002	1.000000000000000E+000	5.3900079E-004	13	-1.4409708E+000	4.0544758E+000	6.399129922525026E+001	-4.1942567E-006	1.0331496E+000
2	1	0	1	0	9.695076628902461E+003	-4.0648052E-001	-4.0682340E-001	1.043969342134782E-002	1.000000000000000E+000	5.6005252E-004	13	-1.4427471E+000	4.0544753E+000	6.599109920099727E+001	-4.2471115E-006	1.0359237E+000
2	1	0	0	0	9.697076428878237E+003	-4.0548065E-001	-4.0581411E-001	1.060175804005106E-002	1.000000000000000E+000	5.8141921E-004	13	-1.4445097E+000	4.0544758E+000	6.799089917677338E+001	-4.3023429E-006	1.0386956E+000
2	1	0	1	0	9.699076228854043E+003	-4.0448076E-001	-4.0484175E-001	1.075564856306410E-002	1.000000000000000E+000	6.0309935E-004	13	-1.4463034E+000	4.0544758E+000	6.999069915257860E+001	-4.3543355E-006	1.0414616E+000
2	1	0	1	0	9.701075728829863E+003	-4.0348101E-001	-4.0381563E-001	1.092026106093404E-002	1.000000000000000E+000	6.2510249E-004	13	-1.4481660E+000	4.0544758E+000	7.199019912839867E+001	-4.4097719E-006	1.0443504E+000
2	1	0	1	0	9.703075328805629E+003	-4.0248120E-001	-4.0281898E-001	1.108711140396323E-002	1.000000000000000E+000	6.4743613E-004	13	-1.4500321E+000	4.0544763E+000	7.398979910416529E+001	-4.4660987E-006	1.0472131E+000
