EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.540              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.360               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	0	0	1.826050554560425E+003	-5.3944606E-001	-5.3974330E-001	1.082054898142815E-002	1.000000000000000E+000	0.0000000E+000	11	-5.7166317E-003	5.2064133E+000	0.000000000000000E+000	-5.8403189E-006	-6.1857094E-008	-5.7784619E-006	-5.3402668E-001	4.9881324E+004	5.2831256E+002	4.9353012E+004
2	1	0	1	0	1.826208254556441E+003	-5.3629273E-001	-5.3661144E-001	1.827484998276824E-002	1.000000000000000E+000	3.1839347E-006	11	-1.0855934E-002	5.2064061E+000	0.000000000000000E+000	-9.8064938E-006	-1.9839055E-007	-9.6081030E-006	-5.2575552E-001	2.9363385E+004	5.9403680E+002	2.8769348E+004
2	1	0	1	0	1.826488754549355E+003	-5.3068280E-001	-5.3097999E-001	2.047707030206669E-002	1.000000000000000E+000	9.0579888E-006	13	-2.0330837E-002	5.2064061E+000	2.804999929139740E-001	-1.0872915E-005	-4.1631597E-007	-1.0456599E-005	-5.1064914E-001	2.5930467E+004	9.9285870E+002	2.4937607E+004
2	1	0	1	0	1.826739454543021E+003	-5.2566886E-001	-5.2596062E-001	2.099203006718609E-002	1.000000000000000E+000	1.4561085E-005	13	-2.8770169E-002	5.2064061E+000	5.311999865807593E-001	-1.1040981E-005	-6.0394427E-007	-1.0437037E-005	-4.9719045E-001	2.5055254E+004	1.3705282E+003	2.3684725E+004
2	1	0	1	0	1.826989954536693E+003	-5.2065855E-001	-5.2093858E-001	2.135569331635734E-002	1.000000000000000E+000	2.0175046E-005	13	-3.7167232E-002	5.2064056E+000	7.816999802525970E-001	-1.1125005E-005	-7.9373200E-007	-1.0331272E-005	-4.8377135E-001	2.4393428E+004	1.7403899E+003	2.2653039E+004
2	1	0	1	0	1.827240254530370E+003	-5.1565272E-001	-5.1597768E-001	2.164399454144439E-002	1.000000000000000E+000	2.5866066E-005	13	-4.5520913E-002	5.2064061E+000	1.031999973929487E+000	-1.1167818E-005	-9.8525436E-007	-1.0182564E-005	-4.7045678E-001	2.3839301E+004	2.1031660E+003	2.1736135E+004
2	1	0	1	0	1.827490554524047E+003	-5.1064658E-001	-5.1097482E-001	2.236222058858037E-002	1.000000000000000E+000	3.1686599E-005	13	-5.3878296E-002	5.2064056E+000	1.282299967606377E+000	-1.1426532E-005	-1.2048383E-006	-1.0221694E-005	-4.5709652E-001	2.2849914E+004	2.4093447E+003	2.0440570E+004
2	1	0	1	0	1.827740854517724E+003	-5.0564075E-001	-5.0593996E-001	2.222142038696584E-002	1.000000000000000E+000	3.7578800E-005	13	-6.2119793E-002	5.2064061E+000	1.532599961283268E+000	-1.1242704E-005	-1.3803900E-006	-9.8623141E-006	-4.4382018E-001	2.2768119E+004	2.7954915E+003	1.9972629E+004
2	1	0	1	0	1.827991254511398E+003	-5.0063294E-001	-5.0094056E-001	2.248229156700016E-002	1.000000000000000E+000	4.3484382E-005	13	-7.0126876E-002	5.2064061E+000	1.782999954957631E+000	-1.1262292E-005	-1.5766129E-006	-9.6856793E-006	-4.3081367E-001	2.2281561E+004	3.1192051E+003	1.9162357E+004
2	1	0	1	0	1.828241454505078E+003	-4.9562854E-001	-4.9594024E-001	2.272846120517380E-002	1.000000000000000E+000	4.9450700E-005	13	-7.8055821E-002	5.2064056E+000	2.033199948637048E+000	-1.1271958E-005	-1.7740887E-006	-9.4978695E-006	-4.1788441E-001	2.1820229E+004	3.4342766E+003	1.8385953E+004
