EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927473326211693E+003	-4.3999445E-001	-4.4030726E-001	7.853684364818037E-004	1.000000000000000E+000	0.0000000E+000	14	-8.1819445E-001	5.1764622E+000	0.000000000000000E+000	-3.4580341E-007	3.7788719E-001
2	1	0	1	0	2.928573226183908E+003	-4.3944457E-001	-4.3979633E-001	8.386930940879212E-004	1.000000000000000E+000	1.3592680E-006	14	-8.1844777E-001	5.1764603E+000	0.000000000000000E+000	-3.6885413E-007	3.7865144E-001
2	1	0	1	0	2.930573126133386E+003	-4.3844464E-001	-4.3877840E-001	8.832761953417208E-004	1.000000000000000E+000	3.8826015E-006	14	-8.1890267E-001	5.1764603E+000	1.999899949478277E+000	-3.8756252E-007	3.8012427E-001
2	1	0	1	0	2.932573126082862E+003	-4.3744466E-001	-4.3775406E-001	9.106175565326523E-004	1.000000000000000E+000	6.4680271E-006	14	-8.1936079E-001	5.1764603E+000	3.999899898954027E+000	-3.9862653E-007	3.8160673E-001
2	1	0	1	0	2.934572926032342E+003	-4.3644476E-001	-4.3681255E-001	9.423575599777998E-004	1.000000000000000E+000	9.1230459E-006	14	-8.1981999E-001	5.1764603E+000	5.999699848434830E+000	-4.1163361E-007	3.8300744E-001
2	1	0	0	0	2.936572925981818E+003	-4.3544474E-001	-4.3578085E-001	9.686997540862214E-004	1.000000000000000E+000	1.1840269E-005	14	-8.2031119E-001	5.1764603E+000	7.999699797910580E+000	-4.2214080E-007	3.8453034E-001
2	1	0	1	0	2.938572725931299E+003	-4.3444479E-001	-4.3479365E-001	9.959872343841703E-004	1.000000000000000E+000	1.4610596E-005	14	-8.2079345E-001	5.1764603E+000	9.999499747391383E+000	-4.3304894E-007	3.8599980E-001
2	1	0	1	0	2.940572325880799E+003	-4.3344498E-001	-4.3375048E-001	1.025258780797589E-003	1.000000000000000E+000	1.7431807E-005	14	-8.2128376E-001	5.1764603E+000	1.199909969689179E+001	-4.4470650E-007	3.8753328E-001
2	1	0	1	0	2.942571925830271E+003	-4.3244523E-001	-4.3278679E-001	1.050106732700000E-003	1.000000000000000E+000	2.0301575E-005	14	-8.2180172E-001	5.1764603E+000	1.399869964636309E+001	-4.5447231E-007	3.8901493E-001
2	1	0	1	0	2.944571525779756E+003	-4.3144539E-001	-4.3177435E-001	1.080068767874128E-003	1.000000000000000E+000	2.3238443E-005	14	-8.2233059E-001	5.1764603E+000	1.599829959584895E+001	-4.6634599E-007	3.9055625E-001
2	1	0	1	0	2.946571125729257E+003	-4.3044558E-001	-4.3079582E-001	1.111459684181009E-003	1.000000000000000E+000	2.6228439E-005	14	-8.2288486E-001	5.1764603E+000	1.799789954534936E+001	-4.7881218E-007	3.9208904E-001
2	1	0	1	0	2.948570725678728E+003	-4.2944580E-001	-4.2974311E-001	1.139623886742967E-003	1.000000000000000E+000	2.9269539E-005	14	-8.2347387E-001	5.1764603E+000	1.999749949482066E+001	-4.8974550E-007	3.9373076E-001
2	1	0	0	0	2.950570525628209E+003	-4.2844594E-001	-4.2876348E-001	1.160361933894761E-003	1.000000000000000E+000	3.2376098E-005	14	-8.2406616E-001	5.1764603E+000	2.199729944430146E+001	-4.9752083E-007	3.9530268E-001
2	1	0	1	0	2.952570425577687E+003	-4.2744604E-001	-4.2772114E-001	1.199369430697957E-003	1.000000000000000E+000	3.5537654E-005	14	-8.2469589E-001	5.1764603E+000	2.399719939377974E+001	-5.1299565E-007	3.9697474E-001
2	1	0	1	0	2.954570325527166E+003	-4.2644605E-001	-4.2675728E-001	1.228194104211827E-003	1.000000000000000E+000	3.8755690E-005	14	-8.2534790E-001	5.1764603E+000	2.599709934325801E+001	-5.2414077E-007	3.9859062E-001
2	1	0	1	0	2.956570225476644E+003	-4.2544609E-001	-4.2576694E-001	1.247240381039794E-003	1.000000000000000E+000	4.2032298E-005	14	-8.2601333E-001	5.1764603E+000	2.799699929273629E+001	-5.3103372E-007	4.0024638E-001
2	1	0	1	0	2.958569825426130E+003	-4.2444631E-001	-4.2476192E-001	1.280299365835218E-003	1.000000000000000E+000	4.5358000E-005	14	-8.2671720E-001	5.1764603E+000	2.999659924222215E+001	-5.4382241E-007	4.0195528E-001
2	1	0	0	0	2.960569725375608E+003	-4.2344633E-001	-4.2376310E-001	1.309166905646256E-003	1.000000000000000E+000	4.8754613E-005	14	-8.2744581E-001	5.1764603E+000	3.199649919170042E+001	-5.5477665E-007	4.0368271E-001
2	1	0	1	0	2.962569625325086E+003	-4.2244640E-001	-4.2273781E-001	1.341496426813596E-003	1.000000000000000E+000	5.2215346E-005	14	-8.2819533E-001	5.1764603E+000	3.399639914117870E+001	-5.6710127E-007	4.0545753E-001
