EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	5.827496875728655E+003	-4.4000211E-001	-4.4039127E-001	2.465601777657866E-003	1.000000000000000E+000	0.0000000E+000	14	-1.1869427E+000	5.1764622E+000	0.000000000000000E+000	-1.0858295E-006	7.4655139E-001
2	1	0	0	0	5.828596875715361E+003	-4.3945223E-001	-4.3977427E-001	2.518817786394023E-003	1.000000000000000E+000	3.1854779E-006	14	-1.1872780E+000	5.1764603E+000	0.000000000000000E+000	-1.1077112E-006	7.4750376E-001
2	1	0	0	0	5.830596875691146E+003	-4.3845224E-001	-4.3876484E-001	2.567935728286438E-003	1.000000000000000E+000	9.0396161E-006	14	-1.1878983E+000	5.1764603E+000	1.999999975785613E+000	-1.1267199E-006	7.4913347E-001
2	1	0	1	0	5.832596575666917E+003	-4.3745235E-001	-4.3778089E-001	2.614794988709701E-003	1.000000000000000E+000	1.4984326E-005	14	-1.1885531E+000	5.1764607E+000	3.999699951556977E+000	-1.1447073E-006	7.5077224E-001
2	1	0	1	0	5.834596275642696E+003	-4.3645257E-001	-4.3683308E-001	2.653620269924502E-003	1.000000000000000E+000	2.1031992E-005	14	-1.1892511E+000	5.1764603E+000	5.999399927335617E+000	-1.1591891E-006	7.5241798E-001
2	1	0	1	0	5.836596275618482E+003	-4.3545252E-001	-4.3578544E-001	2.697643253237750E-003	1.000000000000000E+000	2.7170647E-005	14	-1.1900111E+000	5.1764603E+000	7.999399903121230E+000	-1.1755936E-006	7.5422573E-001
2	1	0	1	0	5.838596275594267E+003	-4.3445253E-001	-4.3478873E-001	2.747181520374373E-003	1.000000000000000E+000	3.3397995E-005	14	-1.1908199E+000	5.1764603E+000	9.999399878906843E+000	-1.1944436E-006	7.5603116E-001
2	1	0	1	0	5.840596075570058E+003	-4.3345258E-001	-4.3382275E-001	2.795800130247654E-003	1.000000000000000E+000	3.9714814E-005	14	-1.1916788E+000	5.1764603E+000	1.199919985469751E+001	-1.2128817E-006	7.5785601E-001
2	1	0	1	0	5.842595775545851E+003	-4.3245280E-001	-4.3277848E-001	2.833736480655838E-003	1.000000000000000E+000	4.6109759E-005	14	-1.1925968E+000	5.1764603E+000	1.399889983049070E+001	-1.2263802E-006	7.5981832E-001
2	1	0	0	0	5.844595675521639E+003	-4.3145284E-001	-4.3179241E-001	2.882271771770971E-003	1.000000000000000E+000	5.2605305E-005	14	-1.1935889E+000	5.1764603E+000	1.599879980627884E+001	-1.2445431E-006	7.6179647E-001
2	1	0	1	0	5.846595375497447E+003	-4.3045297E-001	-4.3083072E-001	2.922482207514836E-003	1.000000000000000E+000	5.9189173E-005	14	-1.1946210E+000	5.1764603E+000	1.799849978208658E+001	-1.2590951E-006	7.6379025E-001
2	1	0	1	0	5.848595075473218E+003	-4.2945316E-001	-4.2977691E-001	2.978248761048573E-003	1.000000000000000E+000	6.5863271E-005	14	-1.1957240E+000	5.1764603E+000	1.999819975785795E+001	-1.2799825E-006	7.6594710E-001
2	1	0	1	0	5.850595075449004E+003	-4.2845315E-001	-4.2875472E-001	3.021589596820612E-003	1.000000000000000E+000	7.2638599E-005	14	-1.1968706E+000	5.1764603E+000	2.199819973364356E+001	-1.2955207E-006	7.6811588E-001
2	1	0	1	0	5.852595075424790E+003	-4.2745316E-001	-4.2770919E-001	3.073716039085642E-003	1.000000000000000E+000	7.9508536E-005	14	-1.1980842E+000	5.1764603E+000	2.399819970942917E+001	-1.3146566E-006	7.7037501E-001
2	1	0	1	0	5.854594875400566E+003	-4.2645317E-001	-4.2678776E-001	3.117969037962014E-003	1.000000000000000E+000	8.6471278E-005	14	-1.1993532E+000	5.1764603E+000	2.599799968520529E+001	-1.3307110E-006	7.7256548E-001
2	1	0	0	0	5.856594475376391E+003	-4.2545342E-001	-4.2576796E-001	3.165502445614865E-003	1.000000000000000E+000	9.3525996E-005	14	-1.2006830E+000	5.1764603E+000	2.799759966103011E+001	-1.3477695E-006	7.7491504E-001
2	1	0	1	0	5.858594375352157E+003	-4.2445347E-001	-4.2479035E-001	3.212341955016795E-003	1.000000000000000E+000	1.0067371E-004	14	-1.2020780E+000	5.1764607E+000	2.999749963679642E+001	-1.3645719E-006	7.7728760E-001
2	1	0	1	0	5.860594275327945E+003	-4.2345351E-001	-4.2376930E-001	3.272404773008900E-003	1.000000000000000E+000	1.0793206E-004	14	-1.2035121E+000	5.1764603E+000	3.199739961258456E+001	-1.3867447E-006	7.7974278E-001
2	1	0	1	0	5.862594275303731E+003	-4.2245352E-001	-4.2280856E-001	3.314806632644191E-003	1.000000000000000E+000	1.1529167E-004	14	-1.2050306E+000	5.1764603E+000	3.399739958837017E+001	-1.4015286E-006	7.8222203E-001
2	1	0	1	0	5.864593975279509E+003	-4.2145374E-001	-4.2173347E-001	3.361716410961205E-003	1.000000000000000E+000	1.2273742E-004	14	-1.2066125E+000	5.1764603E+000	3.599709956414881E+001	-1.4177483E-006	7.8487897E-001
2	1	0	1	0	5.866593875255305E+003	-4.2045376E-001	-4.2077920E-001	3.419172079579209E-003	1.000000000000000E+000	1.3029270E-004	14	-1.2082452E+000	5.1764603E+000	3.799699953994423E+001	-1.4387165E-006	7.8746593E-001
2	1	0	1	0	5.868593575231105E+003	-4.1945389E-001	-4.1977409E-001	3.467980309223412E-003	1.000000000000000E+000	1.3794919E-004	14	-1.2099442E+000	5.1764603E+000	3.999669951574469E+001	-1.4557683E-006	7.9017019E-001
2	1	0	0	0	5.870593275206884E+003	-4.1845405E-001	-4.1881359E-001	3.525644441570608E-003	1.000000000000000E+000	1.4571134E-004	14	-1.2117034E+000	5.1764603E+000	4.199639949152333E+001	-1.4765878E-006	7.9288983E-001
2	1	0	0	0	5.872593275182669E+003	-4.1745400E-001	-4.1775849E-001	3.575771989185128E-003	1.000000000000000E+000	1.5358324E-004	14	-1.2135470E+000	5.1764603E+000	4.399639946730895E+001	-1.4938091E-006	7.9578853E-001
2	1	0	0	0	5.874593275158455E+003	-4.1645402E-001	-4.1677660E-001	3.629485559249006E-003	1.000000000000000E+000	1.6155504E-004	14	-1.2154485E+000	5.1764603E+000	4.599639944309456E+001	-1.5126847E-006	7.9867190E-001
2	1	0	1	0	5.876593075134238E+003	-4.1545409E-001	-4.1579154E-001	3.692134597167884E-003	1.000000000000000E+000	1.6964076E-004	14	-1.2174004E+000	5.1764603E+000	4.799619941887795E+001	-1.5351584E-006	8.0160892E-001
2	1	0	1	0	5.878592775110024E+003	-4.1445428E-001	-4.1476744E-001	3.740559685133163E-003	1.000000000000000E+000	1.7783477E-004	14	-1.2194121E+000	5.1764603E+000	4.999589939466387E+001	-1.5514623E-006	8.0464464E-001
