EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102464884519562E+003	-7.3997790E-001	-7.4025261E-001	-4.461986012756824E-003	1.000000000000000E+000	0.0000000E+000	14	1.2708819E-001	5.0576949E+000	0.000000000000000E+000	3.3029969E-006	-8.6734080E-001
2	0	0	1	0	5.102507484519039E+003	-7.3912233E-001	-7.3940921E-001	1.347176054182689E-002	1.000000000000000E+000	5.3437594E-007	14	1.2567177E-001	5.0576935E+000	0.000000000000000E+000	-9.9611434E-006	-8.6508095E-001
2	1	0	1	0	5.102572684518258E+003	-7.3781866E-001	-7.3810184E-001	1.887651693048628E-002	1.000000000000000E+000	1.6386881E-006	13	1.2325488E-001	5.0576935E+000	6.519999921874842E-002	-1.3932792E-005	-8.6135674E-001
2	1	0	1	0	5.102622884517652E+003	-7.3681462E-001	-7.3710227E-001	2.129593880817170E-002	1.000000000000000E+000	2.7342574E-006	13	1.2128512E-001	5.0576935E+000	1.153999986127019E-001	-1.5697286E-005	-8.5838741E-001
2	1	0	1	0	5.102672984517048E+003	-7.3581213E-001	-7.3613387E-001	1.966400432434899E-002	1.000000000000000E+000	3.8113631E-006	13	1.1949039E-001	5.0576935E+000	1.654999980091816E-001	-1.4475339E-005	-8.5562426E-001
2	1	0	1	0	5.102722984516440E+003	-7.3481214E-001	-7.3511165E-001	1.981743016814885E-002	1.000000000000000E+000	4.8638476E-006	13	1.1763138E-001	5.0576935E+000	2.154999974009115E-001	-1.4568024E-005	-8.5274303E-001
2	1	0	1	0	5.102773084515822E+003	-7.3381060E-001	-7.3411667E-001	1.995346856617516E-002	1.000000000000000E+000	5.9220506E-006	13	1.1582989E-001	5.0576935E+000	2.655999967828393E-001	-1.4648174E-005	-8.4994656E-001
2	1	0	1	0	5.102823284515223E+003	-7.3280662E-001	-7.3309237E-001	1.989179537853075E-002	1.000000000000000E+000	6.9861517E-006	13	1.1400727E-001	5.0576935E+000	3.157999961840687E-001	-1.4582523E-005	-8.4709966E-001
2	1	0	1	0	5.102873384514620E+003	-7.3180413E-001	-7.3210073E-001	2.016179462360147E-002	1.000000000000000E+000	8.0535056E-006	13	1.1219107E-001	5.0576935E+000	3.658999955805484E-001	-1.4760464E-005	-8.4429181E-001
2	1	0	1	0	5.102923484514031E+003	-7.3080266E-001	-7.3108023E-001	2.035721590854508E-002	1.000000000000000E+000	9.1304410E-006	13	1.1036510E-001	5.0576935E+000	4.159999949915800E-001	-1.4882758E-005	-8.4144533E-001
