EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.540              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.360               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	1.624223159667526E+003	-5.3946608E-001	-5.4001135E-001	9.520281106233597E-003	1.000000000000000E+000	0.0000000E+000	11	-5.3197928E-002	4.7729831E+000	0.000000000000000E+000	-5.1410598E-006	-5.0645923E-007	-4.6346004E-006	-4.8681343E-001	5.6722207E+004	5.5878525E+003	5.1134352E+004
2	1	0	1	0	1.624381459663527E+003	-5.3630108E-001	-5.3685862E-001	1.710664285120300E-002	1.000000000000000E+000	3.0102360E-006	11	-5.9655026E-002	4.7729774E+000	0.000000000000000E+000	-9.1838483E-006	-1.0204972E-006	-8.1633516E-006	-4.7720361E-001	3.1383049E+004	3.4872434E+003	2.7895807E+004
2	1	0	1	0	1.624662659656424E+003	-5.3067714E-001	-5.3123719E-001	1.946977597661958E-002	1.000000000000000E+000	8.5915308E-006	13	-7.0890158E-002	4.7729764E+000	2.811999928962905E-001	-1.0343069E-005	-1.3802155E-006	-8.9628538E-006	-4.6034703E-001	2.7285223E+004	3.6410361E+003	2.3644188E+004
2	1	0	1	0	1.624913859650078E+003	-5.2565306E-001	-5.2622348E-001	1.968225191764733E-002	1.000000000000000E+000	1.3832997E-005	13	-8.0961123E-002	4.7729759E+000	5.323999865504447E-001	-1.0357263E-005	-1.5934972E-006	-8.7637663E-006	-4.4526237E-001	2.6735939E+004	4.1134077E+003	2.2622531E+004
2	1	0	1	0	1.625165059643732E+003	-5.2062899E-001	-5.2118671E-001	1.995800237500271E-002	1.000000000000000E+000	1.9130141E-005	13	-9.0747036E-002	4.7729764E+000	7.835999802045990E-001	-1.0401845E-005	-1.8111296E-006	-8.5907159E-006	-4.3043968E-001	2.6114172E+004	4.5468999E+003	2.1567271E+004
2	1	0	1	0	1.625416059637391E+003	-5.1560909E-001	-5.1615894E-001	2.025337749341768E-002	1.000000000000000E+000	2.4492858E-005	13	-1.0037614E-001	4.7729759E+000	1.034599973863806E+000	-1.0453962E-005	-2.0329560E-006	-8.4210060E-006	-4.1578281E-001	2.5485080E+004	4.9560200E+003	2.0529061E+004
2	1	0	1	0	1.625667159631048E+003	-5.1058698E-001	-5.1114237E-001	2.049542821763625E-002	1.000000000000000E+000	2.9927567E-005	13	-1.0986729E-001	4.7729759E+000	1.285699967520486E+000	-1.0476082E-005	-2.2517772E-006	-8.2243050E-006	-4.0127510E-001	2.4939336E+004	5.3605757E+003	1.9578760E+004
2	1	0	1	0	1.625918259624705E+003	-5.0556499E-001	-5.0612825E-001	2.101587758338819E-002	1.000000000000000E+000	3.5462119E-005	13	-1.1921826E-001	4.7729764E+000	1.536799961177166E+000	-1.0636730E-005	-2.5054765E-006	-8.1312528E-006	-3.8690999E-001	2.4083137E+004	5.6727710E+003	1.8410365E+004
2	1	0	1	0	1.626169359618361E+003	-5.0054318E-001	-5.0110823E-001	2.095237704231284E-002	1.000000000000000E+000	4.1053539E-005	13	-1.2835732E-001	4.7729764E+000	1.787899954833847E+000	-1.0499409E-005	-2.6893911E-006	-7.8100175E-006	-3.7275091E-001	2.3916533E+004	6.1261460E+003	1.7790387E+004
2	1	0	1	0	1.626420059612028E+003	-4.9552855E-001	-4.9610057E-001	2.122111976476170E-002	1.000000000000000E+000	4.6661924E-005	13	-1.3717945E-001	4.7729759E+000	2.038599948500632E+000	-1.0527810E-005	-2.9111015E-006	-7.6167080E-006	-3.5892111E-001	2.3377682E+004	6.4642891E+003	1.6913393E+004
