EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927471326211962E+003	-4.4002113E-001	-4.4057715E-001	1.573710120283067E-003	1.000000000000000E+000	0.0000000E+000	14	-1.4122030E+000	4.7427583E+000	0.000000000000000E+000	-6.9334072E-007	9.7162580E-001
2	1	0	0	0	2.928571326184174E+003	-4.3947127E-001	-4.4004917E-001	1.504062549218347E-003	1.000000000000000E+000	2.0878515E-006	14	-1.4126172E+000	4.7427564E+000	0.000000000000000E+000	-6.6186146E-007	9.7256804E-001
2	1	0	1	0	2.930571226133652E+003	-4.3847132E-001	-4.3905246E-001	1.549395107888537E-003	1.000000000000000E+000	5.9407457E-006	14	-1.4133413E+000	4.7427568E+000	1.999899949478277E+000	-6.8026571E-007	9.7428882E-001
2	1	0	1	0	2.932571126083145E+003	-4.3747133E-001	-4.3806532E-001	1.592809094924180E-003	1.000000000000000E+000	9.8806868E-006	14	-1.4140853E+000	4.7427564E+000	3.999799898971105E+000	-6.9775444E-007	9.7601998E-001
2	1	0	1	0	2.934571126032621E+003	-4.3647137E-001	-4.3709388E-001	1.629541080585391E-003	1.000000000000000E+000	1.3898441E-005	14	-1.4148544E+000	4.7427564E+000	5.999799848446855E+000	-7.1226242E-007	9.7776055E-001
2	1	0	1	0	2.936571125982096E+003	-4.3547133E-001	-4.3608120E-001	1.660971735192255E-003	1.000000000000000E+000	1.7981363E-005	14	-1.4156412E+000	4.7427564E+000	7.999799797922606E+000	-7.2431857E-007	9.7956002E-001
2	1	0	1	0	2.938571025931560E+003	-4.3447140E-001	-4.3507174E-001	1.698617654912492E-003	1.000000000000000E+000	2.2146027E-005	14	-1.4164699E+000	4.7427568E+000	9.999699747386330E+000	-7.3902055E-007	9.8139822E-001
2	1	0	0	0	2.940570925881038E+003	-4.3347147E-001	-4.3405378E-001	1.735200883856021E-003	1.000000000000000E+000	2.6384720E-005	14	-1.4173143E+000	4.7427564E+000	1.199959969686461E+001	-7.5317053E-007	9.8326051E-001
2	1	0	0	0	2.942570925830514E+003	-4.3247148E-001	-4.3306437E-001	1.777901239446648E-003	1.000000000000000E+000	3.0697058E-005	14	-1.4181879E+000	4.7427564E+000	1.399959964634036E+001	-7.6994570E-007	9.8512352E-001
2	1	0	0	0	2.944570925779990E+003	-4.3147147E-001	-4.3206230E-001	1.816397420475118E-003	1.000000000000000E+000	3.5075387E-005	14	-1.4191033E+000	4.7427564E+000	1.599959959581611E+001	-7.8479684E-007	9.8704100E-001
