EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	1.252753539461021E+004	-4.4001544E-001	-4.4055238E-001	1.815216429531574E-002	1.000000000000000E+000	0.0000000E+000	13	-1.4976643E+000	4.7427583E+000	0.000000000000000E+000	-7.9969795E-006	1.0571120E+000
2	1	0	0	0	1.252863539459690E+004	-4.3946558E-001	-4.4001275E-001	1.843161435538165E-002	1.000000000000000E+000	2.0678443E-005	13	-1.4981868E+000	4.7427564E+000	0.000000000000000E+000	-8.1101452E-006	1.0581741E+000
2	1	0	0	0	1.253063539457269E+004	-4.3846554E-001	-4.3900213E-001	1.861348592063844E-002	1.000000000000000E+000	5.8491190E-005	13	-1.4988651E+000	4.7427564E+000	1.999999975785613E+000	-8.1713597E-006	1.0598630E+000
2	1	0	0	0	1.253263539454847E+004	-4.3746555E-001	-4.3807858E-001	1.879019587299879E-002	1.000000000000000E+000	9.6661512E-005	13	-1.4995311E+000	4.7427564E+000	3.999999951571226E+000	-8.2315828E-006	1.0614526E+000
2	1	0	0	0	1.253463539452426E+004	-4.3646553E-001	-4.3702129E-001	1.897547906243929E-002	1.000000000000000E+000	1.3519317E-004	13	-1.5001886E+000	4.7427564E+000	5.999999927356839E+000	-8.2926881E-006	1.0631673E+000
2	1	0	1	0	1.253663529450007E+004	-4.3546563E-001	-4.3605423E-001	1.914289657093066E-002	1.000000000000000E+000	1.7406946E-004	13	-1.5008266E+000	4.7427568E+000	7.999899903166806E+000	-8.3473415E-006	1.0647724E+000
2	1	0	1	0	1.253863519447582E+004	-4.3446565E-001	-4.3501404E-001	1.933596262034749E-002	1.000000000000000E+000	2.1331021E-004	13	-1.5014861E+000	4.7427564E+000	9.999799878918566E+000	-8.4114154E-006	1.0664721E+000
2	1	0	1	0	1.254063519445161E+004	-4.3346563E-001	-4.3402460E-001	1.952043894709046E-002	1.000000000000000E+000	2.5292250E-004	13	-1.5021434E+000	4.7427564E+000	1.199979985470418E+001	-8.4723506E-006	1.0681188E+000
2	1	0	1	0	1.254263519442739E+004	-4.3246567E-001	-4.3304479E-001	1.970053435701635E-002	1.000000000000000E+000	2.9290307E-004	13	-1.5027926E+000	4.7427564E+000	1.399979983048979E+001	-8.5312140E-006	1.0697478E+000
2	1	0	1	0	1.254463519440318E+004	-4.3146569E-001	-4.3200347E-001	1.988380085384511E-002	1.000000000000000E+000	3.3324654E-004	13	-1.5034554E+000	4.7427564E+000	1.599979980627541E+001	-8.5898710E-006	1.0714519E+000
2	1	0	0	0	1.254663499437901E+004	-4.3046573E-001	-4.3101096E-001	2.007280681062305E-002	1.000000000000000E+000	3.7396615E-004	13	-1.5041243E+000	4.7427564E+000	1.799959978210973E+001	-8.6516002E-006	1.0731133E+000
2	1	0	0	0	1.254863499435480E+004	-4.2946577E-001	-4.3003863E-001	2.026913241460260E-002	1.000000000000000E+000	4.1507120E-004	13	-1.5047871E+000	4.7427564E+000	1.999959975789534E+001	-8.7165099E-006	1.0747485E+000
2	1	0	0	0	1.255063499433058E+004	-4.2846578E-001	-4.2906618E-001	2.046255090472382E-002	1.000000000000000E+000	4.5656215E-004	13	-1.5054529E+000	4.7427564E+000	2.199959973368095E+001	-8.7797889E-006	1.0763867E+000
2	1	0	0	0	1.255263499430637E+004	-4.2746577E-001	-4.2804077E-001	2.065412750298851E-002	1.000000000000000E+000	4.9844279E-004	13	-1.5061190E+000	4.7427564E+000	2.399959970946657E+001	-8.8408087E-006	1.0780783E+000
2	1	0	0	0	1.255463499428215E+004	-4.2646581E-001	-4.2703336E-001	2.085878053535728E-002	1.000000000000000E+000	5.4072408E-004	13	-1.5068055E+000	4.7427564E+000	2.599959968525218E+001	-8.9073956E-006	1.0797722E+000
2	1	0	0	0	1.255663499425794E+004	-4.2546576E-001	-4.2602065E-001	2.106100718302686E-002	1.000000000000000E+000	5.8340217E-004	13	-1.5074886E+000	4.7427564E+000	2.799959966103779E+001	-8.9724244E-006	1.0814680E+000
2	1	0	0	0	1.255863499423373E+004	-4.2446578E-001	-4.2506307E-001	2.125615499742822E-002	1.000000000000000E+000	6.2648579E-004	13	-1.5081705E+000	4.7427564E+000	2.999959963682340E+001	-9.0352069E-006	1.0831075E+000
2	1	0	0	0	1.256063499420951E+004	-4.2346573E-001	-4.2403236E-001	2.146781855726299E-002	1.000000000000000E+000	6.6998025E-004	13	-1.5088716E+000	4.7427564E+000	3.199959961260902E+001	-9.1030497E-006	1.0848392E+000
2	1	0	0	0	1.256263499418530E+004	-4.2246577E-001	-4.2300376E-001	2.168349354013391E-002	1.000000000000000E+000	7.1388931E-004	13	-1.5095570E+000	4.7427564E+000	3.399959958839463E+001	-9.1721995E-006	1.0865532E+000
2	1	0	0	0	1.256463499416108E+004	-4.2146572E-001	-4.2202881E-001	2.190022265563041E-002	1.000000000000000E+000	7.5826817E-004	13	-1.5102925E+000	4.7427564E+000	3.599959956418024E+001	-9.2425253E-006	1.0882638E+000
2	1	0	1	0	1.256663509413687E+004	-4.2046568E-001	-4.2101991E-001	2.213103487701942E-002	1.000000000000000E+000	8.0309896E-004	13	-1.5110068E+000	4.7427564E+000	3.799969953997061E+001	-9.3176068E-006	1.0899869E+000
2	1	0	1	0	1.256863519411261E+004	-4.1946566E-001	-4.2003372E-001	2.234776562226609E-002	1.000000000000000E+000	8.4833463E-004	13	-1.5116913E+000	4.7427564E+000	3.999979951570276E+001	-9.3868148E-006	1.0916576E+000
2	1	0	1	0	1.257063519408839E+004	-4.1846567E-001	-4.1902420E-001	2.256449357697923E-002	1.000000000000000E+000	8.9399732E-004	13	-1.5123926E+000	4.7427564E+000	4.199979949148837E+001	-9.4550687E-006	1.0933684E+000
2	1	0	1	0	1.257263519406418E+004	-4.1746563E-001	-4.1799983E-001	2.279042470947240E-002	1.000000000000000E+000	9.4009918E-004	13	-1.5130949E+000	4.7427564E+000	4.399979946727399E+001	-9.5263940E-006	1.0950950E+000
2	1	0	1	0	1.257463519403996E+004	-4.1646564E-001	-4.1702634E-001	2.300109087819890E-002	1.000000000000000E+000	9.8664802E-004	13	-1.5137861E+000	4.7427564E+000	4.599979944305960E+001	-9.5920605E-006	1.0967598E+000
