EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102463684519520E+003	-7.3995936E-001	-7.4043918E-001	-3.995719365775585E-003	1.000000000000000E+000	0.0000000E+000	14	2.3607634E-001	4.6506853E+000	0.000000000000000E+000	2.9585872E-006	-9.7651553E-001
2	0	0	1	0	5.102506484519021E+003	-7.3910439E-001	-7.3963284E-001	1.262000824761231E-002	1.000000000000000E+000	5.1682690E-007	14	2.3422274E-001	4.6506839E+000	0.000000000000000E+000	-9.3341723E-006	-9.7385561E-001
2	1	0	1	0	5.102571884518198E+003	-7.3779607E-001	-7.3833698E-001	1.764198360936364E-002	1.000000000000000E+000	1.5654786E-006	13	2.3108888E-001	4.6506853E+000	6.539999917731620E-002	-1.3025729E-005	-9.6942586E-001
2	1	0	1	0	5.102621984517609E+003	-7.3679364E-001	-7.3730397E-001	1.796708066292390E-002	1.000000000000000E+000	2.5251859E-006	13	2.2873187E-001	4.6506853E+000	1.154999985883478E-001	-1.3247200E-005	-9.6603584E-001
2	1	0	1	0	5.102672184517010E+003	-7.3579043E-001	-7.3634011E-001	1.841260156144678E-002	1.000000000000000E+000	3.5023324E-006	13	2.2637251E-001	4.6506848E+000	1.656999979895772E-001	-1.3557937E-005	-9.6271265E-001
2	1	0	1	0	5.102722484516387E+003	-7.3478401E-001	-7.3535413E-001	1.986449461435386E-002	1.000000000000000E+000	4.5507368E-006	13	2.2380599E-001	4.6506853E+000	2.159999973664526E-001	-1.4607438E-005	-9.5916009E-001
2	1	0	1	0	5.102772584515784E+003	-7.3378158E-001	-7.3433906E-001	1.864142137519254E-002	1.000000000000000E+000	5.5754299E-006	13	2.2141710E-001	4.6506853E+000	2.660999967629323E-001	-1.3689124E-005	-9.5575619E-001
2	1	0	1	0	5.102822884515190E+003	-7.3277688E-001	-7.3330569E-001	1.878222624388584E-002	1.000000000000000E+000	6.5820182E-006	13	2.1906170E-001	4.6506844E+000	3.163999961689115E-001	-1.3773113E-005	-9.5236742E-001
2	1	0	1	0	5.102873284514586E+003	-7.3176801E-001	-7.3227894E-001	1.853654553768175E-002	1.000000000000000E+000	7.5891871E-006	13	2.1669683E-001	4.6506853E+000	3.667999955650885E-001	-1.3573922E-005	-9.4897580E-001
2	1	0	1	0	5.102923384513953E+003	-7.3076558E-001	-7.3125732E-001	1.903793021294953E-002	1.000000000000000E+000	8.5994434E-006	13	2.1429375E-001	4.6506853E+000	4.168999949324643E-001	-1.3921625E-005	-9.4555104E-001
