EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.540              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.360               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	3.057035123544410E+003	-5.3943998E-001	-5.3984427E-001	1.126596704125404E-002	1.000000000000000E+000	0.0000000E+000	11	3.8905656E-001	4.6341248E+000	0.000000000000000E+000	-6.0818679E-006	4.3830983E-006	-1.0464966E-005	-9.2890084E-001	4.7918148E+004	3.4533793E+004	8.2451938E+004
2	1	0	1	0	3.057192723540429E+003	-5.3628868E-001	-5.3665698E-001	1.604404412303023E-002	1.000000000000000E+000	2.8379886E-006	11	3.7979913E-001	4.6341209E+000	0.000000000000000E+000	-8.6101481E-006	6.0935140E-006	-1.4703663E-005	-9.1645610E-001	3.3448984E+004	2.3672281E+004	5.7121266E+004
2	1	0	1	0	3.057473023533356E+003	-5.3068262E-001	-5.3106117E-001	1.764099101412800E-002	1.000000000000000E+000	8.0107520E-006	13	3.6472300E-001	4.6341205E+000	2.802999929263024E-001	-9.3684457E-006	6.4340752E-006	-1.5802521E-005	-8.9578414E-001	3.0103818E+004	2.0674746E+004	5.0778563E+004
2	1	0	1	0	3.057723323527025E+003	-5.2567655E-001	-5.2602011E-001	1.803259196497345E-002	1.000000000000000E+000	1.2779904E-005	13	3.5183993E-001	4.6341205E+000	5.305999865959165E-001	-9.4855059E-006	6.3445859E-006	-1.5830092E-005	-8.7786007E-001	2.9170521E+004	1.9511334E+004	4.8681855E+004
2	1	0	1	0	3.057973523520705E+003	-5.2067256E-001	-5.2104884E-001	1.827774944526308E-002	1.000000000000000E+000	1.7627828E-005	13	3.3917657E-001	4.6341205E+000	7.807999802753329E-001	-9.5236001E-006	6.1993842E-006	-1.5722984E-005	-8.6022544E-001	2.8507275E+004	1.8556801E+004	4.7064078E+004
2	1	0	1	0	3.058223723514384E+003	-5.1566863E-001	-5.1604640E-001	1.845396197724819E-002	1.000000000000000E+000	2.2528293E-005	13	3.2670876E-001	4.6341205E+000	1.030999973954749E+000	-9.5231007E-006	6.0290713E-006	-1.5552172E-005	-8.4275520E-001	2.7963990E+004	1.7703990E+004	4.5667980E+004
2	1	0	1	0	3.058473923508063E+003	-5.1066458E-001	-5.1105499E-001	1.867162084735864E-002	1.000000000000000E+000	2.7477594E-005	13	3.1444949E-001	4.6341205E+000	1.281199967634166E+000	-9.5422247E-006	5.8712817E-006	-1.5413507E-005	-8.2550448E-001	2.7370682E+004	1.6841039E+004	4.4211719E+004
2	1	0	1	0	3.058724223501747E+003	-5.0565863E-001	-5.0603294E-001	1.880031694230161E-002	1.000000000000000E+000	3.2473628E-005	13	3.0225614E-001	4.6341205E+000	1.531499961318332E+000	-9.5135802E-006	5.6825111E-006	-1.5196091E-005	-8.0828905E-001	2.6916191E+004	1.6077183E+004	4.2993375E+004
2	1	0	1	0	3.058974423495420E+003	-5.0065446E-001	-5.0102025E-001	1.937705469689950E-002	1.000000000000000E+000	3.7557944E-005	13	2.8985813E-001	4.6341205E+000	1.781699954990472E+000	-9.7082966E-006	5.6165968E-006	-1.5324893E-005	-7.9087842E-001	2.5856367E+004	1.4958833E+004	4.0815199E+004
2	1	0	1	0	3.059224423489104E+003	-4.9565455E-001	-4.9603429E-001	1.912266045664668E-002	1.000000000000000E+000	4.2679880E-005	13	2.7792373E-001	4.6341205E+000	2.031699948674941E+000	-9.4854950E-006	5.3146414E-006	-1.4800136E-005	-7.7395803E-001	2.5939607E+004	1.4533738E+004	4.0473344E+004
2	1	0	1	0	3.059474423482788E+003	-4.9065447E-001	-4.9103016E-001	1.923702784725251E-002	1.000000000000000E+000	4.7779813E-005	13	2.6594371E-001	4.6341205E+000	2.281699942359410E+000	-9.4459610E-006	5.1159664E-006	-1.4561927E-005	-7.5697386E-001	2.5525262E+004	1.3824573E+004	3.9349836E+004
2	1	0	1	0	3.059724423476473E+003	-4.8565450E-001	-4.8601219E-001	1.944325552567472E-002	1.000000000000000E+000	5.2915213E-005	13	2.5404027E-001	4.6341205E+000	2.531699936043878E+000	-9.4496590E-006	4.9393698E-006	-1.4389029E-005	-7.4005246E-001	2.4996441E+004	1.3065728E+004	3.8062168E+004
2	1	0	1	0	3.059974423470157E+003	-4.8065448E-001	-4.8100537E-001	1.959461599887757E-002	1.000000000000000E+000	5.8099613E-005	13	2.4223548E-001	4.6341205E+000	2.781699929728347E+000	-9.4251154E-006	4.7465114E-006	-1.4171626E-005	-7.2324085E-001	2.4547834E+004	1.2362349E+004	3.6910184E+004
2	1	0	1	0	3.060224423463842E+003	-4.7565445E-001	-4.7603601E-001	1.977444915528598E-002	1.000000000000000E+000	6.3327258E-005	13	2.3040424E-001	4.6341205E+000	3.031699923412816E+000	-9.4133502E-006	4.5561169E-006	-1.3969467E-005	-7.0644027E-001	2.4073289E+004	1.1651613E+004	3.5724902E+004
2	1	0	1	0	3.060474423457526E+003	-4.7065449E-001	-4.7102761E-001	1.991249860476607E-002	1.000000000000000E+000	6.8594083E-005	13	2.1847238E-001	4.6341205E+000	3.281699917097285E+000	-9.3793369E-006	4.3503310E-006	-1.3729667E-005	-6.8949997E-001	2.3654873E+004	1.0971620E+004	3.4626492E+004
2	1	0	1	0	3.060724423451211E+003	-4.6565446E-001	-4.6603879E-001	2.010304802121143E-002	1.000000000000000E+000	7.3903379E-005	13	2.0654267E-001	4.6341205E+000	3.531699910781754E+000	-9.3688004E-006	4.1521371E-006	-1.3520938E-005	-6.7258143E-001	2.3182494E+004	1.0274196E+004	3.3456691E+004
2	1	0	1	0	3.060974423444895E+003	-4.6065447E-001	-4.6101746E-001	2.036090605444019E-002	1.000000000000000E+000	7.9265854E-005	13	1.9449791E-001	4.6341205E+000	3.781699904466223E+000	-9.3867329E-006	3.9601537E-006	-1.3346887E-005	-6.5551537E-001	2.2642285E+004	9.5525176E+003	3.2194803E+004
2	1	0	1	0	3.061224423438580E+003	-4.5565447E-001	-4.5602211E-001	2.053208283796514E-002	1.000000000000000E+000	8.4681829E-005	13	1.8238917E-001	4.6341205E+000	4.031699898150691E+000	-9.3630842E-006	3.7448297E-006	-1.3107913E-005	-6.3841128E-001	2.2210223E+004	8.8831309E+003	3.1093352E+004
2	1	0	1	0	3.061474423432264E+003	-4.5065448E-001	-4.5101139E-001	2.072620612044884E-002	1.000000000000000E+000	9.0144218E-005	13	1.7026418E-001	4.6341205E+000	4.281699891835160E+000	-9.3477547E-006	3.5289306E-006	-1.2876686E-005	-6.2127554E-001	2.1760441E+004	8.2149229E+003	2.9975363E+004
2	1	0	1	0	3.061724423425949E+003	-4.4565445E-001	-4.4600683E-001	2.090842226840123E-002	1.000000000000000E+000	9.5649804E-005	13	1.5816306E-001	4.6341205E+000	4.531699885519629E+000	-9.3252993E-006	3.3069400E-006	-1.2632239E-005	-6.0416991E-001	2.1331443E+004	7.5645620E+003	2.8896006E+004
2	1	0	1	0	3.061974423419633E+003	-4.4065449E-001	-4.4102025E-001	2.118808269139611E-002	1.000000000000000E+000	1.0121573E-004	13	1.4578560E-001	4.6341205E+000	4.781699879204098E+000	-9.3443732E-006	3.0889173E-006	-1.2433291E-005	-5.8680582E-001	2.0814543E+004	6.8805469E+003	2.7695090E+004
2	1	0	1	0	3.062224423413318E+003	-4.3565443E-001	-4.3604115E-001	2.142926941579859E-002	1.000000000000000E+000	1.0684810E-004	13	1.3350186E-001	4.6341205E+000	5.031699872888566E+000	-9.3440431E-006	2.8608472E-006	-1.2204890E-005	-5.6954300E-001	2.0347924E+004	6.2298838E+003	2.6577809E+004
2	1	0	1	0	3.062474423407002E+003	-4.3065447E-001	-4.3103731E-001	2.166050857726532E-002	1.000000000000000E+000	1.1253970E-004	13	1.2120109E-001	4.6341205E+000	5.281699866573036E+000	-9.3364870E-006	2.6252771E-006	-1.1961764E-005	-5.5223840E-001	1.9899686E+004	5.5954868E+003	2.5495172E+004
2	1	0	1	0	3.062724423400687E+003	-4.2565444E-001	-4.2602733E-001	2.189110227754402E-002	1.000000000000000E+000	1.1828934E-004	13	1.0890383E-001	4.6341205E+000	5.531699860257504E+000	-9.3262079E-006	2.3840248E-006	-1.1710233E-005	-5.3493118E-001	1.9461209E+004	4.9747988E+003	2.4436008E+004
2	1	0	1	0	3.062974423394371E+003	-4.2065448E-001	-4.2102224E-001	2.213946589526941E-002	1.000000000000000E+000	1.2409806E-004	13	9.6472852E-002	4.6341205E+000	5.781699853941972E+000	-9.3212075E-006	2.1358574E-006	-1.1457065E-005	-5.1749510E-001	1.9016820E+004	4.3575059E+003	2.3374326E+004
