EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	2.927346726204632E+003	-4.4002789E-001	-4.4050309E-001	4.385879437904805E-004	1.000000000000000E+000	0.0000000E+000	14	-5.8710384E-001	4.5117469E+000	0.000000000000000E+000	-1.9319934E-007	1.4660075E-001
2	1	0	1	0	2.928446726176844E+003	-4.3947795E-001	-4.3989241E-001	4.716896255404920E-004	1.000000000000000E+000	9.5013718E-007	14	-5.8778512E-001	4.5117455E+000	0.000000000000000E+000	-2.0749269E-007	1.4789271E-001
2	1	0	1	0	2.930446726126320E+003	-4.3847799E-001	-4.3891478E-001	5.081426781367391E-004	1.000000000000000E+000	2.7227425E-006	14	-5.8870178E-001	4.5117455E+000	1.999999949475750E+000	-2.2303134E-007	1.4978701E-001
2	1	0	1	0	2.932446426075803E+003	-4.3747813E-001	-4.3784174E-001	5.442641699618649E-004	1.000000000000000E+000	4.5653355E-006	14	-5.8965105E-001	4.5117455E+000	3.999699898959079E+000	-2.3830157E-007	1.5180930E-001
2	1	0	1	0	2.934445926025292E+003	-4.3647835E-001	-4.3691951E-001	5.767558460461749E-004	1.000000000000000E+000	6.4673391E-006	14	-5.9059727E-001	4.5117455E+000	5.999199848447461E+000	-2.5199589E-007	1.5367776E-001
2	1	0	1	0	2.936445425974787E+003	-4.3547863E-001	-4.3588263E-001	6.052472080105729E-004	1.000000000000000E+000	8.4309349E-006	14	-5.9159207E-001	4.5117455E+000	7.998699797943118E+000	-2.6381673E-007	1.5570945E-001
2	1	0	1	0	2.938445025924266E+003	-4.3447882E-001	-4.3491477E-001	6.299811137175991E-004	1.000000000000000E+000	1.0447690E-005	14	-5.9262663E-001	4.5117455E+000	9.998299747421697E+000	-2.7398809E-007	1.5771186E-001
2	1	0	0	0	2.940444925873744E+003	-4.3347889E-001	-4.3388093E-001	6.621146159904705E-004	1.000000000000000E+000	1.2518942E-005	14	-5.9368420E-001	4.5117455E+000	1.199819969689997E+001	-2.8727891E-007	1.5980327E-001
2	1	0	1	0	2.942444725823225E+003	-4.3247893E-001	-4.3287671E-001	6.843608600922762E-004	1.000000000000000E+000	1.4630560E-005	14	-5.9476846E-001	4.5117450E+000	1.399799964638078E+001	-2.9624388E-007	1.6189176E-001
2	1	0	1	0	2.944444325772711E+003	-4.3147919E-001	-4.3191522E-001	7.137968039807960E-004	1.000000000000000E+000	1.6808368E-005	14	-5.9590834E-001	4.5117455E+000	1.599759959586663E+001	-3.0829972E-007	1.6399312E-001
2	1	0	1	0	2.946444125722206E+003	-4.3047929E-001	-4.3088141E-001	7.415528434249136E-004	1.000000000000000E+000	1.9039842E-005	14	-5.9710348E-001	4.5117450E+000	1.799739954536199E+001	-3.1952135E-007	1.6622207E-001
2	1	0	1	0	2.948443825671675E+003	-4.2947945E-001	-4.2988694E-001	7.694588624088568E-004	1.000000000000000E+000	2.1328306E-005	14	-5.9834427E-001	4.5117455E+000	1.999709949483076E+001	-3.3078032E-007	1.6845733E-001
2	1	0	0	0	2.950443725621153E+003	-4.2847949E-001	-4.2889342E-001	8.024101761528544E-004	1.000000000000000E+000	2.3667146E-005	14	-5.9961331E-001	4.5117455E+000	2.199699944430904E+001	-3.4414845E-007	1.7071989E-001
2	1	0	1	0	2.952443425570636E+003	-4.2747959E-001	-4.2786077E-001	8.180491206700043E-004	1.000000000000000E+000	2.6062084E-005	14	-6.0093582E-001	4.5117455E+000	2.399669939379237E+001	-3.5001113E-007	1.7307505E-001
2	1	0	0	0	2.954442925520125E+003	-4.2647988E-001	-4.2689607E-001	8.504450486286064E-004	1.000000000000000E+000	2.8515949E-005	14	-6.0230446E-001	4.5117455E+000	2.599619934328075E+001	-3.6305164E-007	1.7540839E-001
