EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.440              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.060               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.440              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	9.627786029707568E+003	-4.4002596E-001	-4.4038665E-001	6.135413888841867E-003	1.000000000000000E+000	0.0000000E+000	14	-1.4085755E+000	4.5117469E+000	0.000000000000000E+000	-2.7019544E-006	9.6818888E-001
2	1	0	1	0	9.628885929694283E+003	-4.3947613E-001	-4.3984920E-001	6.567903281317105E-003	1.000000000000000E+000	7.7254435E-006	13	-1.4092093E+000	4.5117455E+000	0.000000000000000E+000	-2.8888869E-006	9.6936005E-001
2	1	0	1	0	9.630885629670069E+003	-4.3847626E-001	-4.3885893E-001	6.673008855120080E-003	1.000000000000000E+000	2.1749745E-005	13	-1.4101434E+000	4.5117450E+000	1.999699975785916E+000	-2.9285095E-006	9.7128445E-001
2	1	0	1	0	9.632885429645859E+003	-4.3747640E-001	-4.3783152E-001	6.764232477688953E-003	1.000000000000000E+000	3.5972476E-005	13	-1.4110863E+000	4.5117455E+000	3.999499951576581E+000	-2.9615942E-006	9.7325480E-001
2	1	0	1	0	9.634885429621645E+003	-4.3647641E-001	-4.3681568E-001	6.857796074629479E-003	1.000000000000000E+000	5.0383813E-005	13	-1.4120992E+000	4.5117455E+000	5.999499927362194E+000	-2.9955929E-006	9.7528356E-001
2	1	0	1	0	9.636885129597445E+003	-4.3547648E-001	-4.3585294E-001	6.958333804468024E-003	1.000000000000000E+000	6.4992149E-005	13	-1.4132643E+000	4.5117455E+000	7.999199903162662E+000	-3.0328104E-006	9.7741133E-001
2	1	0	1	0	9.638884729573227E+003	-4.3447673E-001	-4.3487552E-001	7.043306652526712E-003	1.000000000000000E+000	7.9788078E-005	13	-1.4144077E+000	4.5117455E+000	9.998799878943828E+000	-3.0629617E-006	9.7953224E-001
2	1	0	1	0	9.640884329549008E+003	-4.3347692E-001	-4.3385351E-001	7.147693715287284E-003	1.000000000000000E+000	9.4772557E-005	13	-1.4156073E+000	4.5117455E+000	1.199839985472499E+001	-3.1010520E-006	9.8175383E-001
2	1	0	1	0	9.642883829524770E+003	-4.3247724E-001	-4.3285275E-001	7.239491506505727E-003	1.000000000000000E+000	1.0993918E-004	13	-1.4168035E+000	4.5117455E+000	1.399789983048686E+001	-3.1336338E-006	9.8395073E-001
2	1	0	0	0	9.644883629500546E+003	-4.3147731E-001	-4.3186456E-001	7.342968247677363E-003	1.000000000000000E+000	1.2531636E-004	13	-1.4181188E+000	4.5117455E+000	1.599769980626297E+001	-3.1711677E-006	9.8625427E-001
2	1	0	1	0	9.646883429476351E+003	-4.3047735E-001	-4.3081161E-001	7.441152378805313E-003	1.000000000000000E+000	1.4089390E-004	13	-1.4194772E+000	4.5117450E+000	1.799749978206819E+001	-3.2057349E-006	9.8866558E-001
2	1	0	0	0	9.648883229452127E+003	-4.2947745E-001	-4.2985746E-001	7.547190004116307E-003	1.000000000000000E+000	1.5667867E-004	13	-1.4207484E+000	4.5117455E+000	1.999729975784430E+001	-3.2442160E-006	9.9089086E-001
2	1	0	1	0	9.650883029427903E+003	-4.2847750E-001	-4.2884588E-001	7.651943072275375E-003	1.000000000000000E+000	1.7266186E-004	13	-1.4220104E+000	4.5117450E+000	2.199709973362042E+001	-3.2815042E-006	9.9316454E-001
2	1	0	1	0	9.652882729403704E+003	-4.2747775E-001	-4.2782280E-001	7.761236098588017E-003	1.000000000000000E+000	1.8885455E-004	13	-1.4233229E+000	4.5117455E+000	2.399679970942088E+001	-3.3204337E-006	9.9550009E-001
2	1	0	1	0	9.654882629379485E+003	-4.2647779E-001	-4.2685577E-001	7.866711558688455E-003	1.000000000000000E+000	2.0525981E-004	13	-1.4247943E+000	4.5117455E+000	2.599669968520175E+001	-3.3579513E-006	9.9793851E-001
2	1	0	1	0	9.656882629355270E+003	-4.2547780E-001	-4.2586747E-001	7.968919127990845E-003	1.000000000000000E+000	2.2187772E-004	13	-1.4261632E+000	4.5117455E+000	2.799669966098736E+001	-3.3937033E-006	1.0002958E+000
2	1	0	1	0	9.658882529331051E+003	-4.2447782E-001	-4.2485380E-001	8.076594390375030E-003	1.000000000000000E+000	2.3871160E-004	13	-1.4275749E+000	4.5117455E+000	2.999659963676822E+001	-3.4313719E-006	1.0027211E+000
2	1	0	1	0	9.660882129306847E+003	-4.2347807E-001	-4.2383176E-001	8.192253353639701E-003	1.000000000000000E+000	2.5577514E-004	13	-1.4290620E+000	4.5117455E+000	3.199619961256394E+001	-3.4721372E-006	1.0052302E+000
2	1	0	0	0	9.662882029282628E+003	-4.2247808E-001	-4.2282659E-001	8.308596071146181E-003	1.000000000000000E+000	2.7306896E-004	13	-1.4305332E+000	4.5117455E+000	3.399609958834480E+001	-3.5130954E-006	1.0077066E+000
2	1	0	0	0	9.664882029258413E+003	-4.2147809E-001	-4.2182878E-001	8.424624675012607E-003	1.000000000000000E+000	2.9058466E-004	13	-1.4320263E+000	4.5117455E+000	3.599609956413042E+001	-3.5537491E-006	1.0101975E+000
2	1	0	1	0	9.666881729234221E+003	-4.2047825E-001	-4.2082894E-001	8.536923835196428E-003	1.000000000000000E+000	3.0831932E-004	13	-1.4335341E+000	4.5117455E+000	3.799579953993816E+001	-3.5925846E-006	1.0127052E+000
2	1	0	0	0	9.668881229210005E+003	-4.1947848E-001	-4.1986212E-001	8.658429483038757E-003	1.000000000000000E+000	3.2629483E-004	13	-1.4350092E+000	4.5117455E+000	3.999529951572185E+001	-3.6353465E-006	1.0151471E+000
2	1	0	1	0	9.670880729185810E+003	-4.1847873E-001	-4.1885072E-001	8.771880122825454E-003	1.000000000000000E+000	3.4450737E-004	13	-1.4366251E+000	4.5117455E+000	4.199479949152737E+001	-3.6741083E-006	1.0177743E+000
2	1	0	1	0	9.672880329161591E+003	-4.1747895E-001	-4.1785315E-001	8.892521243399487E-003	1.000000000000000E+000	3.6295957E-004	13	-1.4381795E+000	4.5117455E+000	4.399439946730854E+001	-3.7157679E-006	1.0203264E+000
2	1	0	1	0	9.674880229137372E+003	-4.1647899E-001	-4.1686493E-001	9.019533661163037E-003	1.000000000000000E+000	3.8165675E-004	13	-1.4398432E+000	4.5117455E+000	4.599429944308940E+001	-3.7599273E-006	1.0229783E+000
2	1	0	1	0	9.676880029113207E+003	-4.1547903E-001	-4.1585651E-001	9.146244433491060E-003	1.000000000000000E+000	4.0059947E-004	13	-1.4414606E+000	4.5117450E+000	4.799409941892372E+001	-3.8035253E-006	1.0256041E+000
2	1	0	1	0	9.678879829088968E+003	-4.1447914E-001	-4.1483125E-001	9.271410083650400E-003	1.000000000000000E+000	4.1979537E-004	13	-1.4431450E+000	4.5117455E+000	4.999389939468529E+001	-3.8460707E-006	1.0283138E+000
2	1	0	1	0	9.680879529064783E+003	-4.1347930E-001	-4.1387379E-001	9.399143445436575E-003	1.000000000000000E+000	4.3924112E-004	13	-1.4448180E+000	4.5117455E+000	5.199359937050031E+001	-3.8900594E-006	1.0309442E+000
2	1	0	1	0	9.682879129040579E+003	-4.1247952E-001	-4.1283700E-001	9.528574511746169E-003	1.000000000000000E+000	4.5893629E-004	13	-1.4464915E+000	4.5117455E+000	5.399319934629602E+001	-3.9337483E-006	1.0336545E+000
2	1	0	1	0	9.684878729016331E+003	-4.1147971E-001	-4.1187745E-001	9.658711471023790E-003	1.000000000000000E+000	4.7890216E-004	13	-1.4481980E+000	4.5117455E+000	5.599279932204809E+001	-3.9782053E-006	1.0363204E+000
2	1	0	1	0	9.686878328992112E+003	-4.1047993E-001	-4.1079718E-001	9.806141973672147E-003	1.000000000000000E+000	4.9915374E-004	13	-1.4499582E+000	4.5117455E+000	5.799239929782925E+001	-4.0283353E-006	1.0391610E+000
2	1	0	1	0	9.688877928967922E+003	-4.0948009E-001	-4.0980381E-001	9.942647204238805E-003	1.000000000000000E+000	5.1968289E-004	13	-1.4516459E+000	4.5117455E+000	5.999199927363952E+001	-4.0745349E-006	1.0418420E+000
2	1	0	1	0	9.690877428943699E+003	-4.0848038E-001	-4.0884650E-001	1.007647492021935E-002	1.000000000000000E+000	5.4046500E-004	13	-1.4535315E+000	4.5117455E+000	6.199149924941594E+001	-4.1197313E-006	1.0446850E+000
2	1	0	0	0	9.692877228919533E+003	-4.0748051E-001	-4.0780744E-001	1.021061662363527E-002	1.000000000000000E+000	5.6153146E-004	13	-1.4554285E+000	4.5117455E+000	6.399129922525026E+001	-4.1639655E-006	1.0476210E+000
2	1	0	1	0	9.694877028895295E+003	-4.0648052E-001	-4.0678099E-001	1.035704750058776E-002	1.000000000000000E+000	5.8287859E-004	13	-1.4573636E+000	4.5117450E+000	6.599109920101182E+001	-4.2130500E-006	1.0505826E+000
2	1	0	0	0	9.696876828871100E+003	-4.0548065E-001	-4.0580031E-001	1.050028992855995E-002	1.000000000000000E+000	6.0451083E-004	13	-1.4592732E+000	4.5117455E+000	6.799089917681704E+001	-4.2610209E-006	1.0534729E+000
2	1	0	1	0	9.698876628846891E+003	-4.0448076E-001	-4.0481633E-001	1.064436413694888E-002	1.000000000000000E+000	6.2642654E-004	13	-1.4611374E+000	4.5117450E+000	6.999069915260770E+001	-4.3090126E-006	1.0563211E+000
2	1	0	1	0	9.700876128822681E+003	-4.0348101E-001	-4.0381455E-001	1.079006409712694E-002	1.000000000000000E+000	6.4864010E-004	13	-1.4631745E+000	4.5117455E+000	7.199019912839867E+001	-4.3571849E-006	1.0593599E+000
2	1	0	1	0	9.702875728798448E+003	-4.0248120E-001	-4.0279889E-001	1.094814412782201E-002	1.000000000000000E+000	6.7115307E-004	13	-1.4651140E+000	4.5117455E+000	7.398979910416529E+001	-4.4099002E-006	1.0623151E+000
2	1	0	1	0	9.704875328774215E+003	-4.0148142E-001	-4.0181291E-001	1.109627344282036E-002	1.000000000000000E+000	6.9396582E-004	13	-1.4670572E+000	4.5117455E+000	7.598939907993190E+001	-4.4586259E-006	1.0652443E+000
2	1	0	1	0	9.706874928750018E+003	-4.0048161E-001	-4.0084177E-001	1.125017604557316E-002	1.000000000000000E+000	7.1707193E-004	13	-1.4691731E+000	4.5117455E+000	7.798899905573489E+001	-4.5095403E-006	1.0683312E+000
2	1	0	1	0	9.708874528725835E+003	-3.9948180E-001	-3.9986119E-001	1.140101662010823E-002	1.000000000000000E+000	7.4049697E-004	13	-1.4711692E+000	4.5117455E+000	7.998859903155244E+001	-4.5588240E-006	1.0713080E+000
2	1	0	1	0	9.710874128701595E+003	-3.9848199E-001	-3.9884120E-001	1.156501062810200E-002	1.000000000000000E+000	7.6423533E-004	13	-1.4733125E+000	4.5117455E+000	8.198819900731178E+001	-4.6126029E-006	1.0744712E+000
2	1	0	0	0	9.712873628677364E+003	-3.9748228E-001	-3.9784366E-001	1.172652512663161E-002	1.000000000000000E+000	7.8829750E-004	13	-1.4755588E+000	4.5117455E+000	8.398769898308092E+001	-4.6653236E-006	1.0777152E+000
2	1	0	1	0	9.714873228653159E+003	-3.9648244E-001	-3.9680040E-001	1.188769724402616E-002	1.000000000000000E+000	8.1267691E-004	13	-1.4779178E+000	4.5117450E+000	8.598729895887664E+001	-4.7170429E-006	1.0811174E+000
2	1	0	1	0	9.716873028628965E+003	-3.9548254E-001	-3.9581332E-001	1.205250344431412E-002	1.000000000000000E+000	8.3738822E-004	13	-1.4802505E+000	4.5117455E+000	8.798709893468185E+001	-4.7705412E-006	1.0844371E+000
2	1	0	1	0	9.718873028604750E+003	-3.9448255E-001	-3.9484093E-001	1.221315902478426E-002	1.000000000000000E+000	8.6243387E-004	13	-1.4827141E+000	4.5117455E+000	8.998709891046747E+001	-4.8222551E-006	1.0878731E+000
2	1	0	1	0	9.720873028580536E+003	-3.9348257E-001	-3.9384741E-001	1.238912427369682E-002	1.000000000000000E+000	8.8781375E-004	13	-1.4850271E+000	4.5117455E+000	9.198709888625308E+001	-4.8794245E-006	1.0911796E+000
2	1	0	1	0	9.722872728556336E+003	-3.9248270E-001	-3.9281467E-001	1.256266743351336E-002	1.000000000000000E+000	9.1352820E-004	13	-1.4878007E+000	4.5117455E+000	9.398679886205355E+001	-4.9348000E-006	1.0949861E+000
2	1	0	1	0	9.724872328532103E+003	-3.9148292E-001	-3.9181703E-001	1.273657497844138E-002	1.000000000000000E+000	9.3959447E-004	13	-1.4903063E+000	4.5117455E+000	9.598639883782016E+001	-4.9904070E-006	1.0984893E+000
2	1	0	1	0	9.726871928507913E+003	-3.9048311E-001	-3.9082679E-001	1.290620354305058E-002	1.000000000000000E+000	9.6601318E-004	13	-1.4928023E+000	4.5117455E+000	9.798599881363043E+001	-5.0440899E-006	1.1019754E+000
2	1	0	1	0	9.728871528483694E+003	-3.8948330E-001	-3.8981226E-001	1.308657687364342E-002	1.000000000000000E+000	9.9278253E-004	13	-1.4953374E+000	4.5117455E+000	9.998559878941160E+001	-5.1013080E-006	1.1055251E+000
2	1	0	1	0	9.730871128459505E+003	-3.8848349E-001	-3.8883579E-001	1.326974458675362E-002	1.000000000000000E+000	1.0199010E-003	13	-1.4978455E+000	4.5117455E+000	1.019851987652219E+002	-5.1597517E-006	1.1090097E+000
