EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.740              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.160               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.840              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.740              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102890684545404E+003	-7.4000788E-001	-7.4026000E-001	-4.724793136119843E-003	1.000000000000000E+000	0.0000000E+000	14	3.1106067E-001	4.2965059E+000	0.000000000000000E+000	3.4975753E-006	-1.0513207E+000
2	0	0	1	0	5.102933284544881E+003	-7.3915637E-001	-7.3956215E-001	1.327874946550678E-002	1.000000000000000E+000	5.2612501E-007	14	3.0240494E-001	4.2965050E+000	0.000000000000000E+000	-9.8204609E-006	-1.0419672E+000
2	1	0	1	0	5.102998384544102E+003	-7.3785418E-001	-7.3823643E-001	1.863537217636979E-002	1.000000000000000E+000	1.6131480E-006	13	2.9672861E-001	4.2965055E+000	6.509999922127463E-002	-1.3757311E-005	-1.0349650E+000
2	1	0	1	0	5.103048384543494E+003	-7.3685414E-001	-7.3719412E-001	1.948365163601312E-002	1.000000000000000E+000	2.6262321E-006	13	2.9356480E-001	4.2965055E+000	1.150999986130046E-001	-1.4363233E-005	-1.0307589E+000
2	1	0	1	0	5.103098484542890E+003	-7.3585254E-001	-7.3623854E-001	1.919035095332144E-002	1.000000000000000E+000	3.6563281E-006	13	2.9093009E-001	4.2965055E+000	1.651999980094843E-001	-1.4128676E-005	-1.0271686E+000
2	1	0	1	0	5.103148684542291E+003	-7.3484862E-001	-7.3519522E-001	1.947587294711961E-002	1.000000000000000E+000	4.6870691E-006	13	2.8810307E-001	4.2965055E+000	2.153999974107137E-001	-1.4318569E-005	-1.0232983E+000
2	1	0	1	0	5.103198784541673E+003	-7.3384607E-001	-7.3418629E-001	1.969155342387111E-002	1.000000000000000E+000	5.7260099E-006	13	2.8538594E-001	4.2965055E+000	2.654999967926415E-001	-1.4457269E-005	-1.0195723E+000
2	1	0	1	0	5.103248784541065E+003	-7.3284614E-001	-7.3320651E-001	1.963538065104287E-002	1.000000000000000E+000	6.7722867E-006	13	2.8268000E-001	4.2965055E+000	3.154999961843714E-001	-1.4396789E-005	-1.0158865E+000
2	1	0	1	0	5.103298884540462E+003	-7.3184460E-001	-7.3220581E-001	2.004004697793421E-002	1.000000000000000E+000	7.8284929E-006	13	2.7981222E-001	4.2965055E+000	3.655999955808511E-001	-1.4673439E-005	-1.0120180E+000
2	1	0	1	0	5.103348984539858E+003	-7.3084211E-001	-7.3124605E-001	2.005804171009606E-002	1.000000000000000E+000	8.8895758E-006	13	2.7713153E-001	4.2965055E+000	4.156999949773308E-001	-1.4667364E-005	-1.0083776E+000
