EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927472526211277E+003	-4.1499430E-001	-4.1565490E-001	9.730929014040157E-005	1.000000000000000E+000	0.0000000E+000	14	-8.4122556E-001	1.1880130E+001	0.000000000000000E+000	-4.0447084E-008	4.2557067E-001
2	1	0	0	0	2.928572526183489E+003	-4.1444445E-001	-4.1504562E-001	-3.086157361357865E-005	1.000000000000000E+000	1.4656108E-007	14	-8.4105903E-001	1.1880126E+001	0.000000000000000E+000	1.2808961E-008	4.2601341E-001
2	1	0	0	0	2.930572526132964E+003	-4.1344440E-001	-4.1403711E-001	-2.124523381482159E-005	1.000000000000000E+000	3.7200451E-007	14	-8.4088939E-001	1.1880126E+001	1.999999949475750E+000	8.7963148E-009	4.2685229E-001
2	1	0	0	0	2.932572526082440E+003	-4.1244441E-001	-4.1308174E-001	-1.340369357437207E-005	1.000000000000000E+000	6.1494131E-007	14	-8.4070879E-001	1.1880126E+001	3.999999898951501E+000	5.5368212E-009	4.2762706E-001
2	1	0	0	0	2.934572526031916E+003	-4.1144440E-001	-4.1203615E-001	-5.913358298661352E-006	1.000000000000000E+000	8.7437928E-007	14	-8.4052038E-001	1.1880126E+001	5.999999848427251E+000	2.4365174E-009	4.2848423E-001
2	1	0	0	0	2.936572525981392E+003	-4.1044441E-001	-4.1102448E-001	-1.001542829964679E-006	1.000000000000000E+000	1.1484592E-006	14	-8.4034687E-001	1.1880126E+001	7.999999797903001E+000	4.1165862E-010	4.2932239E-001
2	1	0	0	0	2.938572525930867E+003	-4.0944439E-001	-4.1004893E-001	7.545874179143261E-006	1.000000000000000E+000	1.4310494E-006	14	-8.4015191E-001	1.1880126E+001	9.999999747378752E+000	-3.0941776E-009	4.3010297E-001
2	1	0	0	0	2.940572525880343E+003	-4.0844443E-001	-4.0898106E-001	9.643137260424261E-006	1.000000000000000E+000	1.7239222E-006	14	-8.3995891E-001	1.1880126E+001	1.199999969685450E+001	-3.9438603E-009	4.3097785E-001
2	1	0	0	0	2.942572525829819E+003	-4.0744445E-001	-4.0799168E-001	1.700509291327875E-005	1.000000000000000E+000	2.0264547E-006	14	-8.3977741E-001	1.1880126E+001	1.399999964633025E+001	-6.9379364E-009	4.3178573E-001
2	1	0	0	0	2.944572525779295E+003	-4.0644443E-001	-4.0700021E-001	2.239698814571808E-005	1.000000000000000E+000	2.3412238E-006	14	-8.3958596E-001	1.1880126E+001	1.599999959580600E+001	-9.1155794E-009	4.3258575E-001
2	1	0	0	0	2.946572525728770E+003	-4.0544444E-001	-4.0600234E-001	2.553732998574219E-005	1.000000000000000E+000	2.6654593E-006	14	-8.3940661E-001	1.1880126E+001	1.799999954528175E+001	-1.0368216E-008	4.3340427E-001
2	1	0	0	0	2.948572525678246E+003	-4.0444440E-001	-4.0501720E-001	3.216907536126603E-005	1.000000000000000E+000	2.9994437E-006	14	-8.3922201E-001	1.1880126E+001	1.999999949475750E+001	-1.3029029E-008	4.3420482E-001
2	1	0	0	0	2.950572525627722E+003	-4.0344444E-001	-4.0400240E-001	3.638670030057893E-005	1.000000000000000E+000	3.3427257E-006	14	-8.3904070E-001	1.1880126E+001	2.199999944423325E+001	-1.4700314E-008	4.3503830E-001
2	0	0	1	0	2.952572625577202E+003	-4.0244433E-001	-4.0302566E-001	4.347308971350953E-005	1.000000000000000E+000	3.6988870E-006	14	-8.3886820E-001	1.1880125E+001	2.400009939371375E+001	-1.7520771E-008	4.3584254E-001
2	0	0	1	0	2.954572825526666E+003	-4.0144426E-001	-4.0193126E-001	4.959734438214180E-005	1.000000000000000E+000	4.0663713E-006	14	-8.3869427E-001	1.1880125E+001	2.600029934317718E+001	-1.9934722E-008	4.3676302E-001
2	0	0	1	0	2.956573225476131E+003	-4.0044406E-001	-4.0101379E-001	5.323404014441501E-005	1.000000000000000E+000	4.4431608E-006	14	-8.3852011E-001	1.1880125E+001	2.800069929264282E+001	-2.1347585E-008	4.3750632E-001
2	0	0	1	0	2.958573425425602E+003	-3.9944389E-001	-3.9997658E-001	5.844515937971113E-005	1.000000000000000E+000	4.8282768E-006	14	-8.3835793E-001	1.1880125E+001	3.000089924211352E+001	-2.3376694E-008	4.3838134E-001
2	0	0	1	0	2.960573825375075E+003	-3.9844376E-001	-3.9899445E-001	6.532141708268709E-005	1.000000000000000E+000	5.2265045E-006	14	-8.3819604E-001	1.1880125E+001	3.200129919158644E+001	-2.6062883E-008	4.3920159E-001
2	0	0	1	0	2.962574025324539E+003	-3.9744359E-001	-3.9802510E-001	6.845462564713763E-005	1.000000000000000E+000	5.6347526E-006	14	-8.3804238E-001	1.1880126E+001	3.400149914104986E+001	-2.7246658E-008	4.4001728E-001
2	0	0	1	0	2.964574425274004E+003	-3.9644343E-001	-3.9700586E-001	7.561660069402287E-005	1.000000000000000E+000	6.0506063E-006	14	-8.3789241E-001	1.1880125E+001	3.600189909051551E+001	-3.0020232E-008	4.4088656E-001
2	0	0	1	0	2.966574725223472E+003	-3.9544332E-001	-3.9605772E-001	8.152060447867118E-005	1.000000000000000E+000	6.4759324E-006	14	-8.3773762E-001	1.1880126E+001	3.800219903998368E+001	-3.2286867E-008	4.4167989E-001
2	0	0	1	0	2.968575025172941E+003	-3.9444312E-001	-3.9504060E-001	8.290188452146868E-005	1.000000000000000E+000	6.9148232E-006	14	-8.3759892E-001	1.1880125E+001	4.000249898945185E+001	-3.2749611E-008	4.4255832E-001
2	0	0	1	0	2.970575325122409E+003	-3.9344299E-001	-3.9399698E-001	9.185078332433756E-005	1.000000000000000E+000	7.3641454E-006	14	-8.3745599E-001	1.1880126E+001	4.200279893892002E+001	-3.6188933E-008	4.4345900E-001
2	0	0	1	0	2.972575625071877E+003	-3.9244282E-001	-3.9301595E-001	9.412138361316030E-005	1.000000000000000E+000	7.8243957E-006	14	-8.3732504E-001	1.1880125E+001	4.400309888838819E+001	-3.6991207E-008	4.4430909E-001
2	1	0	1	0	2.974575925021345E+003	-3.9144266E-001	-3.9200950E-001	1.038483534085828E-004	1.000000000000000E+000	8.2935630E-006	14	-8.3720189E-001	1.1880126E+001	4.600339883785637E+001	-4.0709541E-008	4.4519240E-001
