EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	9.627618229719432E+003	-4.1500100E-001	-4.1545618E-001	2.001156244659796E-004	1.000000000000000E+000	0.0000000E+000	14	-9.8515642E-001	1.1880130E+001	0.000000000000000E+000	-8.3139270E-008	5.6970024E-001
2	1	0	1	0	9.628718429706118E+003	-4.1445103E-001	-4.1497266E-001	6.021302305518825E-004	1.000000000000000E+000	8.0347218E-007	14	-9.8567444E-001	1.1880126E+001	0.000000000000000E+000	-2.4986758E-007	5.7070178E-001
2	1	0	1	0	9.630718729681903E+003	-4.1345087E-001	-4.1401500E-001	6.218259880552898E-004	1.000000000000000E+000	2.2845654E-006	14	-9.8634988E-001	1.1880125E+001	2.000299975785310E+000	-2.5744529E-007	5.7233489E-001
2	1	0	1	0	9.632719029657688E+003	-4.1245073E-001	-4.1299686E-001	6.361553681485210E-004	1.000000000000000E+000	3.7989923E-006	14	-9.8705971E-001	1.1880126E+001	4.000599951570621E+000	-2.6273017E-007	5.7406282E-001
2	1	0	1	0	9.634719329633488E+003	-4.1145056E-001	-4.1200408E-001	6.523495266693435E-004	1.000000000000000E+000	5.3448862E-006	14	-9.8778933E-001	1.1880125E+001	6.000899927370483E+000	-2.6877066E-007	5.7578528E-001
2	1	0	1	0	9.636719729609249E+003	-4.1045037E-001	-4.1097742E-001	6.641841614017155E-004	1.000000000000000E+000	6.9219723E-006	14	-9.8856914E-001	1.1880125E+001	8.001299903131439E+000	-2.7296468E-007	5.7759172E-001
2	1	0	1	0	9.638719929585059E+003	-4.0945026E-001	-4.1001448E-001	6.824704889316410E-004	1.000000000000000E+000	8.5243828E-006	14	-9.8936343E-001	1.1880125E+001	1.000149987894110E+001	-2.7982279E-007	5.7934892E-001
2	1	0	1	0	9.640720329560805E+003	-4.0845007E-001	-4.0895280E-001	6.951343144217803E-004	1.000000000000000E+000	1.0154011E-005	14	-9.9018145E-001	1.1880125E+001	1.200189985468751E+001	-2.8427712E-007	5.8122861E-001
2	1	0	1	0	9.642720529536586E+003	-4.0744996E-001	-4.0802056E-001	7.093321578819506E-004	1.000000000000000E+000	1.1811288E-005	14	-9.9103594E-001	1.1880125E+001	1.400209983046807E+001	-2.8942210E-007	5.8301538E-001
2	1	0	1	0	9.644720729512381E+003	-4.0644982E-001	-4.0694413E-001	7.245263330340080E-004	1.000000000000000E+000	1.3497418E-005	14	-9.9191016E-001	1.1880125E+001	1.600229980626318E+001	-2.9484173E-007	5.8496606E-001
