EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927494326219457E+003	-4.1503453E-001	-4.1527700E-001	4.813875537365675E-003	1.000000000000000E+000	0.0000000E+000	13	-1.4924312E+000	1.0588923E+001	0.000000000000000E+000	-1.9990919E-006	1.0771542E+000
2	1	0	1	0	2.928594126191674E+003	-4.1448468E-001	-4.1480955E-001	4.763561266355246E-003	1.000000000000000E+000	5.3983626E-006	13	-1.4925987E+000	1.0588921E+001	0.000000000000000E+000	-1.9759707E-006	1.0777891E+000
2	1	0	1	0	2.930593426141168E+003	-4.1348505E-001	-4.1380253E-001	4.870804171812917E-003	1.000000000000000E+000	1.5341453E-005	13	-1.4930918E+000	1.0588921E+001	1.999299949493434E+000	-2.0155512E-006	1.0792893E+000
2	1	0	1	0	2.932592626090671E+003	-4.1248551E-001	-4.1285294E-001	4.970869353802476E-003	1.000000000000000E+000	2.5493615E-005	13	-1.4937110E+000	1.0588922E+001	3.998499898996670E+000	-2.0522380E-006	1.0808580E+000
2	1	0	1	0	2.934591726040169E+003	-4.1148591E-001	-4.1180888E-001	5.071489911187069E-003	1.000000000000000E+000	3.5847974E-005	13	-1.4944375E+000	1.0588922E+001	5.997599848495156E+000	-2.0884845E-006	1.0826286E+000
2	1	0	1	0	2.936590925989673E+003	-4.1048634E-001	-4.1079456E-001	5.180162646241979E-003	1.000000000000000E+000	4.6414549E-005	13	-1.4952676E+000	1.0588921E+001	7.996799797998392E+000	-2.1279827E-006	1.0844731E+000
2	1	0	1	0	2.938589825939162E+003	-4.0948689E-001	-4.0977186E-001	5.280825659471043E-003	1.000000000000000E+000	5.7191719E-005	13	-1.4961669E+000	1.0588921E+001	9.995699747487379E+000	-2.1639337E-006	1.0863950E+000
2	1	0	1	0	2.940588925888660E+003	-4.0848732E-001	-4.0878507E-001	5.388130494416533E-003	1.000000000000000E+000	6.8167596E-005	13	-1.4971247E+000	1.0588921E+001	1.199479969698587E+001	-2.2025874E-006	1.0883396E+000
2	1	0	1	0	2.942588025838159E+003	-4.0748781E-001	-4.0781745E-001	5.488478316946099E-003	1.000000000000000E+000	7.9351084E-005	13	-1.4981704E+000	1.0588922E+001	1.399389964648435E+001	-2.2382972E-006	1.0903529E+000
2	1	0	1	0	2.944587325787659E+003	-4.0648815E-001	-4.0678075E-001	5.594688989495070E-003	1.000000000000000E+000	9.0745976E-005	13	-1.4992954E+000	1.0588921E+001	1.599319959598506E+001	-2.2758118E-006	1.0925146E+000
2	1	0	1	0	2.946586425737150E+003	-4.0548858E-001	-4.0573993E-001	5.700150942954766E-003	1.000000000000000E+000	1.0234970E-004	13	-1.5004874E+000	1.0588922E+001	1.799229954547627E+001	-2.3127789E-006	1.0947475E+000
2	1	0	1	0	2.948585625686646E+003	-4.0448895E-001	-4.0479556E-001	5.810333266966991E-003	1.000000000000000E+000	1.1417413E-004	13	-1.5017272E+000	1.0588921E+001	1.999149949497223E+001	-2.3519972E-006	1.0969317E+000
2	1	0	1	0	2.950584625636147E+003	-4.0348947E-001	-4.0376225E-001	5.922672368426515E-003	1.000000000000000E+000	1.2621831E-004	13	-1.5030137E+000	1.0588922E+001	2.199049944447324E+001	-2.3913515E-006	1.0992515E+000
2	1	0	1	0	2.952583825585651E+003	-4.0248984E-001	-4.0278602E-001	6.031327189668340E-003	1.000000000000000E+000	1.3848394E-004	13	-1.5043348E+000	1.0588921E+001	2.398969939397648E+001	-2.4293342E-006	1.1015488E+000
2	1	0	1	0	2.954583025535139E+003	-4.0149030E-001	-4.0177804E-001	6.143950126434844E-003	1.000000000000000E+000	1.5097008E-004	13	-1.5056969E+000	1.0588922E+001	2.598889934346516E+001	-2.4685044E-006	1.1039188E+000
2	1	0	1	0	2.956582025484640E+003	-4.0049076E-001	-4.0083376E-001	6.258232728488050E-003	1.000000000000000E+000	1.6367483E-004	13	-1.5070897E+000	1.0588921E+001	2.798789929296618E+001	-2.5085110E-006	1.1062560E+000
2	1	0	1	0	2.958581025434141E+003	-3.9949131E-001	-3.9980042E-001	6.373654804174039E-003	1.000000000000000E+000	1.7661556E-004	13	-1.5084739E+000	1.0588922E+001	2.998689924246719E+001	-2.5481900E-006	1.1086735E+000
2	1	0	1	0	2.960580225383637E+003	-3.9849165E-001	-3.9884543E-001	6.488802434814877E-003	1.000000000000000E+000	1.8978951E-004	13	-1.5098855E+000	1.0588921E+001	3.198609919196315E+001	-2.5880292E-006	1.1110401E+000
2	1	0	1	0	2.962579425333133E+003	-3.9749211E-001	-3.9778337E-001	6.610971249782216E-003	1.000000000000000E+000	2.0319929E-004	13	-1.5112901E+000	1.0588922E+001	3.398529914145911E+001	-2.6297344E-006	1.1135067E+000
2	1	0	1	0	2.964578625282629E+003	-3.9649248E-001	-3.9685166E-001	6.734746477119198E-003	1.000000000000000E+000	2.1685411E-004	13	-1.5127323E+000	1.0588921E+001	3.598449909095507E+001	-2.6726952E-006	1.1158806E+000
