EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.515              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.385               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	0	0	2.285935143005627E+003	-5.1500612E-001	-5.1570237E-001	2.321932697668672E-003	1.000000000000000E+000	0.0000000E+000	10	4.6888256E-001	9.0346642E+000	0.000000000000000E+000	-1.1974262E-006	1.0887137E-006	-2.2861400E-006	-9.8458493E-001	2.2210048E+005	2.0193633E+005	4.2403681E+005
2	1	0	1	0	2.286081443001938E+003	-5.1207924E-001	-5.1266718E-001	6.965299341375630E-003	1.000000000000000E+000	1.3042011E-006	10	4.6487927E-001	9.0346546E+000	0.000000000000000E+000	-3.5708804E-006	3.2380233E-006	-6.8089039E-006	-9.7754645E-001	7.3603039E+004	6.6742180E+004	1.4034522E+005
2	1	0	1	0	2.286366642994726E+003	-5.0637436E-001	-5.0693995E-001	6.787774136322308E-003	1.000000000000000E+000	3.6813724E-006	12	4.5690542E-001	9.0346518E+000	2.851999927879660E-001	-3.4409939E-006	3.1013708E-006	-6.5423646E-006	-9.6384537E-001	7.4684266E+004	6.7313000E+004	1.4199727E+005
2	1	0	1	0	2.286634042987971E+003	-5.0102603E-001	-5.0159490E-001	7.081226548246936E-003	1.000000000000000E+000	5.7957668E-006	13	4.4955298E-001	9.0346537E+000	5.525999860328739E-001	-3.5519072E-006	3.1833865E-006	-6.7352935E-006	-9.5114791E-001	7.0834469E+004	6.3485188E+004	1.3431966E+005
2	1	0	1	0	2.286885142981628E+003	-4.9600273E-001	-4.9656728E-001	7.158942780918012E-003	1.000000000000000E+000	7.8357116E-006	13	4.4261307E-001	9.0346546E+000	8.036999796895543E-001	-3.5548967E-006	3.1686416E-006	-6.7235383E-006	-9.3918037E-001	6.9363211E+004	6.1826598E+004	1.3118981E+005
2	1	0	1	0	2.287135242975310E+003	-4.9100068E-001	-4.9157700E-001	7.328266903542643E-003	1.000000000000000E+000	9.8939645E-006	13	4.3583411E-001	9.0346556E+000	1.053799973371497E+000	-3.6024076E-006	3.1939087E-006	-6.7963160E-006	-9.2741108E-001	6.7079570E+004	5.9473012E+004	1.2655259E+005
2	1	0	1	0	2.287385242968994E+003	-4.8600063E-001	-4.8658463E-001	7.475271844186355E-003	1.000000000000000E+000	1.1991042E-005	13	4.2907998E-001	9.0346556E+000	1.303799967055966E+000	-3.6373524E-006	3.2074895E-006	-6.8448421E-006	-9.1566461E-001	6.5092566E+004	5.7399918E+004	1.2249248E+005
2	1	0	1	0	2.287635242962679E+003	-4.8100069E-001	-4.8157790E-001	7.565272620761961E-003	1.000000000000000E+000	1.4119942E-005	13	4.2237654E-001	9.0346556E+000	1.553799960740435E+000	-3.6432682E-006	3.1953937E-006	-6.8386616E-006	-9.0395445E-001	6.3656383E+004	5.5830973E+004	1.1948736E+005
2	1	0	1	0	2.287885242956363E+003	-4.7600061E-001	-4.7657293E-001	7.730194392216545E-003	1.000000000000000E+000	1.6282569E-005	13	4.1568217E-001	9.0346556E+000	1.803799954424903E+000	-3.6840013E-006	3.2133039E-006	-6.8973054E-006	-8.9225507E-001	6.1650832E+004	5.3773832E+004	1.1542466E+005
2	1	0	1	0	2.288135242950048E+003	-4.7100067E-001	-4.7159165E-001	7.822408483816726E-003	1.000000000000000E+000	1.8477136E-005	13	4.0903512E-001	9.0346556E+000	2.053799948109372E+000	-3.6889826E-006	3.1996399E-006	-6.8886225E-006	-8.8062680E-001	6.0287270E+004	5.2290176E+004	1.1257745E+005
2	1	0	1	0	2.288385242943732E+003	-4.6600065E-001	-4.6657178E-001	7.958168950886995E-003	1.000000000000000E+000	2.0699377E-005	13	4.0242672E-001	9.0346556E+000	2.303799941793841E+000	-3.7130571E-006	3.2025798E-006	-6.9156367E-006	-8.6899853E-001	5.8628031E+004	5.0567754E+004	1.0919578E+005
2	1	0	1	0	2.288635242937416E+003	-4.6100065E-001	-4.6157596E-001	8.095039326585174E-003	1.000000000000000E+000	2.2956991E-005	13	3.9582404E-001	9.0346556E+000	2.553799935478310E+000	-3.7364755E-006	3.2042112E-006	-6.9406869E-006	-8.5740000E-001	5.7019605E+004	4.8897113E+004	1.0591672E+005
2	1	0	1	0	2.288885242931101E+003	-4.5600066E-001	-4.5658687E-001	8.198237808842587E-003	1.000000000000000E+000	2.5241809E-005	13	3.8926578E-001	9.0346556E+000	2.803799929162779E+000	-3.7432078E-006	3.1912934E-006	-6.9345010E-006	-8.4585261E-001	5.5693293E+004	4.7481641E+004	1.0317494E+005
2	1	0	1	0	2.289135242924785E+003	-4.5100066E-001	-4.5157948E-001	8.333498389708844E-003	1.000000000000000E+000	2.7555381E-005	13	3.8273200E-001	9.0346556E+000	3.053799922847247E+000	-3.7632369E-006	3.1894965E-006	-6.9527332E-006	-8.3431149E-001	5.4188465E+004	4.5926930E+004	1.0011540E+005
2	1	0	1	0	2.289385242918470E+003	-4.4600067E-001	-4.4658703E-001	8.454360170598730E-003	1.000000000000000E+000	2.9904528E-005	13	3.7621781E-001	9.0346556E+000	3.303799916531716E+000	-3.7756076E-006	3.1806808E-006	-6.9562884E-006	-8.2280481E-001	5.2823277E+004	4.4499855E+004	9.7323133E+004
2	1	0	1	0	2.289635242912154E+003	-4.4100067E-001	-4.4158971E-001	8.586987516079364E-003	1.000000000000000E+000	3.2284410E-005	13	3.6975008E-001	9.0346556E+000	3.553799910216185E+000	-3.7919253E-006	3.1750394E-006	-6.9669645E-006	-8.1133980E-001	5.1425453E+004	4.3059348E+004	9.4484797E+004
2	1	0	1	0	2.289885242905839E+003	-4.3600065E-001	-4.3656883E-001	8.717404756272196E-003	1.000000000000000E+000	3.4698172E-005	13	3.6330125E-001	9.0346556E+000	3.803799903900653E+000	-3.8057472E-006	3.1670440E-006	-6.9727912E-006	-7.9987007E-001	5.0080137E+004	4.1675391E+004	9.1755531E+004
2	1	0	1	0	2.290135242899523E+003	-4.3100065E-001	-4.3159372E-001	8.850101028532676E-003	1.000000000000000E+000	3.7146063E-005	13	3.5688686E-001	9.0346556E+000	4.053799897585123E+000	-3.8196481E-006	3.1584848E-006	-6.9781327E-006	-7.8848058E-001	4.8767094E+004	4.0325738E+004	8.9092836E+004
2	1	0	1	0	2.290385242893208E+003	-4.2600065E-001	-4.2656720E-001	9.023140131917281E-003	1.000000000000000E+000	3.9628536E-005	13	3.5052651E-001	9.0346556E+000	4.303799891269591E+000	-3.8489757E-006	3.1628499E-006	-7.0118253E-006	-7.7709371E-001	4.7274805E+004	3.8847508E+004	8.6122313E+004
2	1	0	1	0	2.290635242886892E+003	-4.2100063E-001	-4.2158854E-001	9.136453808838068E-003	1.000000000000000E+000	4.2148196E-005	13	3.4418106E-001	9.0346556E+000	4.553799884954060E+000	-3.8518242E-006	3.1445943E-006	-6.9964185E-006	-7.6576960E-001	4.6143563E+004	3.7671188E+004	8.3814750E+004
2	1	0	1	0	2.290885242880577E+003	-4.1600066E-001	-4.1659266E-001	9.275022026572808E-003	1.000000000000000E+000	4.4699751E-005	13	3.3790860E-001	9.0346556E+000	4.803799878638529E+000	-3.8639059E-006	3.1341096E-006	-6.9980156E-006	-7.5450122E-001	4.4915543E+004	3.6432105E+004	8.1347648E+004
2	1	0	1	0	2.291135242874261E+003	-4.1100061E-001	-4.1157654E-001	9.466689033869404E-003	1.000000000000000E+000	4.7289956E-005	13	3.3166614E-001	9.0346556E+000	5.053799872322998E+000	-3.8962671E-006	3.1397801E-006	-7.0360475E-006	-7.4324268E-001	4.3476293E+004	3.5035074E+004	7.8511367E+004
2	1	0	1	0	2.291385242867946E+003	-4.0600064E-001	-4.0658143E-001	9.579895866272961E-003	1.000000000000000E+000	4.9919487E-005	13	3.2550001E-001	9.0346556E+000	5.303799866007466E+000	-3.8950079E-006	3.1182562E-006	-7.0132642E-006	-7.3208141E-001	4.2441113E+004	3.3977406E+004	7.6418516E+004
2	1	0	1	0	2.291635242861630E+003	-4.0100062E-001	-4.0157902E-001	9.738712526420744E-003	1.000000000000000E+000	5.2582007E-005	13	3.1939241E-001	9.0346556E+000	5.553799859691935E+000	-3.9108627E-006	3.1104710E-006	-7.0213337E-006	-7.2097147E-001	4.1235328E+004	3.2796164E+004	7.4031492E+004
2	1	0	1	0	2.291885242855315E+003	-3.9600062E-001	-3.9655843E-001	9.894347756580026E-003	1.000000000000000E+000	5.5286207E-005	13	3.1335652E-001	9.0346556E+000	5.803799853376404E+000	-3.9236870E-006	3.1004583E-006	-7.0241454E-006	-7.0991492E-001	4.0079289E+004	3.1670256E+004	7.1749547E+004
2	1	0	1	0	2.292135242848999E+003	-3.9100060E-001	-3.9158383E-001	1.002364729742561E-002	1.000000000000000E+000	5.8027570E-005	13	3.0740917E-001	9.0346556E+000	6.053799847060873E+000	-3.9250981E-006	3.0813610E-006	-7.0064593E-006	-6.9899297E-001	3.9066004E+004	3.0668395E+004	6.9734398E+004
2	1	0	1	0	2.292385242842684E+003	-3.8600060E-001	-3.8658032E-001	1.018306181479414E-002	1.000000000000000E+000	6.0805782E-005	13	3.0151826E-001	9.0346556E+000	6.303799840745341E+000	-3.9365714E-006	3.0703791E-006	-7.0069505E-006	-6.8809855E-001	3.7963074E+004	2.9609783E+004	6.7572859E+004
2	1	0	1	0	2.292635242836368E+003	-3.8100061E-001	-3.8157195E-001	1.034132064221952E-002	1.000000000000000E+000	6.3623025E-005	13	2.9567766E-001	9.0346556E+000	6.553799834429810E+000	-3.9459578E-006	3.0576975E-006	-7.0036554E-006	-6.7724961E-001	3.6897797E+004	2.8591867E+004	6.5489664E+004
2	1	0	1	0	2.292885242830052E+003	-3.7600061E-001	-3.7660277E-001	1.050479279880159E-002	1.000000000000000E+000	6.6477398E-005	13	2.8988585E-001	9.0346556E+000	6.803799828114280E+000	-3.9561342E-006	3.0451909E-006	-7.0013248E-006	-6.6648865E-001	3.5850566E+004	2.7595580E+004	6.3446145E+004
2	1	0	1	0	2.293135242823737E+003	-3.7100059E-001	-3.7159914E-001	1.067941131677683E-002	1.000000000000000E+000	6.9372560E-005	13	2.8411242E-001	9.0346556E+000	7.053799821798748E+000	-3.9684601E-006	3.0341535E-006	-7.0026135E-006	-6.5571153E-001	3.4795844E+004	2.6603754E+004	6.1399598E+004
2	1	0	1	0	2.293385242817421E+003	-3.6600062E-001	-3.6659133E-001	1.080423962149838E-002	1.000000000000000E+000	7.2306939E-005	13	2.7837068E-001	9.0346556E+000	7.303799815483217E+000	-3.9607407E-006	3.0075835E-006	-6.9683242E-006	-6.4496201E-001	3.3930324E+004	2.5764949E+004	5.9695270E+004
2	1	0	1	0	2.293635242811106E+003	-3.6100057E-001	-3.6156741E-001	1.100248476485635E-002	1.000000000000000E+000	7.5283097E-005	13	2.7263969E-001	9.0346556E+000	7.553799809167685E+000	-3.9781398E-006	2.9997141E-006	-6.9778539E-006	-6.3420713E-001	3.2862340E+004	2.4779828E+004	5.7642172E+004
2	1	0	1	0	2.293885242804790E+003	-3.5600060E-001	-3.5655415E-001	1.114343851309777E-002	1.000000000000000E+000	7.8301273E-005	13	2.6692352E-001	9.0346556E+000	7.803799802852155E+000	-3.9732395E-006	2.9744458E-006	-6.9476851E-006	-6.2347770E-001	3.1996779E+004	2.3953426E+004	5.5950203E+004
2	1	0	1	0	2.294135242798475E+003	-3.5100055E-001	-3.5158303E-001	1.130206871609097E-002	1.000000000000000E+000	8.1357015E-005	13	2.6121110E-001	9.0346556E+000	8.053799796536623E+000	-3.9736155E-006	2.9522257E-006	-6.9258413E-006	-6.1279416E-001	3.1107848E+004	2.3111795E+004	5.4219645E+004
2	1	0	1	0	2.294385242792159E+003	-3.4600058E-001	-3.4658498E-001	1.147631015691941E-002	1.000000000000000E+000	8.4453677E-005	13	2.5547412E-001	9.0346556E+000	8.303799790221092E+000	-3.9775168E-006	2.9319003E-006	-6.9094167E-006	-6.0205913E-001	3.0200035E+004	2.2260998E+004	5.2461035E+004
2	1	0	1	0	2.294635242785844E+003	-3.4100056E-001	-3.4157664E-001	1.159897917639277E-002	1.000000000000000E+000	8.7588887E-005	13	2.4974754E-001	9.0346556E+000	8.553799783905560E+000	-3.9619404E-006	2.8968166E-006	-6.8587569E-006	-5.9132421E-001	2.9448854E+004	2.1531855E+004	5.0980707E+004
2	1	0	1	0	2.294885242779528E+003	-3.3600059E-001	-3.3656380E-001	1.178668083351421E-002	1.000000000000000E+000	9.0762507E-005	13	2.4399409E-001	9.0346556E+000	8.803799777590029E+000	-3.9669699E-006	2.8758805E-006	-6.8428503E-006	-5.8055788E-001	2.8554586E+004	2.0700830E+004	4.9255418E+004
2	1	0	1	0	2.295135242773213E+003	-3.3100054E-001	-3.3159152E-001	1.192775391142018E-002	1.000000000000000E+000	9.3975112E-005	13	2.3821694E-001	9.0346556E+000	9.053799771274499E+000	-3.9551419E-006	2.8413931E-006	-6.7965352E-006	-5.6980848E-001	2.7799996E+004	1.9971650E+004	4.7771648E+004
2	1	0	1	0	2.295385242766897E+003	-3.2600057E-001	-3.2660186E-001	1.208329757043559E-002	1.000000000000000E+000	9.7227021E-005	13	2.3244490E-001	9.0346556E+000	9.303799764958967E+000	-3.9464276E-006	2.8087009E-006	-6.7551282E-006	-5.5904675E-001	2.7029199E+004	1.9236877E+004	4.6266074E+004
2	1	0	1	0	2.295635242760582E+003	-3.2100052E-001	-3.2157949E-001	1.224901826817033E-002	1.000000000000000E+000	1.0052052E-004	13	2.2662838E-001	9.0346556E+000	9.553799758643436E+000	-3.9390329E-006	2.7759752E-006	-6.7150081E-006	-5.4820788E-001	2.6253490E+004	1.8501758E+004	4.4755250E+004
2	1	0	1	0	2.295885242754266E+003	-3.1600055E-001	-3.1658414E-001	1.242497875802631E-002	1.000000000000000E+000	1.0385394E-004	13	2.2078888E-001	9.0346556E+000	9.803799752327904E+000	-3.9335514E-006	2.7432970E-006	-6.6768484E-006	-5.3737301E-001	2.5479652E+004	1.7769760E+004	4.3249410E+004
2	1	0	1	0	2.296135242747950E+003	-3.1100053E-001	-3.1159675E-001	1.257504608983426E-002	1.000000000000000E+000	1.0722638E-004	13	2.1492560E-001	9.0346556E+000	1.005379974601237E+001	-3.9183433E-006	2.7026992E-006	-6.6210428E-006	-5.2652234E-001	2.4778975E+004	1.7091438E+004	4.1870410E+004
2	1	0	1	0	2.296385242741635E+003	-3.0600053E-001	-3.0658203E-001	1.273688579732121E-002	1.000000000000000E+000	1.1063911E-004	13	2.0902023E-001	9.0346556E+000	1.030379973969684E+001	-3.9049005E-006	2.6622668E-006	-6.5671670E-006	-5.1560223E-001	2.4070408E+004	1.6410623E+004	4.0481031E+004
2	1	0	1	0	2.296635242735319E+003	-3.0100051E-001	-3.0158657E-001	1.287754856566373E-002	1.000000000000000E+000	1.1408918E-004	13	2.0308015E-001	9.0346556E+000	1.055379973338131E+001	-3.8836956E-006	2.6151745E-006	-6.4988703E-006	-5.0466669E-001	2.3419564E+004	1.5770094E+004	3.9189656E+004
2	1	0	1	0	2.296885242729004E+003	-2.9600051E-001	-2.9659256E-001	1.305155260575504E-002	1.000000000000000E+000	1.1757736E-004	13	1.9711180E-001	9.0346556E+000	1.080379972706578E+001	-3.8709936E-006	2.5726151E-006	-6.4436085E-006	-4.9370438E-001	2.2724695E+004	1.5102556E+004	3.7827250E+004
