EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.715              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.185               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102463684519520E+003	-7.1499747E-001	-7.1569729E-001	-3.949249628931284E-003	1.000000000000000E+000	0.0000000E+000	14	4.0767324E-001	9.1008739E+000	0.000000000000000E+000	2.8264672E-006	-1.1233705E+000
2	1	0	1	0	5.102491184519189E+003	-7.1444768E-001	-7.1497422E-001	5.793256884502357E-003	1.000000000000000E+000	1.2968121E-007	14	4.0680423E-001	9.1008720E+000	0.000000000000000E+000	-4.1420294E-006	-1.1217785E+000
2	1	0	1	0	5.102541184518588E+003	-7.1344769E-001	-7.1400958E-001	6.566765344123954E-003	1.000000000000000E+000	4.4717137E-007	14	4.0561989E-001	9.1008720E+000	4.999999939900590E-002	-4.6887335E-006	-1.1196295E+000
2	1	0	1	0	5.102591184517980E+003	-7.1244770E-001	-7.1302855E-001	6.630499683389537E-003	1.000000000000000E+000	7.8047435E-007	14	4.0445328E-001	9.1008720E+000	9.999999879073584E-002	-4.7277354E-006	-1.1174818E+000
2	1	0	1	0	5.102641184517372E+003	-7.1144766E-001	-7.1197128E-001	6.840134479312436E-003	1.000000000000000E+000	1.1201801E-006	14	4.0327212E-001	9.1008720E+000	1.499999981824658E-001	-4.8699794E-006	-1.1152434E+000
2	1	0	1	0	5.102691184516763E+003	-7.1044767E-001	-7.1100420E-001	6.995065061211656E-003	1.000000000000000E+000	1.4678834E-006	14	4.0208545E-001	9.1008720E+000	1.999999975741957E-001	-4.9735208E-006	-1.1130897E+000
2	1	0	1	0	5.102741184516162E+003	-7.0944774E-001	-7.0996273E-001	6.953689498240434E-003	1.000000000000000E+000	1.8199091E-006	14	4.0089947E-001	9.1008720E+000	2.499999969732016E-001	-4.9368605E-006	-1.1108623E+000
2	1	0	1	0	5.102791184515561E+003	-7.0844769E-001	-7.0901686E-001	7.222573490623690E-003	1.000000000000000E+000	2.1771016E-006	14	3.9969671E-001	9.1008720E+000	2.999999963722075E-001	-5.1209263E-006	-1.1087136E+000
2	1	0	1	0	5.102841184514953E+003	-7.0744765E-001	-7.0804334E-001	7.127627270097893E-003	1.000000000000000E+000	2.5368454E-006	14	3.9851487E-001	9.1008720E+000	3.499999957639375E-001	-5.0466688E-006	-1.1065582E+000
2	1	0	1	0	5.102891184514345E+003	-7.0644772E-001	-7.0697546E-001	7.145998314997432E-003	1.000000000000000E+000	2.8975567E-006	14	3.9731264E-001	9.1008720E+000	3.999999951556674E-001	-5.0520453E-006	-1.1042881E+000
