EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.715              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.185               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102647884530685E+003	-7.1502858E-001	-7.1535236E-001	-2.638125792145729E-003	1.000000000000000E+000	0.0000000E+000	14	3.7167314E-001	1.4038215E+001	0.000000000000000E+000	1.8871895E-006	-1.0870255E+000
2	1	0	1	0	5.102675484530366E+003	-7.1447325E-001	-7.1476871E-001	4.385948623543004E-003	1.000000000000000E+000	1.0075915E-007	14	3.7098590E-001	1.4038212E+001	0.000000000000000E+000	-3.1349389E-006	-1.0857546E+000
2	1	0	1	0	5.102725684529731E+003	-7.1346927E-001	-7.1379548E-001	5.313245456855062E-003	1.000000000000000E+000	3.5363425E-007	14	3.7005416E-001	1.4038212E+001	5.019999936484965E-002	-3.7925706E-006	-1.0838497E+000
2	1	0	1	0	5.102775984529144E+003	-7.1246344E-001	-7.1282423E-001	5.653606729611245E-003	1.000000000000000E+000	6.3397619E-007	14	3.6911047E-001	1.4038212E+001	1.004999987781048E-001	-4.0300279E-006	-1.0819347E+000
2	1	0	1	0	5.102826184528516E+003	-7.1145880E-001	-7.1179360E-001	6.302295978659667E-003	1.000000000000000E+000	9.3660054E-007	14	3.6816424E-001	1.4038212E+001	1.506999981502304E-001	-4.4859339E-006	-1.0799578E+000
2	1	0	1	0	5.102876384527903E+003	-7.1045566E-001	-7.1078688E-001	6.028276779957209E-003	1.000000000000000E+000	1.2522964E-006	14	3.6717665E-001	1.4038212E+001	2.008999975369079E-001	-4.2848201E-006	-1.0779636E+000
2	1	0	1	0	5.102926884527289E+003	-7.0944589E-001	-7.0979685E-001	6.000053068635235E-003	1.000000000000000E+000	1.5592645E-006	14	3.6630675E-001	1.4038213E+001	2.513999969232827E-001	-4.2588185E-006	-1.0761036E+000
2	1	0	1	0	5.102977284526714E+003	-7.0843720E-001	-7.0875216E-001	6.008116774095310E-003	1.000000000000000E+000	1.8641927E-006	14	3.6542004E-001	1.4038212E+001	3.017999963485636E-001	-4.2582656E-006	-1.0741723E+000
2	1	0	1	0	5.103027584526077E+003	-7.0743144E-001	-7.0778388E-001	6.036776410609901E-003	1.000000000000000E+000	2.1715509E-006	14	3.6454093E-001	1.4038212E+001	3.520999957108870E-001	-4.2727329E-006	-1.0723248E+000
2	1	0	1	0	5.103077784525478E+003	-7.0642680E-001	-7.0677805E-001	6.150922958450239E-003	1.000000000000000E+000	2.4813282E-006	14	3.6365816E-001	1.4038212E+001	4.022999951121164E-001	-4.3473374E-006	-1.0704362E+000
2	1	0	1	0	5.103127984524865E+003	-7.0542300E-001	-7.0578057E-001	6.122570705891589E-003	1.000000000000000E+000	2.7940209E-006	14	3.6279613E-001	1.4038212E+001	4.524999944987940E-001	-4.3211912E-006	-1.0685767E+000
2	1	0	1	0	5.103178184524251E+003	-7.0441943E-001	-7.0474297E-001	6.192183864339396E-003	1.000000000000000E+000	3.1083421E-006	14	3.6191905E-001	1.4038212E+001	5.026999938854715E-001	-4.3638979E-006	-1.0666621E+000
2	1	0	1	0	5.103228584523662E+003	-7.0341164E-001	-7.0372885E-001	6.222836114731151E-003	1.000000000000000E+000	3.4246036E-006	14	3.6104384E-001	1.4038210E+001	5.530999932962004E-001	-4.3791892E-006	-1.0647727E+000
2	1	0	1	0	5.103278884523039E+003	-7.0240533E-001	-7.0273548E-001	6.187265887325905E-003	1.000000000000000E+000	3.7410705E-006	14	3.6017752E-001	1.4038212E+001	6.033999926730758E-001	-4.3480113E-006	-1.0629129E+000
2	1	0	1	0	5.103329184522445E+003	-7.0139974E-001	-7.0173395E-001	6.243440285761768E-003	1.000000000000000E+000	4.0579716E-006	14	3.5933557E-001	1.4038210E+001	6.536999920790549E-001	-4.3812338E-006	-1.0610695E+000
2	1	0	1	0	5.103379584521841E+003	-7.0039171E-001	-7.0076537E-001	6.272533828469741E-003	1.000000000000000E+000	4.3764398E-006	14	3.5845843E-001	1.4038210E+001	7.040999914752319E-001	-4.3955747E-006	-1.0592238E+000
2	1	0	1	0	5.103429884521232E+003	-6.9938534E-001	-6.9968814E-001	6.258478754319348E-003	1.000000000000000E+000	4.6959226E-006	14	3.5760167E-001	1.4038212E+001	7.543999908666592E-001	-4.3789832E-006	-1.0572898E+000
2	1	0	1	0	5.103480084520597E+003	-6.9838130E-001	-6.9871473E-001	6.407546118557955E-003	1.000000000000000E+000	5.0175950E-006	14	3.5673669E-001	1.4038212E+001	8.045999902315089E-001	-4.4770468E-006	-1.0554514E+000
2	1	0	1	0	5.103530584520006E+003	-6.9737190E-001	-6.9770902E-001	6.291465871751618E-003	1.000000000000000E+000	5.3424478E-006	14	3.5587955E-001	1.4038212E+001	8.550999896397116E-001	-4.3896125E-006	-1.0535886E+000
2	1	0	1	0	5.103580884519382E+003	-6.9636506E-001	-6.9666541E-001	6.335423477472207E-003	1.000000000000000E+000	5.6640124E-006	14	3.5501355E-001	1.4038213E+001	9.053999890165869E-001	-4.4136705E-006	-1.0516789E+000
2	1	0	1	0	5.103631084518798E+003	-6.9536132E-001	-6.9570613E-001	6.882252762759722E-003	1.000000000000000E+000	6.0043199E-006	14	3.5408300E-001	1.4038212E+001	9.555999884323683E-001	-4.7880253E-006	-1.0497892E+000
2	1	0	1	0	5.103681284518156E+003	-6.9435728E-001	-6.9470203E-001	6.405364972017824E-003	1.000000000000000E+000	6.3395355E-006	14	3.5324419E-001	1.4038212E+001	1.005799987789942E+000	-4.4498202E-006	-1.0479462E+000
2	1	0	1	0	5.103731484517557E+003	-6.9335312E-001	-6.9370776E-001	6.440146375141209E-003	1.000000000000000E+000	6.6654429E-006	14	3.5236600E-001	1.4038213E+001	1.055999987191171E+000	-4.4675794E-006	-1.0460738E+000
2	1	0	1	0	5.103781684516951E+003	-6.9234931E-001	-6.9269097E-001	6.485207351225861E-003	1.000000000000000E+000	6.9923030E-006	14	3.5150382E-001	1.4038212E+001	1.106199986585125E+000	-4.4922444E-006	-1.0441948E+000
2	1	0	1	0	5.103831984516335E+003	-6.9134367E-001	-6.9167387E-001	6.391902961655375E-003	1.000000000000000E+000	7.3202973E-006	14	3.5065454E-001	1.4038210E+001	1.156499985969276E+000	-4.4211124E-006	-1.0423284E+000
2	1	0	1	0	5.103882284515734E+003	-6.9033730E-001	-6.9067478E-001	6.515269425188125E-003	1.000000000000000E+000	7.6488404E-006	14	3.4981182E-001	1.4038212E+001	1.206799985367979E+000	-4.4999324E-006	-1.0404866E+000
2	1	0	1	0	5.103932684515123E+003	-6.8932950E-001	-6.8965995E-001	6.376255386838302E-003	1.000000000000000E+000	7.9764159E-006	14	3.4897366E-001	1.4038212E+001	1.257199984756880E+000	-4.3974478E-006	-1.0386336E+000
2	1	0	1	0	5.103982884514517E+003	-6.8832529E-001	-6.8865645E-001	6.405432680283093E-003	1.000000000000000E+000	8.3012928E-006	14	3.4813172E-001	1.4038212E+001	1.307399984150834E+000	-4.4111425E-006	-1.0367882E+000
2	1	0	1	0	5.104033084513903E+003	-6.8732131E-001	-6.8761641E-001	6.559605498688878E-003	1.000000000000000E+000	8.6302653E-006	14	3.4728405E-001	1.4038212E+001	1.357599983537511E+000	-4.5104925E-006	-1.0349004E+000
