EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927609526218221E+003	-4.1497591E-001	-4.1557199E-001	4.799525195267051E-004	1.000000000000000E+000	0.0000000E+000	14	-6.5996331E-001	6.1816754E+000	0.000000000000000E+000	-1.9945482E-007	2.4439132E-001
2	1	0	1	0	2.928709626190437E+003	-4.1442591E-001	-4.1510114E-001	6.048869806957831E-004	1.000000000000000E+000	8.0066707E-007	14	-6.5989035E-001	6.1816735E+000	0.000000000000000E+000	-2.5108929E-007	2.4478921E-001
2	1	0	1	0	2.930709826139908E+003	-4.1342586E-001	-4.1413608E-001	6.314508788999758E-004	1.000000000000000E+000	2.2862539E-006	14	-6.5940326E-001	6.1816735E+000	2.000199949470698E+000	-2.6150659E-007	2.4526718E-001
2	1	0	0	0	2.932709926089374E+003	-4.1242579E-001	-4.1311899E-001	6.548771469924875E-004	1.000000000000000E+000	3.8202179E-006	14	-6.5901339E-001	6.1816740E+000	4.000299898936646E+000	-2.7054219E-007	2.4589440E-001
2	1	0	1	0	2.934710226038842E+003	-4.1142565E-001	-4.1210496E-001	6.765916160771119E-004	1.000000000000000E+000	5.4000029E-006	14	-6.5865356E-001	6.1816735E+000	6.000599848404818E+000	-2.7882678E-007	2.4654859E-001
2	1	0	1	0	2.936710225988318E+003	-4.1042563E-001	-4.1105831E-001	6.993722315188251E-004	1.000000000000000E+000	7.0265723E-006	14	-6.5833718E-001	6.1816735E+000	8.000599797880568E+000	-2.8748278E-007	2.4727887E-001
2	0	0	1	0	2.938710425937788E+003	-4.0942553E-001	-4.1007197E-001	7.219884160380632E-004	1.000000000000000E+000	8.6942100E-006	14	-6.5808392E-001	6.1816735E+000	1.000079974735127E+001	-2.9606721E-007	2.4801195E-001
2	0	0	1	0	2.940710625887259E+003	-4.0842542E-001	-4.0905803E-001	7.426963128806148E-004	1.000000000000000E+000	1.0405985E-005	14	-6.5789855E-001	6.1816740E+000	1.200099969682196E+001	-3.0380590E-007	2.4884051E-001
2	0	0	1	0	2.942710825836737E+003	-4.0742534E-001	-4.0810880E-001	7.656190403583882E-004	1.000000000000000E+000	1.2160625E-005	14	-6.5775555E-001	6.1816735E+000	1.400119964629994E+001	-3.1245588E-007	2.4964675E-001
2	0	0	1	0	2.944711025786208E+003	-4.0642521E-001	-4.0699092E-001	7.872616718661001E-004	1.000000000000000E+000	1.3960542E-005	14	-6.5761256E-001	6.1816735E+000	1.600139959577064E+001	-3.2040836E-007	2.5062165E-001
2	1	0	1	0	2.946711225735671E+003	-4.0542516E-001	-4.0607136E-001	8.094828888580976E-004	1.000000000000000E+000	1.5805545E-005	14	-6.5753692E-001	6.1816735E+000	1.800159954523406E+001	-3.2870781E-007	2.5146556E-001
2	1	0	1	0	2.948711425685142E+003	-4.0442502E-001	-4.0505219E-001	8.320354844383333E-004	1.000000000000000E+000	1.7695465E-005	14	-6.5756083E-001	6.1816735E+000	2.000179949470476E+001	-3.3701778E-007	2.5250864E-001
2	1	0	1	0	2.950711625634613E+003	-4.0342495E-001	-4.0407011E-001	8.563908894877320E-004	1.000000000000000E+000	1.9629430E-005	14	-6.5761018E-001	6.1816735E+000	2.200199944417545E+001	-3.4604196E-007	2.5354007E-001
2	1	0	1	0	2.952711725584086E+003	-4.0242490E-001	-4.0309122E-001	8.785700931141279E-004	1.000000000000000E+000	2.1612059E-005	14	-6.5768939E-001	6.1816740E+000	2.400209939364868E+001	-3.5414388E-007	2.5459817E-001
