EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.515              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.385               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	0	0	2.534096536718644E+003	-5.1503825E-001	-5.1530135E-001	7.668537087738514E-003	1.000000000000000E+000	0.0000000E+000	10	5.3171152E-001	1.1050099E+001	0.000000000000000E+000	-3.9516076E-006	4.0774494E-006	-8.0290574E-006	-1.0470128E+000	6.7196828E+004	6.9336758E+004	1.3653358E+005
2	1	0	1	0	2.534254436714655E+003	-5.1187938E-001	-5.1234746E-001	1.765041008305052E-002	1.000000000000000E+000	2.9549515E-006	10	5.2525371E-001	1.1050088E+001	0.000000000000000E+000	-9.0431431E-006	9.2709433E-006	-1.8314086E-005	-1.0376012E+000	2.9027510E+004	2.9758727E+004	5.8786234E+004
2	1	0	1	0	2.534550036707187E+003	-5.0596720E-001	-5.0638551E-001	1.870969015493612E-002	1.000000000000000E+000	8.6501286E-006	12	5.1214266E-001	1.1050086E+001	2.955999925325159E-001	-9.4743154E-006	9.5820305E-006	-1.9056346E-005	-1.0185282E+000	2.7065414E+004	2.7373123E+004	5.4438539E+004
2	1	0	1	0	2.534815436700483E+003	-5.0065929E-001	-5.0110143E-001	1.916295641574116E-002	1.000000000000000E+000	1.3889074E-005	13	5.0028944E-001	1.1050086E+001	5.609999858279480E-001	-9.6025851E-006	9.5870246E-006	-1.9189609E-005	-1.0013909E+000	2.6149484E+004	2.6107111E+004	5.2256598E+004
2	1	0	1	0	2.535065636694162E+003	-4.9565503E-001	-4.9609071E-001	1.944998824584060E-002	1.000000000000000E+000	1.8921097E-005	13	4.8930475E-001	1.1050085E+001	8.111999795073644E-001	-9.6489584E-006	9.5169717E-006	-1.9165931E-005	-9.8539543E-001	2.5505965E+004	2.5157072E+004	5.0663035E+004
2	1	0	1	0	2.535315636687847E+003	-4.9065509E-001	-4.9108285E-001	1.960349519147864E-002	1.000000000000000E+000	2.4000950E-005	13	4.7851720E-001	1.1050085E+001	1.061199973191833E+000	-9.6269405E-006	9.3806093E-006	-1.9007550E-005	-9.6960008E-001	2.5050779E+004	2.4409791E+004	4.9460570E+004
2	1	0	1	0	2.535565636681531E+003	-4.8565504E-001	-4.8607320E-001	1.980667210937978E-002	1.000000000000000E+000	2.9127474E-005	13	4.6785349E-001	1.1050085E+001	1.311199966876302E+000	-9.6274925E-006	9.2666205E-006	-1.8894112E-005	-9.5392668E-001	2.4540881E+004	2.3621004E+004	4.8161887E+004
2	1	0	1	0	2.535815636675215E+003	-4.8065510E-001	-4.8109406E-001	1.993716376648308E-002	1.000000000000000E+000	3.4297405E-005	13	4.5726463E-001	1.1050085E+001	1.561199960560771E+000	-9.5916512E-006	9.1165602E-006	-1.8708211E-005	-9.3835866E-001	2.4130518E+004	2.2935289E+004	4.7065805E+004
2	1	0	1	0	2.536065636668900E+003	-4.7565502E-001	-4.7611028E-001	2.007221873433074E-002	1.000000000000000E+000	3.9500366E-005	13	4.4670036E-001	1.1050085E+001	1.811199954245239E+000	-9.5565892E-006	8.9662672E-006	-1.8522856E-005	-9.2281067E-001	2.3719863E+004	2.2254658E+004	4.5974520E+004
2	1	0	1	0	2.536315636662584E+003	-4.7065505E-001	-4.7109336E-001	2.017791041047909E-002	1.000000000000000E+000	4.4734858E-005	13	4.3622240E-001	1.1050085E+001	2.061199947929708E+000	-9.5056794E-006	8.8020570E-006	-1.8307735E-005	-9.0731573E-001	2.3346984E+004	2.1618811E+004	4.4965793E+004
