EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	9.677331829084185E+003	-4.1504186E-001	-4.1536453E-001	3.581640543416142E-003	1.000000000000000E+000	0.0000000E+000	14	-1.3192965E+000	1.0969805E+001	0.000000000000000E+000	-1.4876864E-006	9.0393198E-001
2	1	0	1	0	9.678431729070900E+003	-4.1449201E-001	-4.1485259E-001	3.823440265206072E-003	1.000000000000000E+000	4.5734537E-006	14	-1.3199804E+000	1.0969803E+001	0.000000000000000E+000	-1.5861641E-006	9.0512776E-001
2	1	0	1	0	9.680431429046657E+003	-4.1349211E-001	-4.1386649E-001	3.884605461588732E-003	1.000000000000000E+000	1.2982722E-005	14	-1.3211060E+000	1.0969801E+001	1.999699975756812E+000	-1.6077080E-006	9.0723944E-001
2	1	0	0	0	9.682431229022448E+003	-4.1249228E-001	-4.1289324E-001	3.932415870057410E-003	1.000000000000000E+000	2.1500477E-005	14	-1.3221095E+000	1.0969802E+001	3.999499951547477E+000	-1.6236679E-006	9.0921623E-001
2	1	0	0	0	9.684431228998234E+003	-4.1149229E-001	-4.1188589E-001	3.985214464593410E-003	1.000000000000000E+000	3.0130721E-005	14	-1.3230667E+000	1.0969802E+001	5.999499927333090E+000	-1.6414537E-006	9.1118085E-001
2	1	0	1	0	9.686430928974063E+003	-4.1049239E-001	-4.1083729E-001	4.041484579126675E-003	1.000000000000000E+000	3.8880291E-005	14	-1.3240116E+000	1.0969802E+001	7.999199903162662E+000	-1.6603926E-006	9.1317427E-001
2	1	0	1	0	9.688430528949844E+003	-4.0949264E-001	-4.0986302E-001	4.085166922344737E-003	1.000000000000000E+000	4.7733472E-005	14	-1.3248929E+000	1.0969802E+001	9.998799878943828E+000	-1.6743588E-006	9.1502988E-001
2	1	0	1	0	9.690430128925655E+003	-4.0849283E-001	-4.0884736E-001	4.135473625707648E-003	1.000000000000000E+000	5.6664041E-005	14	-1.3257556E+000	1.0969802E+001	1.199839985475410E+001	-1.6907775E-006	9.1690826E-001
2	1	0	0	0	9.692429628901402E+003	-4.0749308E-001	-4.0785193E-001	4.192043986834020E-003	1.000000000000000E+000	6.5703753E-005	14	-1.3265791E+000	1.0969802E+001	1.399789983050141E+001	-1.7097333E-006	9.1872716E-001
2	1	0	1	0	9.694429128877237E+003	-4.0649331E-001	-4.0681621E-001	4.240233908813837E-003	1.000000000000000E+000	7.4846103E-005	14	-1.3273851E+000	1.0969802E+001	1.599739980633603E+001	-1.7249959E-006	9.2056882E-001
2	1	0	1	0	9.696428728853003E+003	-4.0549356E-001	-4.0580800E-001	4.299127859136248E-003	1.000000000000000E+000	8.4097264E-005	14	-1.3281946E+000	1.0969803E+001	1.799699978210265E+001	-1.7446205E-006	9.2238665E-001
2	1	0	1	0	9.698428328828799E+003	-4.0449366E-001	-4.0484214E-001	4.353483444240497E-003	1.000000000000000E+000	9.3450224E-005	14	-1.3289760E+000	1.0969802E+001	1.999659975789837E+001	-1.7624735E-006	9.2413390E-001
2	1	0	1	0	9.700427928804595E+003	-4.0349391E-001	-4.0383396E-001	4.405387603739833E-003	1.000000000000000E+000	1.0291945E-004	14	-1.3297745E+000	1.0969803E+001	2.199619973369408E+001	-1.7790451E-006	9.2594051E-001
2	1	0	1	0	9.702427528780376E+003	-4.0249410E-001	-4.0284798E-001	4.464622830887499E-003	1.000000000000000E+000	1.1249747E-004	14	-1.3305612E+000	1.0969802E+001	2.399579970947525E+001	-1.7985643E-006	9.2771316E-001
2	1	0	1	0	9.704427128756128E+003	-4.0149435E-001	-4.0182918E-001	4.517659400329374E-003	1.000000000000000E+000	1.2218530E-004	14	-1.3313223E+000	1.0969803E+001	2.599539968522731E+001	-1.8153274E-006	9.2949313E-001
2	1	0	1	0	9.706426628731962E+003	-4.0049452E-001	-4.0091428E-001	4.577338983548715E-003	1.000000000000000E+000	1.3197452E-004	14	-1.3320887E+000	1.0969801E+001	2.799489966106194E+001	-1.8351205E-006	9.3117440E-001
2	1	0	1	0	9.708426228707714E+003	-3.9949477E-001	-3.9985520E-001	4.638835818645826E-003	1.000000000000000E+000	1.4189020E-004	14	-1.3328494E+000	1.0969802E+001	2.999449963681400E+001	-1.8548626E-006	9.3299419E-001
2	1	0	1	0	9.710425828683510E+003	-3.9849493E-001	-3.9886183E-001	4.690543044477719E-003	1.000000000000000E+000	1.5192427E-004	14	-1.3336054E+000	1.0969801E+001	3.199409961260972E+001	-1.8708786E-006	9.3474358E-001
2	1	0	1	0	9.712425428659306E+003	-3.9749515E-001	-3.9785573E-001	4.755901285445827E-003	1.000000000000000E+000	1.6208384E-004	14	-1.3343804E+000	1.0969802E+001	3.399369958840543E+001	-1.8921626E-006	9.3652463E-001
2	1	0	1	0	9.714425028635131E+003	-3.9649537E-001	-3.9688566E-001	4.812908526630452E-003	1.000000000000000E+000	1.7235734E-004	14	-1.3351241E+000	1.0969801E+001	3.599329956423026E+001	-1.9101744E-006	9.3823850E-001
2	1	0	1	0	9.716424628610883E+003	-3.9549553E-001	-3.9585203E-001	4.876384506493734E-003	1.000000000000000E+000	1.8275583E-004	14	-1.3358877E+000	1.0969801E+001	3.799289953998232E+001	-1.9303268E-006	9.4003564E-001
2	1	0	1	0	9.718424128586659E+003	-3.9449582E-001	-3.9484495E-001	4.936450252698801E-003	1.000000000000000E+000	1.9327640E-004	14	-1.3366395E+000	1.0969802E+001	3.999239951575873E+001	-1.9491324E-006	9.4179457E-001
2	1	0	1	0	9.720423728562462E+003	-3.9349601E-001	-3.9385793E-001	5.001428762879623E-003	1.000000000000000E+000	2.0392227E-004	14	-1.3373849E+000	1.0969802E+001	4.199199949156173E+001	-1.9698523E-006	9.4352698E-001
