EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	2.927392126209525E+003	-4.1501537E-001	-4.1560382E-001	9.894008981063962E-004	1.000000000000000E+000	0.0000000E+000	14	-9.7517806E-001	1.1162163E+001	0.000000000000000E+000	-4.1119878E-007	5.5957425E-001
2	1	0	1	0	2.928492226181734E+003	-4.1446546E-001	-4.1503546E-001	9.800762425889280E-004	1.000000000000000E+000	1.5074676E-006	14	-9.7556114E-001	1.1162159E+001	0.000000000000000E+000	-4.0676639E-007	5.6052566E-001
2	1	0	1	0	2.930492226131209E+003	-4.1346547E-001	-4.1400898E-001	1.003785067203371E-003	1.000000000000000E+000	4.2771790E-006	14	-9.7615719E-001	1.1162161E+001	1.999999949475750E+000	-4.1557604E-007	5.6214821E-001
2	1	0	1	0	2.932491926080693E+003	-4.1246557E-001	-4.1300696E-001	1.037547843132182E-003	1.000000000000000E+000	7.1025015E-006	14	-9.7679883E-001	1.1162160E+001	3.999699898959079E+000	-4.2851448E-007	5.6379187E-001
2	1	0	1	0	2.934491626030176E+003	-4.1146579E-001	-4.1205603E-001	1.066846094653488E-003	1.000000000000000E+000	9.9862000E-006	14	-9.7745395E-001	1.1162161E+001	5.999399848442408E+000	-4.3960037E-007	5.6539792E-001
2	1	0	1	0	2.936491125979665E+003	-4.1046599E-001	-4.1104236E-001	1.096560798150334E-003	1.000000000000000E+000	1.2937700E-005	14	-9.7815996E-001	1.1162160E+001	7.998899797930790E+000	-4.5073295E-007	5.6711757E-001
2	1	0	1	0	2.938490725929150E+003	-4.0946615E-001	-4.0997893E-001	1.129901453602346E-003	1.000000000000000E+000	1.5945274E-005	14	-9.7886002E-001	1.1162160E+001	9.998499747416645E+000	-4.6323578E-007	5.6888109E-001
2	1	0	1	0	2.940490325878651E+003	-4.0846637E-001	-4.0902263E-001	1.162749099423013E-003	1.000000000000000E+000	1.9019484E-005	14	-9.7965682E-001	1.1162160E+001	1.199809969691705E+001	-4.7559070E-007	5.7063419E-001
2	1	0	1	0	2.942489925828122E+003	-4.0746653E-001	-4.0803772E-001	1.204452259244674E-003	1.000000000000000E+000	2.2161952E-005	14	-9.8054540E-001	1.1162160E+001	1.399769964638836E+001	-4.9146195E-007	5.7250768E-001
2	1	0	1	0	2.944489525777622E+003	-4.0646678E-001	-4.0707082E-001	1.235996717333005E-003	1.000000000000000E+000	2.5372345E-005	14	-9.8140872E-001	1.1162160E+001	1.599729959588876E+001	-5.0313821E-007	5.7433790E-001
2	1	0	1	0	2.946488925727099E+003	-4.0546706E-001	-4.0607116E-001	1.263484463826825E-003	1.000000000000000E+000	2.8644725E-005	14	-9.8230392E-001	1.1162160E+001	1.799669954536512E+001	-5.1306461E-007	5.7623279E-001
2	1	0	1	0	2.948488525676585E+003	-4.0446725E-001	-4.0504375E-001	1.298434561328908E-003	1.000000000000000E+000	3.1975767E-005	14	-9.8322201E-001	1.1162160E+001	1.999629949485097E+001	-5.2592281E-007	5.7817829E-001
2	1	0	1	0	2.950488125626071E+003	-4.0346751E-001	-4.0407047E-001	1.324256578280728E-003	1.000000000000000E+000	3.5360761E-005	14	-9.8421520E-001	1.1162160E+001	2.199589944433683E+001	-5.3509297E-007	5.8014476E-001
2	1	0	1	0	2.952487825575554E+003	-4.0246764E-001	-4.0308547E-001	1.348317979103307E-003	1.000000000000000E+000	3.8814240E-005	14	-9.8531991E-001	1.1162161E+001	2.399559939382016E+001	-5.4348737E-007	5.8223444E-001
2	1	0	1	0	2.954487825525030E+003	-4.0146759E-001	-4.0204415E-001	1.385008712048511E-003	1.000000000000000E+000	4.2332082E-005	14	-9.8645675E-001	1.1162160E+001	2.599559934329591E+001	-5.5683466E-007	5.8441257E-001
2	1	0	1	0	2.956487925474503E+003	-4.0046757E-001	-4.0110457E-001	1.419395847787615E-003	1.000000000000000E+000	4.5909434E-005	14	-9.8766333E-001	1.1162162E+001	2.799569929276913E+001	-5.6932618E-007	5.8655876E-001
2	1	0	1	0	2.958488025423976E+003	-3.9946747E-001	-4.0008005E-001	1.443797703564604E-003	1.000000000000000E+000	4.9542163E-005	14	-9.8868650E-001	1.1162160E+001	2.999579924224236E+001	-5.7763464E-007	5.8860648E-001
2	1	0	1	0	2.960488225373447E+003	-3.9846739E-001	-3.9908847E-001	1.478477553392921E-003	1.000000000000000E+000	5.3250667E-005	14	-9.8978359E-001	1.1162159E+001	3.199599919171305E+001	-5.9004333E-007	5.9069514E-001
2	1	0	1	0	2.962488525322915E+003	-3.9746726E-001	-3.9800668E-001	1.509549628693513E-003	1.000000000000000E+000	5.7023368E-005	14	-9.9104369E-001	1.1162160E+001	3.399629914118123E+001	-6.0081084E-007	5.9303701E-001
2	1	0	1	0	2.964488825272383E+003	-3.9646712E-001	-3.9702773E-001	1.546252242431049E-003	1.000000000000000E+000	6.0854709E-005	14	-9.9227655E-001	1.1162160E+001	3.599659909064940E+001	-6.1390500E-007	5.9524882E-001
2	1	0	1	0	2.966489025221854E+003	-3.9546698E-001	-3.9607960E-001	1.579820859457669E-003	1.000000000000000E+000	6.4746746E-005	14	-9.9362522E-001	1.1162160E+001	3.799679904012010E+001	-6.2573480E-007	5.9754562E-001
2	1	0	1	0	2.968489225171325E+003	-3.9446691E-001	-3.9500949E-001	1.608943991265113E-003	1.000000000000000E+000	6.8711262E-005	14	-9.9500132E-001	1.1162160E+001	3.999699898959079E+001	-6.3554813E-007	5.9999180E-001
2	1	0	1	0	2.970489625120790E+003	-3.9346671E-001	-3.9404541E-001	1.641335257590200E-003	1.000000000000000E+000	7.2739807E-005	14	-9.9640530E-001	1.1162159E+001	4.199739893905644E+001	-6.4676061E-007	6.0235989E-001
2	1	0	1	0	2.972489825070268E+003	-3.9246660E-001	-3.9306334E-001	1.675309007649416E-003	1.000000000000000E+000	7.6832126E-005	14	-9.9788010E-001	1.1162160E+001	4.399759888853441E+001	-6.5850253E-007	6.0481679E-001
