EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.440              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	9.677507029111628E+003	-4.1500130E-001	-4.1562793E-001	5.680870730429888E-003	1.000000000000000E+000	0.0000000E+000	14	-1.2959262E+000	1.1162163E+001	0.000000000000000E+000	-2.3611285E-006	8.8029826E-001
2	1	0	1	0	9.678606729098363E+003	-4.1445163E-001	-4.1501209E-001	6.447807320208963E-003	1.000000000000000E+000	7.4828095E-006	14	-1.2967646E+000	1.1162161E+001	0.000000000000000E+000	-2.6759180E-006	8.8175249E-001
2	1	0	1	0	9.680606329074100E+003	-4.1345188E-001	-4.1404206E-001	6.538712724995843E-003	1.000000000000000E+000	2.1201577E-005	14	-1.2976019E+000	1.1162161E+001	1.999599975737510E+000	-2.7073020E-006	8.8355988E-001
2	1	0	1	0	9.682605929049896E+003	-4.1245201E-001	-4.1301677E-001	6.619636631473289E-003	1.000000000000000E+000	3.5087578E-005	14	-1.2981377E+000	1.1162161E+001	3.999199951533228E+000	-2.7340209E-006	8.8512087E-001
2	1	0	1	0	9.684605529025721E+003	-4.1145226E-001	-4.1203183E-001	6.698158890748790E-003	1.000000000000000E+000	4.9136241E-005	14	-1.2988238E+000	1.1162161E+001	5.998799927358050E+000	-2.7598546E-006	8.8679200E-001
2	1	0	1	0	9.686605029001512E+003	-4.1045249E-001	-4.1096842E-001	6.780994363113912E-003	1.000000000000000E+000	6.3351894E-005	14	-1.2994841E+000	1.1162160E+001	7.998299903149018E+000	-2.7867745E-006	8.8851571E-001
2	1	0	1	0	9.688604628977308E+003	-4.0945268E-001	-4.0997186E-001	6.861232933103076E-003	1.000000000000000E+000	7.7719829E-005	14	-1.2999756E+000	1.1162160E+001	9.997899878944736E+000	-2.8129125E-006	8.9000380E-001
2	1	0	1	0	9.690604228953103E+003	-4.0845287E-001	-4.0899855E-001	6.942599044944379E-003	1.000000000000000E+000	9.2248032E-005	14	-1.3005610E+000	1.1162160E+001	1.199749985474045E+001	-2.8395129E-006	8.9156240E-001
2	1	0	1	0	9.692603828928841E+003	-4.0745306E-001	-4.0795848E-001	7.034234360547953E-003	1.000000000000000E+000	1.0694253E-004	14	-1.3011919E+000	1.1162160E+001	1.399709983047796E+001	-2.8696757E-006	8.9323342E-001
2	1	0	1	0	9.694603428904651E+003	-4.0645322E-001	-4.0699470E-001	7.115786725790565E-003	1.000000000000000E+000	1.2180869E-004	14	-1.3018177E+000	1.1162160E+001	1.599669980628823E+001	-2.8960874E-006	8.9482296E-001
