EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.515              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.385               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	2.438214339158512E+003	-5.1501489E-001	-5.1543009E-001	1.594066247344017E-002	1.000000000000000E+000	0.0000000E+000	10	2.3991601E-001	1.0695312E+001	0.000000000000000E+000	-8.2162969E-006	3.8244202E-006	-1.2040718E-005	-7.5534612E-001	3.2334295E+004	1.5050567E+004	4.7384863E+004
2	1	0	1	0	2.438371839154533E+003	-5.1186550E-001	-5.1228565E-001	1.607315856047337E-002	1.000000000000000E+000	2.7737628E-006	10	2.3058146E-001	1.0695292E+001	0.000000000000000E+000	-8.2340484E-006	3.7061725E-006	-1.1940221E-005	-7.4286711E-001	3.1872121E+004	1.4345747E+004	4.6217867E+004
2	1	0	1	0	2.438666839147088E+003	-5.0596577E-001	-5.0634950E-001	1.484599265608611E-002	1.000000000000000E+000	7.7197483E-006	12	2.1274562E-001	1.0695288E+001	2.949999925549491E-001	-7.5172611E-006	3.1584200E-006	-1.0675681E-005	-7.1909511E-001	3.4106813E+004	1.4330172E+004	4.8436984E+004
2	1	0	1	0	2.438931839140387E+003	-5.0066602E-001	-5.0104058E-001	1.538933327953732E-002	1.000000000000000E+000	1.1955344E-005	13	1.9711165E-001	1.0695291E+001	5.599999858532101E-001	-7.7106806E-006	3.0334170E-006	-1.0744097E-005	-6.9815224E-001	3.2557654E+004	1.2808329E+004	4.5365984E+004
2	1	0	1	0	2.439181839134071E+003	-4.9566627E-001	-4.9604258E-001	1.564176365627029E-002	1.000000000000000E+000	1.6046568E-005	13	1.8258929E-001	1.0695291E+001	8.099999795376788E-001	-7.7589812E-006	2.8560185E-006	-1.0614999E-005	-6.7863190E-001	3.1712701E+004	1.1673190E+004	4.3385891E+004
2	1	0	1	0	2.439431839127756E+003	-4.9066651E-001	-4.9104726E-001	1.584433438058394E-002	1.000000000000000E+000	2.0196272E-005	13	1.6833392E-001	1.0695291E+001	1.059999973222148E+000	-7.7803170E-006	2.6671389E-006	-1.0447456E-005	-6.5938115E-001	3.0991979E+004	1.0624234E+004	4.1616211E+004
2	1	0	1	0	2.439681839121440E+003	-4.8566672E-001	-4.8604286E-001	1.610873687337627E-002	1.000000000000000E+000	2.4406338E-005	13	1.5431634E-001	1.0695291E+001	1.309999966906616E+000	-7.8295361E-006	2.4858412E-006	-1.0315378E-005	-6.4035916E-001	3.0172623E+004	9.5796670E+003	3.9752289E+004
2	1	0	1	0	2.439931839115124E+003	-4.8066697E-001	-4.8104081E-001	1.630659287337682E-002	1.000000000000000E+000	2.8674758E-005	13	1.4053880E-001	1.0695291E+001	1.559999960591085E+000	-7.8441362E-006	2.2917091E-006	-1.0135846E-005	-6.2157959E-001	2.9499773E+004	8.6185264E+003	3.8118301E+004
2	1	0	1	0	2.440181839108809E+003	-4.7566727E-001	-4.7605348E-001	1.651608321315234E-002	1.000000000000000E+000	3.2992917E-005	13	1.2700005E-001	1.0695291E+001	1.809999954275554E+000	-7.8625390E-006	2.0975433E-006	-9.9600820E-006	-6.0305351E-001	2.8823631E+004	7.6894775E+003	3.6513109E+004
2	1	0	1	0	2.440431839102493E+003	-4.7066751E-001	-4.7105274E-001	1.668154506042890E-002	1.000000000000000E+000	3.7356847E-005	13	1.1366695E-001	1.0695291E+001	2.059999947960023E+000	-7.8578878E-006	1.8961404E-006	-9.7540278E-006	-5.8471966E-001	2.8237955E+004	6.8139341E+003	3.5051891E+004
2	1	0	1	0	2.440681839096178E+003	-4.6566778E-001	-4.6604306E-001	1.687253275086324E-002	1.000000000000000E+000	4.1767002E-005	13	1.0055289E-001	1.0695291E+001	2.309999941644492E+000	-7.8633266E-006	1.6965819E-006	-9.5599089E-006	-5.6659591E-001	2.7621404E+004	5.9595610E+003	3.3580965E+004
2	1	0	1	0	2.440931839089862E+003	-4.6066806E-001	-4.6102643E-001	1.709163687817539E-002	1.000000000000000E+000	4.6228026E-005	13	8.7669246E-002	1.0695291E+001	2.559999935328960E+000	-7.8796966E-006	1.4984109E-006	-9.3781073E-006	-5.4869568E-001	2.6973803E+004	5.1293652E+003	3.2103168E+004
