EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	2.927643326217876E+003	-4.1503242E-001	-4.1540411E-001	-2.781468792818487E-004	1.000000000000000E+000	0.0000000E+000	14	-5.2095562E-001	1.0619088E+001	0.000000000000000E+000	1.1554336E-007	1.0555151E-001
2	0	0	1	0	2.928743226190090E+003	-4.1448259E-001	-4.1480410E-001	-1.178448689603503E-004	1.000000000000000E+000	1.9647905E-007	14	-5.2104288E-001	1.0619087E+001	0.000000000000000E+000	4.8882534E-008	1.0623878E-001
2	0	0	1	0	2.930742926139574E+003	-4.1348273E-001	-4.1386259E-001	-8.136730774284981E-005	1.000000000000000E+000	6.0696181E-007	14	-5.2097803E-001	1.0619086E+001	1.999699949483329E+000	3.3674883E-008	1.0711545E-001
2	0	0	0	0	2.932742726089054E+003	-4.1248286E-001	-4.1287231E-001	-5.898263497194087E-005	1.000000000000000E+000	1.0729754E-006	14	-5.2082330E-001	1.0619087E+001	3.999499898964132E+000	2.4352296E-008	1.0795099E-001
2	0	0	0	0	2.934742726038530E+003	-4.1148281E-001	-4.1185433E-001	-3.669120487607232E-005	1.000000000000000E+000	1.5780259E-006	14	-5.2066046E-001	1.0619087E+001	5.999499848439882E+000	1.5111432E-008	1.0880613E-001
2	0	0	1	0	2.936742425988014E+003	-4.1048300E-001	-4.1081950E-001	-1.874322351455733E-005	1.000000000000000E+000	2.1446247E-006	14	-5.2050555E-001	1.0619087E+001	7.999199797923211E+000	7.7000815E-009	1.0968605E-001
2	0	0	1	0	2.938742025937499E+003	-4.0948319E-001	-4.0977523E-001	-1.968986969704192E-006	1.000000000000000E+000	2.7517431E-006	14	-5.2033061E-001	1.0619087E+001	9.998799747409066E+000	8.0684209E-010	1.1055538E-001
2	0	0	1	0	2.940741725886983E+003	-4.0848327E-001	-4.0881050E-001	2.262564955087172E-005	1.000000000000000E+000	3.4113370E-006	14	-5.2021080E-001	1.0619086E+001	1.199849969689240E+001	-9.2496029E-009	1.1140031E-001
2	0	0	1	0	2.942741225836471E+003	-4.0748358E-001	-4.0780994E-001	4.034067594056679E-005	1.000000000000000E+000	4.1177909E-006	14	-5.2007616E-001	1.0619087E+001	1.399799964638078E+001	-1.6451329E-008	1.1226621E-001
2	1	0	1	0	2.944740725785960E+003	-4.0648377E-001	-4.0676883E-001	4.897713984270454E-005	1.000000000000000E+000	4.8244019E-006	14	-5.1989478E-001	1.0619086E+001	1.599749959586916E+001	-1.9922373E-008	1.1312595E-001
2	1	0	1	0	2.946740525735455E+003	-4.0548390E-001	-4.0579978E-001	6.890448496273669E-005	1.000000000000000E+000	5.5650803E-006	14	-5.1973528E-001	1.0619087E+001	1.799729954536451E+001	-2.7961425E-008	1.1393550E-001
2	1	0	1	0	2.948740325684936E+003	-4.0448394E-001	-4.0481260E-001	8.748405724988526E-005	1.000000000000000E+000	6.3401517E-006	14	-5.1957595E-001	1.0619086E+001	1.999709949484532E+001	-3.5414651E-008	1.1476335E-001
2	1	0	1	0	2.950739925634407E+003	-4.0348420E-001	-4.0381175E-001	1.039697811726800E-004	1.000000000000000E+000	7.1588565E-006	14	-5.1945269E-001	1.0619086E+001	2.199669944431662E+001	-4.1984219E-008	1.1564094E-001
2	1	0	1	0	2.952739725583888E+003	-4.0248430E-001	-4.0282151E-001	1.297456590059116E-004	1.000000000000000E+000	8.0163090E-006	14	-5.1933724E-001	1.0619087E+001	2.399649939379742E+001	-5.2264344E-008	1.1651573E-001
2	1	0	1	0	2.954739425533371E+003	-4.0148446E-001	-4.0181321E-001	1.450391162738918E-004	1.000000000000000E+000	8.9103469E-006	14	-5.1923186E-001	1.0619087E+001	2.599619934328075E+001	-5.8278633E-008	1.1741865E-001
2	1	0	1	0	2.956739025482857E+003	-4.0048468E-001	-4.0082723E-001	1.670871174382412E-004	1.000000000000000E+000	9.8342443E-006	14	-5.1914865E-001	1.0619087E+001	2.799579929276661E+001	-6.6973065E-008	1.1832142E-001
2	1	0	1	0	2.958738625432350E+003	-3.9948484E-001	-3.9986879E-001	1.851874025585688E-004	1.000000000000000E+000	1.0803193E-005	14	-5.1907820E-001	1.0619087E+001	2.999539924225974E+001	-7.4050661E-008	1.1920941E-001
2	1	0	1	0	2.960738225381829E+003	-3.9848506E-001	-3.9882773E-001	2.052948985810842E-004	1.000000000000000E+000	1.1815536E-005	14	-5.1903999E-001	1.0619087E+001	3.199499919173832E+001	-8.1877296E-008	1.2021226E-001
2	1	0	1	0	2.962737925331319E+003	-3.9748520E-001	-3.9779398E-001	2.251962256214232E-004	1.000000000000000E+000	1.2873478E-005	14	-5.1903999E-001	1.0619086E+001	3.399469914122892E+001	-8.9581704E-008	1.2124601E-001
2	1	0	1	0	2.964737425280808E+003	-3.9648551E-001	-3.9686322E-001	2.448200909989330E-004	1.000000000000000E+000	1.3964569E-005	14	-5.1903456E-001	1.0619087E+001	3.599419909071730E+001	-9.7160090E-008	1.2217134E-001
2	1	0	1	0	2.966737025230286E+003	-3.9548564E-001	-3.9582315E-001	2.689266928276755E-004	1.000000000000000E+000	1.5099005E-005	14	-5.1906538E-001	1.0619087E+001	3.799379904019588E+001	-1.0644741E-007	1.2324223E-001
2	1	0	1	0	2.968736825179767E+003	-3.9448577E-001	-3.9480105E-001	2.882927808865671E-004	1.000000000000000E+000	1.6272032E-005	14	-5.1911026E-001	1.0619087E+001	3.999359898967668E+001	-1.1381830E-007	1.2430921E-001
2	1	0	0	0	2.970736725129245E+003	-3.9348581E-001	-3.9383402E-001	3.050658722333370E-004	1.000000000000000E+000	1.7483835E-005	14	-5.1917094E-001	1.0619087E+001	4.199349893915496E+001	-1.2014532E-007	1.2533692E-001
