EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.415              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.085               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.415              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.415              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	5.827938275733788E+003	-4.1503972E-001	-4.1530147E-001	8.522161515429616E-004	1.000000000000000E+000	0.0000000E+000	14	-6.3549715E-001	1.0619088E+001	0.000000000000000E+000	-3.5392662E-007	2.2019568E-001
2	1	0	1	0	5.829038075720477E+003	-4.1448990E-001	-4.1483930E-001	7.522112270369301E-004	1.000000000000000E+000	1.1517753E-006	14	-6.3598937E-001	1.0619086E+001	0.000000000000000E+000	-3.1204678E-007	2.2115007E-001
2	1	0	1	0	5.831037675696258E+003	-4.1349006E-001	-4.1387451E-001	7.956242300044278E-004	1.000000000000000E+000	3.3054419E-006	14	-6.3664907E-001	1.0619086E+001	1.999599975781166E+000	-3.2928858E-007	2.2277457E-001
2	1	0	1	0	5.833037175672056E+003	-4.1249040E-001	-4.1284940E-001	8.317927604272555E-004	1.000000000000000E+000	5.5310343E-006	14	-6.3724256E-001	1.0619087E+001	3.999099951579410E+000	-3.4340513E-007	2.2439316E-001
2	1	0	1	0	5.835036775647866E+003	-4.1149059E-001	-4.1185284E-001	8.654504789092589E-004	1.000000000000000E+000	7.8295761E-006	14	-6.3785297E-001	1.0619087E+001	5.998699927389680E+000	-3.5643822E-007	2.2600013E-001
2	1	0	1	0	5.837036375623633E+003	-4.1049078E-001	-4.1086796E-001	8.959575979429375E-004	1.000000000000000E+000	1.0207779E-005	14	-6.3850325E-001	1.0619087E+001	7.998299903156294E+000	-3.6812028E-007	2.2763529E-001
2	1	0	1	0	5.839035975599443E+003	-4.0949094E-001	-4.0981090E-001	9.266420608458111E-004	1.000000000000000E+000	1.2647962E-005	14	-6.3914776E-001	1.0619087E+001	9.997899878966564E+000	-3.7974803E-007	2.2933686E-001
2	1	0	1	0	5.841035675575222E+003	-4.0849113E-001	-4.0880051E-001	9.578557418598657E-004	1.000000000000000E+000	1.5131778E-005	14	-6.3981789E-001	1.0619087E+001	1.199759985474520E+001	-3.9157192E-007	2.3101738E-001
2	1	0	1	0	5.843035675551007E+003	-4.0749112E-001	-4.0782809E-001	9.837306710013278E-004	1.000000000000000E+000	1.7675162E-005	14	-6.4049798E-001	1.0619087E+001	1.399759983053082E+001	-4.0119301E-007	2.3266989E-001
2	1	0	1	0	5.845035575526796E+003	-4.0649119E-001	-4.0680063E-001	1.013841491164987E-003	1.000000000000000E+000	2.0280506E-005	14	-6.4121890E-001	1.0619087E+001	1.599749980631896E+001	-4.1243135E-007	2.3441827E-001
