EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.715              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.185               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.815              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.715              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	5.102280884508407E+003	-7.1501189E-001	-7.1530110E-001	-3.394141327589750E-003	1.000000000000000E+000	0.0000000E+000	14	3.3791515E-001	1.0680046E+001	0.000000000000000E+000	2.4278331E-006	-1.0532162E+000
2	0	0	1	0	5.102323384507894E+003	-7.1415812E-001	-7.1451187E-001	1.129218644616130E-002	1.000000000000000E+000	4.2346380E-007	14	3.3541808E-001	1.0680044E+001	0.000000000000000E+000	-8.0684013E-006	-1.0499300E+000
2	1	0	1	0	5.102388684507096E+003	-7.1285331E-001	-7.1319968E-001	1.495746533719657E-002	1.000000000000000E+000	1.2925510E-006	13	3.3101627E-001	1.0680043E+001	6.529999920167029E-002	-1.0667660E-005	-1.0442159E+000
2	1	0	1	0	5.102439084506477E+003	-7.1184456E-001	-7.1222925E-001	1.527141375917024E-002	1.000000000000000E+000	2.0990215E-006	13	3.2772711E-001	1.0680044E+001	1.156999985832954E-001	-1.0876747E-005	-1.0399563E+000
2	1	0	1	0	5.102489284505878E+003	-7.1084064E-001	-7.1118182E-001	1.577108736227473E-002	1.000000000000000E+000	2.9236830E-006	13	3.2441878E-001	1.0680044E+001	1.658999979845248E-001	-1.1216111E-005	-1.0356007E+000
2	1	0	1	0	5.102539484505272E+003	-7.0983642E-001	-7.1017540E-001	1.601228144805911E-002	1.000000000000000E+000	3.7662253E-006	13	3.2114890E-001	1.0680044E+001	2.160999973784783E-001	-1.1371529E-005	-1.0313243E+000
2	1	0	1	0	5.102589584504662E+003	-7.0883417E-001	-7.0918512E-001	1.611590508966598E-002	1.000000000000000E+000	4.6153978E-006	13	3.1786427E-001	1.0680044E+001	2.661999967676820E-001	-1.1429160E-005	-1.0270494E+000
2	1	0	1	0	5.102639684504058E+003	-7.0783263E-001	-7.0818645E-001	1.673598277504684E-002	1.000000000000000E+000	5.4838888E-006	13	3.1453201E-001	1.0680044E+001	3.162999961641617E-001	-1.1852197E-005	-1.0227184E+000
2	1	0	1	0	5.102689984503464E+003	-7.0682675E-001	-7.0721078E-001	1.715386055413223E-002	1.000000000000000E+000	6.3877178E-006	13	3.1097543E-001	1.0680043E+001	3.665999955701409E-001	-1.2131395E-005	-1.0181862E+000
2	1	0	1	0	5.102740284502841E+003	-7.0582062E-001	-7.0620495E-001	1.655525900444002E-002	1.000000000000000E+000	7.2782354E-006	13	3.0765730E-001	1.0680044E+001	4.168999949470162E-001	-1.1691406E-005	-1.0138623E+000
2	1	0	1	0	5.102790484502235E+003	-7.0481658E-001	-7.0518708E-001	1.686560921402688E-002	1.000000000000000E+000	8.1609478E-006	13	3.0433410E-001	1.0680044E+001	4.670999943409697E-001	-1.1893409E-005	-1.0095212E+000
2	1	0	1	0	5.102840884501624E+003	-7.0380926E-001	-7.0418417E-001	1.655110132070400E-002	1.000000000000000E+000	9.0456142E-006	13	3.0106050E-001	1.0680043E+001	5.174999937298708E-001	-1.1655024E-005	-1.0052447E+000
2	1	0	1	0	5.102891284501035E+003	-7.0280069E-001	-7.0312154E-001	1.668763967990483E-002	1.000000000000000E+000	9.9273466E-006	13	2.9777515E-001	1.0680044E+001	5.678999931405997E-001	-1.1733439E-005	-1.0008967E+000
2	1	0	1	0	5.102941484500407E+003	-7.0179665E-001	-7.0211768E-001	1.677316094540443E-002	1.000000000000000E+000	1.0810871E-005	13	2.9452938E-001	1.0680044E+001	6.180999925127253E-001	-1.1776733E-005	-9.9664706E-001
2	1	0	1	0	5.102991684499801E+003	-7.0079261E-001	-7.0114630E-001	1.673232048423903E-002	1.000000000000000E+000	1.1696314E-005	13	2.9125631E-001	1.0680044E+001	6.682999919066788E-001	-1.1731805E-005	-9.9240261E-001
2	1	0	1	0	5.103042084499190E+003	-6.9978482E-001	-7.0017886E-001	1.687849642570902E-002	1.000000000000000E+000	1.2586088E-005	13	2.8801334E-001	1.0680044E+001	7.186999912955798E-001	-1.1817966E-005	-9.8819220E-001
2	1	0	1	0	5.103092284498583E+003	-6.9878054E-001	-6.9908029E-001	1.702597176379082E-002	1.000000000000000E+000	1.3479126E-005	13	2.8479746E-001	1.0680044E+001	7.688999906895333E-001	-1.1902522E-005	-9.8387778E-001
2	1	0	1	0	5.103142384497973E+003	-6.9777817E-001	-6.9811088E-001	1.693603152590278E-002	1.000000000000000E+000	1.4374769E-005	13	2.8158042E-001	1.0680044E+001	8.189999900787370E-001	-1.1823227E-005	-9.7969127E-001
2	1	0	1	0	5.103192584497359E+003	-6.9677430E-001	-6.9710827E-001	1.711752766327390E-002	1.000000000000000E+000	1.5273707E-005	13	2.7837235E-001	1.0680044E+001	8.691999894654145E-001	-1.1932770E-005	-9.7548062E-001
2	1	0	1	0	5.103242684496763E+003	-6.9577253E-001	-6.9610929E-001	1.695336092048616E-002	1.000000000000000E+000	1.6169726E-005	13	2.7519882E-001	1.0680044E+001	9.192999888691702E-001	-1.1801392E-005	-9.7130811E-001
2	1	0	1	0	5.103292784496152E+003	-6.9477010E-001	-6.9516242E-001	1.704221607522215E-002	1.000000000000000E+000	1.7066186E-005	13	2.7199197E-001	1.0680044E+001	9.693999882583739E-001	-1.1847108E-005	-9.6715438E-001
2	1	0	1	0	5.103342884495563E+003	-6.9376856E-001	-6.9409478E-001	1.713334409450461E-002	1.000000000000000E+000	1.7966533E-005	13	2.6883847E-001	1.0680044E+001	1.019499987669406E+000	-1.1892164E-005	-9.6293324E-001
2	1	0	1	0	5.103392984494938E+003	-6.9276607E-001	-6.9310963E-001	1.708766397657902E-002	1.000000000000000E+000	1.8869418E-005	13	2.6567936E-001	1.0680044E+001	1.069599987044057E+000	-1.1843625E-005	-9.5878899E-001
2	1	0	1	0	5.103443184494347E+003	-6.9176275E-001	-6.9211131E-001	1.727785154114407E-002	1.000000000000000E+000	1.9777368E-005	13	2.6252186E-001	1.0680043E+001	1.119799986452563E+000	-1.1958196E-005	-9.5463318E-001
2	1	0	1	0	5.103493484493723E+003	-6.9075656E-001	-6.9109023E-001	1.720865978750397E-002	1.000000000000000E+000	2.0687112E-005	13	2.5939676E-001	1.0680044E+001	1.170099985829438E+000	-1.1892736E-005	-9.5048702E-001
