EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.802 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	0	0	3.463817913198509E+003	-5.2947003E-001	-5.3027093E-001	9.265807457268238E-003	1.000000000000000E+000	0.0000000E+000	11	2.3093702E-001	3.8229706E+000	0.000000000000000E+000	-4.9133882E-006	-7.6120794E-001
2	1	0	1	0	3.463975513194528E+003	-5.2632177E-001	-5.2708489E-001	1.157701925536618E-002	1.000000000000000E+000	2.2679594E-006	11	2.2293225E-001	3.8229625E+000	0.000000000000000E+000	-6.1020719E-006	-7.5001717E-001
2	1	0	1	0	3.464255613187452E+003	-5.2072001E-001	-5.2147508E-001	1.471231625451824E-002	1.000000000000000E+000	6.5264053E-006	13	2.0832525E-001	3.8229628E+000	2.800999929240788E-001	-7.6721062E-006	-7.2980034E-001
2	1	0	1	0	3.464505613181136E+003	-5.1571971E-001	-5.1646519E-001	1.525234521230456E-002	1.000000000000000E+000	1.0615006E-005	13	1.9539501E-001	3.8229628E+000	5.300999866085476E-001	-7.8773055E-006	-7.1186018E-001
2	1	0	1	0	3.464755613174821E+003	-5.1071948E-001	-5.1146895E-001	1.565389365566014E-002	1.000000000000000E+000	1.4817389E-005	13	1.8265492E-001	3.8229628E+000	7.800999802930164E-001	-8.0064801E-006	-6.9412386E-001
2	1	0	1	0	3.465005613168505E+003	-5.0571918E-001	-5.0647044E-001	1.590903647019074E-002	1.000000000000000E+000	1.9097615E-005	13	1.7020148E-001	3.8229628E+000	1.030099973977485E+000	-8.0574564E-006	-6.7667192E-001
2	1	0	1	0	3.465255613162190E+003	-5.0071889E-001	-5.0147039E-001	1.612283085903714E-002	1.000000000000000E+000	2.3435125E-005	13	1.5806277E-001	3.8229628E+000	1.280099967661954E+000	-8.0851223E-006	-6.5953314E-001
2	1	0	1	0	3.465505613155874E+003	-4.9571860E-001	-4.9647149E-001	1.630107249207735E-002	1.000000000000000E+000	2.7829396E-005	13	1.4634630E-001	3.8229628E+000	1.530099961346423E+000	-8.0930176E-006	-6.4281780E-001
2	1	0	1	0	3.465755613149558E+003	-4.9071726E-001	-4.9147478E-001	1.647189010780470E-002	1.000000000000000E+000	3.2269098E-005	13	1.3511467E-001	3.8229628E+000	1.780099955030892E+000	-8.0955188E-006	-6.2658942E-001
2	1	0	1	0	3.466005713143240E+003	-4.8571506E-001	-4.8648041E-001	1.663127217181481E-002	1.000000000000000E+000	3.6752430E-005	13	1.2440228E-001	3.8229628E+000	2.030199948712834E+000	-8.0907885E-006	-6.1088270E-001
2	1	0	1	0	3.466255813136922E+003	-4.8071250E-001	-4.8149616E-001	1.676836114124958E-002	1.000000000000000E+000	4.1274103E-005	13	1.1433800E-001	3.8229628E+000	2.280299942394777E+000	-8.0739010E-006	-5.9583414E-001
2	1	0	1	0	3.466505813130607E+003	-4.7571251E-001	-4.7647652E-001	1.695147086628623E-002	1.000000000000000E+000	4.5829027E-005	13	1.0491703E-001	3.8229628E+000	2.530299936079246E+000	-8.0769778E-006	-5.8139354E-001
2	1	0	1	0	3.466755813124291E+003	-4.7071248E-001	-4.7148445E-001	1.703748109688693E-002	1.000000000000000E+000	5.0418137E-005	13	9.6180134E-002	3.8229628E+000	2.780299929763714E+000	-8.0329073E-006	-5.6766456E-001
2	1	0	1	0	3.467005813117976E+003	-4.6571249E-001	-4.6647510E-001	1.716932189036308E-002	1.000000000000000E+000	5.5034790E-005	13	8.8097110E-002	3.8229628E+000	3.030299923448183E+000	-8.0090613E-006	-5.5457222E-001
2	1	0	1	0	3.467255813111660E+003	-4.6071249E-001	-4.6145138E-001	1.730240985226894E-002	1.000000000000000E+000	5.9680136E-005	13	8.0568992E-002	3.8229628E+000	3.280299917132652E+000	-7.9842212E-006	-5.4202038E-001
2	1	0	1	0	3.467505813105345E+003	-4.5571247E-001	-4.5648438E-001	1.737072870418831E-002	1.000000000000000E+000	6.4356856E-005	13	7.3553525E-002	3.8229628E+000	3.530299910817121E+000	-7.9294659E-006	-5.3003788E-001
2	1	0	1	0	3.467755813099029E+003	-4.5071250E-001	-4.5147493E-001	1.755128717556814E-002	1.000000000000000E+000	6.9060305E-005	13	6.6929452E-002	3.8229628E+000	3.780299904501589E+000	-7.9239662E-006	-5.1840436E-001
2	1	0	1	0	3.468005813092714E+003	-4.4571248E-001	-4.4646823E-001	1.761331521909137E-002	1.000000000000000E+000	7.3794145E-005	13	6.0607750E-002	3.8229628E+000	4.030299898186058E+000	-7.8637859E-006	-5.0707597E-001
2	1	0	1	0	3.468255813086398E+003	-4.4071251E-001	-4.4149017E-001	1.771052828142544E-002	1.000000000000000E+000	7.8549710E-005	13	5.4575425E-002	3.8229628E+000	4.280299891870527E+000	-7.8190242E-006	-4.9606559E-001
2	1	0	1	0	3.468505813080083E+003	-4.3571246E-001	-4.3645883E-001	1.785207654945065E-002	1.000000000000000E+000	8.3329898E-005	13	4.8736442E-002	3.8229628E+000	4.530299885554996E+000	-7.7916966E-006	-4.8519528E-001
2	1	0	1	0	3.468755813073767E+003	-4.3071249E-001	-4.3148205E-001	1.788125701207471E-002	1.000000000000000E+000	8.8131819E-005	13	4.3091007E-002	3.8229628E+000	4.780299879239465E+000	-7.7154418E-006	-4.7457305E-001
2	1	0	1	0	3.469005813067452E+003	-4.2571247E-001	-4.2649454E-001	1.797260601211315E-002	1.000000000000000E+000	9.2955939E-005	13	3.7621085E-002	3.8229628E+000	5.030299872923933E+000	-7.6652186E-006	-4.6411562E-001
2	1	0	1	0	3.469255813061136E+003	-4.2071250E-001	-4.2150697E-001	1.805316520138922E-002	1.000000000000000E+000	9.7798154E-005	13	3.2262459E-002	3.8229628E+000	5.280299866608402E+000	-7.6095348E-006	-4.5376945E-001
2	1	0	1	0	3.469505813054820E+003	-4.1571245E-001	-4.1649035E-001	1.813111130938538E-002	1.000000000000000E+000	1.0265874E-004	13	2.7060086E-002	3.8229628E+000	5.530299860292871E+000	-7.5514326E-006	-4.4355044E-001
2	1	0	1	0	3.469755813048505E+003	-4.1071248E-001	-4.1147530E-001	1.827414593378995E-002	1.000000000000000E+000	1.0755026E-004	13	2.1932932E-002	3.8229628E+000	5.780299853977340E+000	-7.5193598E-006	-4.3340823E-001
2	1	0	1	0	3.470005813042189E+003	-4.0571246E-001	-4.0649056E-001	1.828452440011974E-002	1.000000000000000E+000	1.1246119E-004	13	1.6939744E-002	3.8229628E+000	6.030299847661809E+000	-7.4324867E-006	-4.2343032E-001
2	1	0	1	0	3.470255813035874E+003	-4.0071249E-001	-4.0147814E-001	1.837430143614839E-002	1.000000000000000E+000	1.1738631E-004	13	1.2051141E-002	3.8229628E+000	6.280299841346277E+000	-7.3768806E-006	-4.1352928E-001
2	1	0	1	0	3.470505813029558E+003	-3.9571244E-001	-3.9646003E-001	1.841038417745855E-002	1.000000000000000E+000	1.2232957E-004	13	7.2332425E-003	3.8229628E+000	6.530299835030746E+000	-7.2989815E-006	-4.0369326E-001
2	1	0	1	0	3.470755813023243E+003	-3.9071247E-001	-3.9146310E-001	1.845647936740746E-002	1.000000000000000E+000	1.2728349E-004	13	2.5437239E-003	3.8229628E+000	6.780299828715215E+000	-7.2250305E-006	-3.9400682E-001
2	1	0	1	0	3.471005813016927E+003	-3.8571244E-001	-3.8647744E-001	1.853471167296900E-002	1.000000000000000E+000	1.3225076E-004	13	-2.0765667E-003	3.8229628E+000	7.030299822399684E+000	-7.1632480E-006	-3.8440087E-001
2	1	0	1	0	3.471255813010612E+003	-3.8071248E-001	-3.8148335E-001	1.856866985247446E-002	1.000000000000000E+000	1.3722622E-004	13	-6.6182702E-003	3.8229628E+000	7.280299816084153E+000	-7.0836381E-006	-3.7486508E-001
2	1	0	1	0	3.471505813004296E+003	-3.7571242E-001	-3.7647766E-001	1.865459432260019E-002	1.000000000000000E+000	1.4222089E-004	13	-1.1066590E-002	3.8229628E+000	7.530299809768621E+000	-7.0230381E-006	-3.6541107E-001
2	1	0	1	0	3.471755812997981E+003	-3.7071246E-001	-3.7149328E-001	1.873893682531343E-002	1.000000000000000E+000	1.4723481E-004	13	-1.5478856E-002	3.8229628E+000	7.780299803453090E+000	-6.9613893E-006	-3.5601443E-001
2	1	0	1	0	3.472005812991665E+003	-3.6571243E-001	-3.6647567E-001	1.875307667148335E-002	1.000000000000000E+000	1.5225844E-004	13	-1.9775858E-002	3.8229628E+000	8.030299797137559E+000	-6.8725462E-006	-3.4669980E-001
2	1	0	1	0	3.472255812985350E+003	-3.6071244E-001	-3.6146411E-001	1.882858102195623E-002	1.000000000000000E+000	1.5729923E-004	13	-2.4029184E-002	3.8229628E+000	8.280299790822028E+000	-6.8058562E-006	-3.3743492E-001
2	1	0	1	0	3.472505812979034E+003	-3.5571241E-001	-3.5646117E-001	1.884246372133130E-002	1.000000000000000E+000	1.6235231E-004	13	-2.8217740E-002	3.8229628E+000	8.530299784506497E+000	-6.7166065E-006	-3.2824343E-001
2	1	0	1	0	3.472755812972719E+003	-3.5071245E-001	-3.5149014E-001	1.891136061096077E-002	1.000000000000000E+000	1.6741321E-004	13	-3.2323975E-002	3.8229628E+000	8.780299778190965E+000	-6.6471566E-006	-3.1916615E-001
