EC-Lab ASCII FILE
Nb header lines : 58                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.430              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.070               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.430              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.430              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	1	0	2.926883926182345E+003	-4.3000033E-001	-4.3085581E-001	-1.488900044932961E-003	1.000000000000000E+000	0.0000000E+000	14	3.0777010E-001	3.7805626E+000	0.000000000000000E+000	6.4150123E-007	-7.3862588E-001
2	0	0	1	0	2.927983426154569E+003	-4.2945072E-001	-4.3029407E-001	-1.047279075297100E-003	1.000000000000000E+000	-8.0940737E-007	14	3.0691960E-001	3.7805617E+000	0.000000000000000E+000	4.5063797E-007	-7.3721367E-001
2	0	0	1	0	2.929982826104060E+003	-4.2845100E-001	-4.2926249E-001	-1.004143620547202E-003	1.000000000000000E+000	-2.2161069E-006	14	3.0544224E-001	3.7805617E+000	1.999399949490908E+000	4.3104120E-007	-7.3470473E-001
2	0	0	1	0	2.931982226053551E+003	-4.2745125E-001	-4.2830619E-001	-9.929324986401242E-004	1.000000000000000E+000	-3.5677265E-006	14	3.0410573E-001	3.7805617E+000	3.998799898981815E+000	4.2527913E-007	-7.3241192E-001
2	0	0	1	0	2.933981426003047E+003	-4.2645168E-001	-4.2721424E-001	-9.777985818038640E-004	1.000000000000000E+000	-4.8983929E-006	14	3.0284885E-001	3.7805617E+000	5.997999848477775E+000	4.1772947E-007	-7.3006308E-001
2	0	0	1	0	2.935980625952543E+003	-4.2545205E-001	-4.2624852E-001	-9.712268179346856E-004	1.000000000000000E+000	-6.2034401E-006	14	3.0170038E-001	3.7805617E+000	7.997199797973735E+000	4.1398400E-007	-7.2794890E-001
2	0	0	1	0	2.937980025902034E+003	-4.2445239E-001	-4.2527422E-001	-9.622559271520038E-004	1.000000000000000E+000	-7.4939803E-006	14	3.0063507E-001	3.7805617E+000	9.996599747464643E+000	4.0922265E-007	-7.2590929E-001
2	0	0	1	0	2.939979325851542E+003	-4.2345273E-001	-4.2421296E-001	-9.587249664713485E-004	1.000000000000000E+000	-8.7746666E-006	14	2.9959387E-001	3.7805617E+000	1.199589969697263E+001	4.0670355E-007	-7.2380686E-001
2	0	0	1	0	2.941978425801026E+003	-4.2245319E-001	-4.2321229E-001	-9.523730539586928E-004	1.000000000000000E+000	-1.0033496E-005	14	2.9867610E-001	3.7805617E+000	1.399499964645656E+001	4.0305599E-007	-7.2188842E-001
2	0	0	1	0	2.943977825750517E+003	-4.2145351E-001	-4.2223051E-001	-9.404882032203066E-004	1.000000000000000E+000	-1.1285368E-005	14	2.9777786E-001	3.7805617E+000	1.599439959594747E+001	3.9710281E-007	-7.2000837E-001
2	0	0	1	0	2.945976925700030E+003	-4.2045391E-001	-4.2125425E-001	-9.310812756630673E-004	1.000000000000000E+000	-1.2522218E-005	14	2.9690978E-001	3.7805617E+000	1.799349954546051E+001	3.9222195E-007	-7.1816403E-001
2	0	0	1	0	2.947976125649511E+003	-4.1945431E-001	-4.2025775E-001	-9.369394273062177E-004	1.000000000000000E+000	-1.3747018E-005	14	2.9610783E-001	3.7805612E+000	1.999269949494192E+001	3.9375604E-007	-7.1636558E-001
2	0	0	1	0	2.949975325599007E+003	-4.1845474E-001	-4.1920716E-001	-9.293378198573423E-004	1.000000000000000E+000	-1.4972112E-005	14	2.9530898E-001	3.7805617E+000	2.199189944443788E+001	3.8958507E-007	-7.1451616E-001
2	0	0	1	0	2.951974625548501E+003	-4.1745508E-001	-4.1824141E-001	-9.160388447409032E-004	1.000000000000000E+000	-1.6184697E-005	14	2.9457673E-001	3.7805617E+000	2.399119939393131E+001	3.8312538E-007	-7.1281815E-001
