EC-Lab ASCII FILE
Nb header lines : 58                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.430              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.070               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.430              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.430              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	9.627292829679544E+003	-4.3000033E-001	-4.3079853E-001	-5.890541069675237E-005	1.000000000000000E+000	0.0000000E+000	14	1.8472262E-001	3.7805626E+000	0.000000000000000E+000	2.5376364E-008	-6.1552113E-001
2	0	0	1	0	9.628392329666240E+003	-4.2945072E-001	-4.3021980E-001	-5.098267475890728E-004	1.000000000000000E+000	-2.1269780E-007	14	1.8348603E-001	3.7805617E+000	0.000000000000000E+000	2.1933756E-007	-6.1370581E-001
2	0	0	1	0	9.630391729642026E+003	-4.2845100E-001	-4.2926359E-001	-4.740606347552901E-004	1.000000000000000E+000	-5.3666378E-007	14	1.8115851E-001	3.7805617E+000	1.999399975786218E+000	2.0349697E-007	-6.1042213E-001
2	0	0	1	0	9.632391129617812E+003	-4.2745125E-001	-4.2828077E-001	-4.475371324722398E-004	1.000000000000000E+000	-8.0938827E-007	14	1.7888588E-001	3.7805617E+000	3.998799951572437E+000	1.9167155E-007	-6.0716665E-001
2	0	0	1	0	9.634390329593618E+003	-4.2645168E-001	-4.2719623E-001	-4.291108144941092E-004	1.000000000000000E+000	-1.0654405E-006	14	1.7662337E-001	3.7805617E+000	5.997999927378260E+000	1.8331453E-007	-6.0381961E-001
2	0	0	1	0	9.636389529569402E+003	-4.2545205E-001	-4.2623046E-001	-4.297347676974236E-004	1.000000000000000E+000	-1.2975280E-006	14	1.7442498E-001	3.7805617E+000	7.997199903162254E+000	1.8316605E-007	-6.0065544E-001
2	0	0	1	0	9.638388929545181E+003	-4.2445239E-001	-4.2526993E-001	-4.192521885425585E-004	1.000000000000000E+000	-1.5128821E-006	14	1.7225440E-001	3.7805617E+000	9.996599878941197E+000	1.7829535E-007	-5.9752434E-001
2	0	0	1	0	9.640388229521021E+003	-4.2345273E-001	-4.2425430E-001	-4.204097060455311E-004	1.000000000000000E+000	-1.7210949E-006	14	1.7009358E-001	3.7805617E+000	1.199589985478087E+001	1.7836062E-007	-5.9434789E-001
2	0	0	1	0	9.642387329496822E+003	-4.2245319E-001	-4.2326003E-001	-4.153037481712681E-004	1.000000000000000E+000	-1.9117792E-006	14	1.6799955E-001	3.7805617E+000	1.399499983058195E+001	1.7578148E-007	-5.9125960E-001
2	0	0	1	0	9.644386729472593E+003	-4.2145351E-001	-4.2221677E-001	-4.194352972122673E-004	1.000000000000000E+000	-2.0983052E-006	14	1.6591039E-001	3.7805617E+000	1.599439980635361E+001	1.7709262E-007	-5.8812714E-001
