EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	0	0	3.279244917908291E+003	-5.2946383E-001	-5.2998686E-001	6.657441612333060E-003	1.000000000000000E+000	0.0000000E+000	11	2.5007185E-001	5.8657498E+000	0.000000000000000E+000	-3.5283565E-006	1.6648388E-006	-5.1931952E-006	-7.8005874E-001	7.9608188E+004	3.7562754E+004	1.1717095E+005
2	1	0	1	0	3.279403317904289E+003	-5.2629811E-001	-5.2683294E-001	7.510253499354650E-003	1.000000000000000E+000	1.4539904E-006	11	2.4603119E-001	5.8657441E+000	0.000000000000000E+000	-3.9566489E-006	1.8477566E-006	-5.8044056E-006	-7.7286410E-001	7.0148492E+004	3.2759373E+004	1.0290786E+005
2	1	0	1	0	3.279685017897172E+003	-5.2066296E-001	-5.2119124E-001	8.449446946443368E-003	1.000000000000000E+000	4.1197654E-006	13	2.3885742E-001	5.8657427E+000	2.816999928836594E-001	-4.4037779E-006	2.0182131E-006	-6.4219907E-006	-7.6004863E-001	6.1683473E+004	2.8269000E+004	8.9952477E+004
2	1	0	1	0	3.279936717890814E+003	-5.1562905E-001	-5.1616687E-001	8.807387919603351E-003	1.000000000000000E+000	6.6287694E-006	13	2.3244259E-001	5.8657427E+000	5.333999865251826E-001	-4.5460820E-006	2.0472121E-006	-6.5932941E-006	-7.4860942E-001	5.8606125E+004	2.6391773E+004	8.4997898E+004
2	1	0	1	0	3.280188517884453E+003	-5.1059318E-001	-5.1111704E-001	8.925072051520321E-003	1.000000000000000E+000	9.2061946E-006	13	2.2586748E-001	5.8657427E+000	7.851999801641796E-001	-4.5617562E-006	2.0158836E-006	-6.5776399E-006	-7.3698449E-001	5.7267555E+004	2.5307076E+004	8.2574633E+004
2	1	0	1	0	3.280440017878107E+003	-5.0556278E-001	-5.0609207E-001	9.006941128299722E-003	1.000000000000000E+000	1.1800897E-005	13	2.1939678E-001	5.8657422E+000	1.036699973818031E+000	-4.5583415E-006	1.9760939E-006	-6.5344352E-006	-7.2548884E-001	5.6189117E+004	2.4358635E+004	8.0547750E+004
2	1	0	1	0	3.280691317871752E+003	-5.0053686E-001	-5.0105816E-001	9.119169236705276E-003	1.000000000000000E+000	1.4416474E-005	13	2.1294576E-001	5.8657422E+000	1.287999967462383E+000	-4.5692341E-006	1.9418885E-006	-6.5111226E-006	-7.1400392E-001	5.4945594E+004	2.3351443E+004	7.8297039E+004
2	1	0	1	0	3.280942017865418E+003	-4.9552229E-001	-4.9605069E-001	9.202769963026440E-003	1.000000000000000E+000	1.7054321E-005	13	2.0649497E-001	5.8657422E+000	1.538699961129169E+000	-4.5650404E-006	1.9003257E-006	-6.4653659E-006	-7.0254564E-001	5.3902324E+004	2.2438350E+004	7.6340672E+004
2	1	0	1	0	3.281192017859103E+003	-4.9052233E-001	-4.9106258E-001	9.308947025929839E-003	1.000000000000000E+000	1.9709296E-005	13	2.0004365E-001	5.8657422E+000	1.788699954813637E+000	-4.5712754E-006	1.8621957E-006	-6.4334713E-006	-6.9110620E-001	5.2751680E+004	2.1489396E+004	7.4241078E+004
2	1	0	1	0	3.281442017852787E+003	-4.8552227E-001	-4.8606116E-001	9.379680393989162E-003	1.000000000000000E+000	2.2382526E-005	13	1.9361305E-001	5.8657422E+000	2.038699948498106E+000	-4.5590982E-006	1.8160285E-006	-6.3751268E-006	-6.7967421E-001	5.1820652E+004	2.0641754E+004	7.2462406E+004
2	1	0	1	0	3.281692017846472E+003	-4.8052230E-001	-4.8105219E-001	9.434647014923720E-003	1.000000000000000E+000	2.5071298E-005	13	1.8718556E-001	5.8657422E+000	2.288699942182575E+000	-4.5385577E-006	1.7660296E-006	-6.3045873E-006	-6.6823775E-001	5.0987832E+004	1.9840229E+004	7.0828063E+004
2	1	0	1	0	3.281942017840156E+003	-4.7552225E-001	-4.7605938E-001	9.483412679104422E-003	1.000000000000000E+000	2.7774196E-005	13	1.8077047E-001	5.8657422E+000	2.538699935867044E+000	-4.5146676E-006	1.7143210E-006	-6.2289887E-006	-6.5682983E-001	5.0199164E+004	1.9061754E+004	6.9260914E+004
2	1	0	1	0	3.282192017833841E+003	-4.7052225E-001	-4.7106019E-001	9.525985059052833E-003	1.000000000000000E+000	3.0491457E-005	13	1.7434967E-001	5.8657422E+000	2.788699929551512E+000	-4.4873123E-006	1.6608523E-006	-6.1481646E-006	-6.4540982E-001	4.9450023E+004	1.8302533E+004	6.7752555E+004
2	1	0	1	0	3.282442017827525E+003	-4.6552229E-001	-4.6607032E-001	9.579776259231092E-003	1.000000000000000E+000	3.3218344E-005	13	1.6795617E-001	5.8657422E+000	3.038699923235981E+000	-4.4648496E-006	1.6089825E-006	-6.0738321E-006	-6.3402653E-001	4.8651484E+004	1.7532369E+004	6.6183852E+004
