EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.430              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.070               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.430              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.430              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	5.827418275729171E+003	-4.3001461E-001	-4.3069607E-001	5.490873940289021E-003	1.000000000000000E+000	0.0000000E+000	13	-1.4477944E+000	6.5152326E+000	0.000000000000000E+000	-2.3648979E-006	1.0170984E+000
2	1	0	1	0	5.828517975715862E+003	-4.2946482E-001	-4.3006748E-001	6.465661957716307E-003	1.000000000000000E+000	7.2805797E-006	13	-1.4480659E+000	6.5152307E+000	0.000000000000000E+000	-2.7806709E-006	1.0179985E+000
2	1	0	1	0	5.830517475691646E+003	-4.2846513E-001	-4.2909214E-001	6.603621054395131E-003	1.000000000000000E+000	2.0676765E-005	13	-1.4483881E+000	6.5152307E+000	1.999499975783692E+000	-2.8335619E-006	1.0192959E+000
2	1	0	1	0	5.832517175667439E+003	-4.2746526E-001	-4.2808175E-001	6.725223748287869E-003	1.000000000000000E+000	3.4328656E-005	13	-1.4487854E+000	6.5152311E+000	3.999199951576884E+000	-2.8789455E-006	1.0207037E+000
2	1	0	1	0	5.834516675643223E+003	-4.2646551E-001	-4.2708090E-001	6.855615609518237E-003	1.000000000000000E+000	4.8236958E-005	13	-1.4492680E+000	6.5152307E+000	5.998699927360576E+000	-2.9279024E-006	1.0221871E+000
2	1	0	0	0	5.836516475619021E+003	-4.2546564E-001	-4.2608744E-001	6.983574429452084E-003	1.000000000000000E+000	6.2405357E-005	13	-1.4498351E+000	6.5152311E+000	7.998499903158518E+000	-2.9756134E-006	1.0237477E+000
2	1	0	1	0	5.838516275594797E+003	-4.2446569E-001	-4.2512250E-001	7.117610446283121E-003	1.000000000000000E+000	7.6834178E-005	13	-1.4504495E+000	6.5152307E+000	9.998299878934631E+000	-3.0258564E-006	1.0253270E+000
2	1	0	1	0	5.840515775570602E+003	-4.2346597E-001	-4.2409635E-001	7.257299486816044E-003	1.000000000000000E+000	9.1531248E-005	13	-1.4511415E+000	6.5152316E+000	1.199779985474015E+001	-3.0777942E-006	1.0270451E+000
2	1	0	1	0	5.842515375546383E+003	-4.2246616E-001	-4.2306578E-001	7.390933195539809E-003	1.000000000000000E+000	1.0650072E-004	13	-1.4518712E+000	6.5152307E+000	1.399739983052132E+001	-3.1268510E-006	1.0288054E+000
2	1	0	1	0	5.844514975522179E+003	-4.2146641E-001	-4.2210636E-001	7.528469975378725E-003	1.000000000000000E+000	1.2174259E-004	13	-1.4526694E+000	6.5152311E+000	1.599699980631704E+001	-3.1778150E-006	1.0305630E+000
2	1	0	1	0	5.846514475497985E+003	-4.2046663E-001	-4.2108965E-001	7.665259175400674E-003	1.000000000000000E+000	1.3726221E-004	13	-1.4535284E+000	6.5152307E+000	1.799649978212256E+001	-3.2277612E-006	1.0324388E+000
2	1	0	0	0	5.848514075473759E+003	-4.1946685E-001	-4.2009622E-001	7.813366235392902E-003	1.000000000000000E+000	1.5306669E-004	13	-1.4544127E+000	6.5152311E+000	1.999609975789645E+001	-3.2823657E-006	1.0343165E+000
2	1	0	1	0	5.850513575449550E+003	-4.1846702E-001	-4.1907945E-001	7.959630168736617E-003	1.000000000000000E+000	1.6916257E-004	13	-1.4553542E+000	6.5152297E+000	2.199559973368741E+001	-3.3357176E-006	1.0362748E+000
2	1	0	1	0	5.852512875425367E+003	-4.1746742E-001	-4.1809472E-001	8.105165291951589E-003	1.000000000000000E+000	1.8555093E-004	13	-1.4563197E+000	6.5152307E+000	2.399489970950526E+001	-3.3887268E-006	1.0382249E+000
2	1	0	0	0	5.854512475401134E+003	-4.1646767E-001	-4.1709182E-001	8.251724516674830E-003	1.000000000000000E+000	2.0223309E-004	13	-1.4573061E+000	6.5152311E+000	2.599449968527188E+001	-3.4417267E-006	1.0402143E+000
2	1	0	1	0	5.856511975376925E+003	-4.1546786E-001	-4.1611543E-001	8.403608357467604E-003	1.000000000000000E+000	2.1921068E-004	13	-1.4583297E+000	6.5152307E+000	2.799399966106284E+001	-3.4968712E-006	1.0422143E+000
2	1	0	0	0	5.858511675352718E+003	-4.1446802E-001	-4.1506571E-001	8.558108405803400E-003	1.000000000000000E+000	2.3649928E-004	13	-1.4593693E+000	6.5152311E+000	2.999369963685604E+001	-3.5521773E-006	1.0443037E+000
2	1	0	1	0	5.860511275328507E+003	-4.1346818E-001	-4.1411152E-001	8.712270388869937E-003	1.000000000000000E+000	2.5409658E-004	13	-1.4604307E+000	6.5152307E+000	3.199329961264448E+001	-3.6078516E-006	1.0463192E+000
2	1	0	0	0	5.862510875304302E+003	-4.1246840E-001	-4.1307893E-001	8.865865035624594E-003	1.000000000000000E+000	2.7200385E-004	13	-1.4615016E+000	6.5152311E+000	3.399289958844020E+001	-3.6623021E-006	1.0484227E+000
2	1	0	1	0	5.864510675280086E+003	-4.1146845E-001	-4.1210976E-001	9.028224015209779E-003	1.000000000000000E+000	2.9023172E-004	13	-1.4625801E+000	6.5152307E+000	3.599269956422359E+001	-3.7206194E-006	1.0504704E+000
2	1	0	1	0	5.866510275255881E+003	-4.1046870E-001	-4.1106224E-001	9.196621923806936E-003	1.000000000000000E+000	3.0878853E-004	13	-1.4636809E+000	6.5152307E+000	3.799229954001930E+001	-3.7803841E-006	1.0526186E+000
2	1	0	1	0	5.868509775231665E+003	-4.0946895E-001	-4.1007844E-001	9.367011302505820E-003	1.000000000000000E+000	3.2767505E-004	13	-1.4647743E+000	6.5152307E+000	3.999179951580300E+001	-3.8412095E-006	1.0546958E+000
2	1	0	1	0	5.870509375207461E+003	-4.0846917E-001	-4.0907767E-001	9.537593275343564E-003	1.000000000000000E+000	3.4690183E-004	13	-1.4658762E+000	6.5152311E+000	4.199139949159871E+001	-3.9016163E-006	1.0567986E+000
2	1	0	1	0	5.872508975183271E+003	-4.0746933E-001	-4.0805769E-001	9.709890911146773E-003	1.000000000000000E+000	3.6647139E-004	13	-1.4669868E+000	6.5152302E+000	4.399099946740898E+001	-3.9621955E-006	1.0589291E+000
