EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.430              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.070               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.430              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.430              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	1	0	1	0	1.252756239459872E+004	-4.2998406E-001	-4.3021312E-001	8.324569463729858E-002	1.000000000000000E+000	0.0000000E+000	12	-1.5573927E+000	6.9516587E+000	0.000000000000000E+000	-3.5813391E-005	1.1271796E+000
2	1	0	1	0	1.252866179458541E+004	-4.2943445E-001	-4.2968652E-001	8.329891594611849E-002	1.000000000000000E+000	9.1726826E-005	12	-1.5573933E+000	6.9516573E+000	0.000000000000000E+000	-3.5792422E-005	1.1277068E+000
2	1	0	1	0	1.253066069456123E+004	-4.2843500E-001	-4.2871267E-001	8.458958147542051E-002	1.000000000000000E+000	2.6003455E-004	12	-1.5602906E+000	6.9516568E+000	1.998899975820677E+000	-3.6264624E-005	1.1315780E+000
2	1	0	1	0	1.253265999453700E+004	-4.2743531E-001	-4.2770094E-001	8.595054597732302E-002	1.000000000000000E+000	4.3104487E-004	12	-1.5629519E+000	6.9516568E+000	3.998199951587594E+000	-3.6761128E-005	1.1352510E+000
2	1	0	1	0	1.253465929451279E+004	-4.2643574E-001	-4.2671910E-001	8.734553783262511E-002	1.000000000000000E+000	6.0483033E-004	12	-1.5646732E+000	6.9516568E+000	5.997499927376339E+000	-3.7272010E-005	1.1379541E+000
2	1	0	1	0	1.253665839448858E+004	-4.2543611E-001	-4.2573234E-001	8.869180081333383E-002	1.000000000000000E+000	7.8130909E-004	12	-1.5637505E+000	6.9516568E+000	7.996599903170136E+000	-3.7758968E-005	1.1380181E+000
2	1	0	1	0	1.253865769446437E+004	-4.2443648E-001	-4.2468297E-001	9.004703905446412E-002	1.000000000000000E+000	9.6051028E-004	12	-1.5652605E+000	6.9516568E+000	9.995899878966156E+000	-3.8241444E-005	1.1405776E+000
2	1	0	1	0	1.254065669444017E+004	-4.2343691E-001	-4.2371526E-001	9.144779116280144E-002	1.000000000000000E+000	1.1424379E-003	12	-1.5700524E+000	6.9516563E+000	1.199489985476248E+001	-3.8747825E-005	1.1463372E+000
2	1	0	1	0	1.254265579441600E+004	-4.2243743E-001	-4.2271692E-001	9.282884904979649E-002	1.000000000000000E+000	1.3271554E-003	12	-1.5769609E+000	6.9516563E+000	1.399399983059266E+001	-3.9240324E-005	1.1542439E+000
2	1	0	1	0	1.254465479439180E+004	-4.2143795E-001	-4.2172602E-001	9.424153698277118E-002	1.000000000000000E+000	1.5146615E-003	12	-1.5730968E+000	6.9516563E+000	1.599299980638898E+001	-3.9744107E-005	1.1513708E+000
2	1	0	1	0	1.254665399436760E+004	-4.2043835E-001	-4.2072326E-001	9.568686019558750E-002	1.000000000000000E+000	1.7050363E-003	12	-1.5760314E+000	6.9516563E+000	1.799219978219480E+001	-4.0257688E-005	1.1553082E+000
2	1	0	1	0	1.254865299434340E+004	-4.1943884E-001	-4.1971856E-001	9.712984460580415E-002	1.000000000000000E+000	1.8982862E-003	12	-1.5783802E+000	6.9516563E+000	1.999119975799113E+001	-4.0767198E-005	1.1586616E+000
2	1	0	1	0	1.255065219431916E+004	-4.1843927E-001	-4.1872120E-001	9.861091168369462E-002	1.000000000000000E+000	2.0944837E-003	12	-1.5786409E+000	6.9516563E+000	2.199039973375329E+001	-4.1290477E-005	1.1599197E+000
2	1	0	1	0	1.255265119429496E+004	-4.1743976E-001	-4.1766131E-001	1.001160682047582E-001	1.000000000000000E+000	2.2936463E-003	12	-1.5822554E+000	6.9516563E+000	2.398939970954962E+001	-4.1814608E-005	1.1645941E+000
2	1	0	1	0	1.255465029427075E+004	-4.1644016E-001	-4.1670007E-001	1.017804502329294E-001	1.000000000000000E+000	2.4960071E-003	12	-1.5817027E+000	6.9516563E+000	2.598849968534341E+001	-4.2411921E-005	1.1650026E+000
2	1	0	1	0	1.255664949424654E+004	-4.1544059E-001	-4.1577294E-001	1.033275870993098E-001	1.000000000000000E+000	2.7015996E-003	12	-1.5862224E+000	6.9516568E+000	2.798769966113468E+001	-4.2960815E-005	1.1704495E+000
2	1	0	1	0	1.255864849422235E+004	-4.1444105E-001	-4.1472149E-001	1.048923960027469E-001	1.000000000000000E+000	2.9102564E-003	12	-1.5871069E+000	6.9516563E+000	2.998669963693828E+001	-4.3501132E-005	1.1723855E+000
2	1	0	1	0	1.256064769419818E+004	-4.1344148E-001	-4.1371357E-001	1.064424712789649E-001	1.000000000000000E+000	3.1220466E-003	12	-1.5863688E+000	6.9516568E+000	3.198589961277321E+001	-4.4036697E-005	1.1726552E+000
2	1	0	1	0	1.256264679417398E+004	-4.1244188E-001	-4.1274798E-001	1.080554081582130E-001	1.000000000000000E+000	3.3369882E-003	12	-1.5916198E+000	6.9516568E+000	3.398499958857428E+001	-4.4599652E-005	1.1788719E+000
2	1	0	1	0	1.256464609414976E+004	-4.1144228E-001	-4.1175485E-001	1.096952137819613E-001	1.000000000000000E+000	3.5552098E-003	12	-1.5920757E+000	6.9516568E+000	3.598429956435575E+001	-4.5167537E-005	1.1803209E+000
2	1	0	1	0	1.256664509412556E+004	-4.1044268E-001	-4.1067472E-001	1.113772201392709E-001	1.000000000000000E+000	3.7767368E-003	12	-1.5929756E+000	6.9516563E+000	3.798329954015207E+001	-4.5739809E-005	1.1823009E+000
2	1	0	1	0	1.256864419410136E+004	-4.0944320E-001	-4.0967530E-001	1.130608428757913E-001	1.000000000000000E+000	4.0016221E-003	12	-1.5983629E+000	6.9516563E+000	3.998239951595315E+001	-4.6318233E-005	1.1886876E+000
2	1	0	1	0	1.257064319407713E+004	-4.0844369E-001	-4.0863350E-001	1.147327166359517E-001	1.000000000000000E+000	4.2298450E-003	12	-1.5973227E+000	6.9516563E+000	4.198139949172037E+001	-4.6883633E-005	1.1886892E+000
2	1	0	1	0	1.257264259405292E+004	-4.0744406E-001	-4.0768224E-001	1.165600602024317E-001	1.000000000000000E+000	4.4616419E-003	12	-1.5958438E+000	6.9516563E+000	4.398079946750659E+001	-4.7519465E-005	1.1881616E+000
2	1	0	1	0	1.257464189402870E+004	-4.0644434E-001	-4.0665686E-001	1.183656110382287E-001	1.000000000000000E+000	4.6970709E-003	12	-1.6003500E+000	6.9516563E+000	4.598009944328805E+001	-4.8134189E-005	1.1936932E+000
2	1	0	1	0	1.257664079400452E+004	-4.0544492E-001	-4.0565863E-001	1.201174074810889E-001	1.000000000000000E+000	4.9359826E-003	12	-1.6006894E+000	6.9516563E+000	4.797899941910873E+001	-4.8726662E-005	1.1950308E+000
2	1	0	1	0	1.257863999398029E+004	-4.0444529E-001	-4.0465906E-001	1.219161817044535E-001	1.000000000000000E+000	5.1784767E-003	12	-1.6056409E+000	6.9516563E+000	4.997819939488545E+001	-4.9334489E-005	1.2009819E+000
2	1	0	1	0	1.258063899395615E+004	-4.0344578E-001	-4.0365964E-001	1.237232940511466E-001	1.000000000000000E+000	5.4245493E-003	12	-1.6073779E+000	6.9516563E+000	5.197719937073998E+001	-4.9942100E-005	1.2037182E+000
2	1	0	1	0	1.258263829393193E+004	-4.0244621E-001	-4.0265903E-001	1.255469656639705E-001	1.000000000000000E+000	5.6742956E-003	12	-1.6039472E+000	6.9516568E+000	5.397649934652145E+001	-5.0552619E-005	1.2012881E+000
2	1	0	1	0	1.258463729390770E+004	-4.0144661E-001	-4.0169561E-001	1.273959892518217E-001	1.000000000000000E+000	5.9276777E-003	12	-1.6069380E+000	6.9516563E+000	5.597549932228867E+001	-5.1174411E-005	1.2052424E+000
2	1	0	1	0	1.258663639388353E+004	-4.0044716E-001	-4.0070996E-001	1.292723704667681E-001	1.000000000000000E+000	6.1847973E-003	12	-1.6109364E+000	6.9516568E+000	5.797459929811885E+001	-5.1800725E-005	1.2102264E+000
2	1	0	1	0	1.258863549385930E+004	-3.9944759E-001	-3.9974245E-001	1.313129027702287E-001	1.000000000000000E+000	6.4458484E-003	12	-1.6127937E+000	6.9516573E+000	5.997369927389082E+001	-5.2491341E-005	1.2130512E+000
2	1	0	1	0	1.259063459383509E+004	-3.9844799E-001	-3.9873579E-001	1.333361834689362E-001	1.000000000000000E+000	6.7109782E-003	12	-1.6147879E+000	6.9516563E+000	6.197279924967734E+001	-5.3165910E-005	1.2160522E+000
2	1	0	1	0	1.259263379381088E+004	-3.9744842E-001	-3.9771184E-001	1.352754566730652E-001	1.000000000000000E+000	6.9800471E-003	12	-1.6149583E+000	6.9516568E+000	6.397199922546861E+001	-5.3800650E-005	1.2172464E+000
2	1	0	1	0	1.259463289378667E+004	-3.9644891E-001	-3.9670816E-001	1.372638019154051E-001	1.000000000000000E+000	7.2530368E-003	12	-1.6140679E+000	6.9516568E+000	6.597109920126240E+001	-5.4453671E-005	1.2173598E+000
2	1	0	1	0	1.259663219376246E+004	-3.9544925E-001	-3.9571494E-001	1.392508502847765E-001	1.000000000000000E+000	7.5300289E-003	12	-1.6154013E+000	6.9516563E+000	6.797039917705115E+001	-5.5103643E-005	1.2196863E+000
2	1	0	1	0	1.259863129373832E+004	-3.9444965E-001	-3.9469323E-001	1.412677681664549E-001	1.000000000000000E+000	7.8110052E-003	12	-1.6181769E+000	6.9516568E+000	6.996949915291043E+001	-5.5757431E-005	1.2234837E+000
2	1	0	1	0	1.260063059371407E+004	-3.9344999E-001	-3.9372861E-001	1.433376771607313E-001	1.000000000000000E+000	8.0960887E-003	12	-1.6194165E+000	6.9516563E+000	7.196879912866279E+001	-5.6436143E-005	1.2256879E+000
2	1	0	1	0	1.260262969368986E+004	-3.9245048E-001	-3.9271295E-001	1.455048843728335E-001	1.000000000000000E+000	8.3854087E-003	12	-1.6221794E+000	6.9516568E+000	7.396789910444932E+001	-5.7141653E-005	1.2294664E+000
2	1	0	1	0	1.260462859366566E+004	-3.9145100E-001	-3.9167920E-001	1.477677926242014E-001	1.000000000000000E+000	8.6791599E-003	12	-1.6253284E+000	6.9516573E+000	7.596679908025544E+001	-5.7877569E-005	1.2336493E+000
2	1	0	1	0	1.260662759364149E+004	-3.9045152E-001	-3.9067346E-001	1.499140466543909E-001	1.000000000000000E+000	8.9772707E-003	12	-1.6258227E+000	6.9516563E+000	7.796579905608087E+001	-5.8567439E-005	1.2351491E+000
2	1	0	1	0	1.260862669361726E+004	-3.8945204E-001	-3.8969097E-001	1.520647861426143E-001	1.000000000000000E+000	9.2796972E-003	12	-1.6256359E+000	6.9516568E+000	7.996489903185284E+001	-5.9258273E-005	1.2359449E+000
