EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.730              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.170               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102323884511032E+003	-7.3004222E-001	-7.3066586E-001	-3.475385485216975E-003	1.000000000000000E+000	0.0000000E+000	14	3.9522439E-001	6.8361616E+000	0.000000000000000E+000	2.5393456E-006	-1.1258903E+000
2	1	0	1	0	5.102351684510679E+003	-7.2948378E-001	-7.2994691E-001	7.717209202063244E-003	1.000000000000000E+000	1.7694956E-007	14	3.9440838E-001	6.8361597E+000	0.000000000000000E+000	-5.6331528E-006	-1.1243553E+000
2	1	0	1	0	5.102402184510094E+003	-7.2847337E-001	-7.2899276E-001	8.073972345968489E-003	1.000000000000000E+000	5.8755973E-007	14	3.9286628E-001	6.8361602E+000	5.049999941547867E-002	-5.8858673E-006	-1.1218591E+000
2	1	0	1	0	5.102452384509466E+003	-7.2746849E-001	-7.2789800E-001	8.527499427415292E-003	1.000000000000000E+000	1.0105784E-006	14	3.9129758E-001	6.8361607E+000	1.006999987876043E-001	-6.2071499E-006	-1.1191956E+000
2	1	0	1	0	5.102502684508887E+003	-7.2646374E-001	-7.2689217E-001	8.666684601798896E-003	1.000000000000000E+000	1.4457864E-006	14	3.8973120E-001	6.8361597E+000	1.509999982081354E-001	-6.2997451E-006	-1.1166234E+000
2	1	0	1	0	5.102568284508066E+003	-7.2515398E-001	-7.2566730E-001	8.560999910047828E-003	1.000000000000000E+000	2.0617877E-006	14	3.8757306E-001	6.8361592E+000	2.165999973876751E-001	-6.2124377E-006	-1.1132404E+000
2	1	0	1	0	5.102633684507273E+003	-7.2384334E-001	-7.2438318E-001	7.521114882651753E-003	1.000000000000000E+000	2.6812140E-006	13	3.8550806E-001	6.8361607E+000	2.819999965940951E-001	-5.4481693E-006	-1.1098912E+000
2	1	0	1	0	5.102683884506681E+003	-7.2283870E-001	-7.2334605E-001	7.826663745078927E-003	1.000000000000000E+000	3.1351583E-006	13	3.8391334E-001	6.8361611E+000	3.321999960026005E-001	-5.6613862E-006	-1.1072594E+000
2	1	0	1	0	5.102734384506068E+003	-7.2183043E-001	-7.2235352E-001	7.802043127111911E-003	1.000000000000000E+000	3.5954072E-006	13	3.8232866E-001	6.8361602E+000	3.826999953889754E-001	-5.6358331E-006	-1.1046822E+000
2	1	0	1	0	5.102784784505464E+003	-7.2082132E-001	-7.2132003E-001	7.759224900800901E-003	1.000000000000000E+000	4.0557047E-006	13	3.8073114E-001	6.8361602E+000	4.330999947851524E-001	-5.5968844E-006	-1.1020511E+000
