EC-Lab ASCII FILE
Nb header lines : 65                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.730              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.170               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

Modify on : 08/14/2024 20:31
nc cycles           5                   

Modify on : 08/14/2024 20:31
nc cycles           4                   

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102138684499791E+003	-7.3004597E-001	-7.3077846E-001	-3.767699236050248E-003	1.000000000000000E+000	0.0000000E+000	14	4.8362988E-001	7.0797529E+000	0.000000000000000E+000	2.7533533E-006	-1.2144084E+000
2	0	0	1	0	5.102181184499284E+003	-7.2919619E-001	-7.2981769E-001	7.697177379694914E-003	1.000000000000000E+000	3.2579064E-007	14	4.8231539E-001	7.0797510E+000	0.000000000000000E+000	-5.6175363E-006	-1.2121330E+000
2	1	0	1	0	5.102246184498494E+003	-7.2789621E-001	-7.2844714E-001	7.267853365866148E-003	1.000000000000000E+000	8.9908940E-007	13	4.8030573E-001	7.0797510E+000	6.499999920924893E-002	-5.2942469E-006	-1.2087529E+000
2	1	0	1	0	5.102296184497885E+003	-7.2689617E-001	-7.2750223E-001	7.387348033565430E-003	1.000000000000000E+000	1.3357061E-006	13	4.7873887E-001	7.0797510E+000	1.149999986009789E-001	-5.3743120E-006	-1.2062411E+000
2	1	0	1	0	5.102346184497284E+003	-7.2589624E-001	-7.2644401E-001	7.770400942751660E-003	1.000000000000000E+000	1.7834468E-006	13	4.7711566E-001	7.0797510E+000	1.649999979999848E-001	-5.6447611E-006	-1.2035596E+000
2	1	0	1	0	5.102396184496683E+003	-7.2489625E-001	-7.2547048E-001	7.992711015200889E-003	1.000000000000000E+000	2.2445890E-006	13	4.7549784E-001	7.0797510E+000	2.149999973989907E-001	-5.7984757E-006	-1.2009683E+000
2	1	0	1	0	5.102446184496075E+003	-7.2389627E-001	-7.2443879E-001	8.139621506281277E-003	1.000000000000000E+000	2.7163010E-006	13	4.7386932E-001	7.0797510E+000	2.649999967907206E-001	-5.8966575E-006	-1.1983081E+000
2	1	0	1	0	5.102496184495467E+003	-7.2289622E-001	-7.2347695E-001	8.399691235455142E-003	1.000000000000000E+000	3.1986433E-006	13	4.7217581E-001	7.0797510E+000	3.149999961824506E-001	-6.0769830E-006	-1.1956527E+000
2	1	0	1	0	5.102546184494859E+003	-7.2189617E-001	-7.2248012E-001	8.477235038299127E-003	1.000000000000000E+000	3.6880040E-006	13	4.7049847E-001	7.0797510E+000	3.649999955741805E-001	-6.1246337E-006	-1.1929786E+000
2	1	0	1	0	5.102596184494258E+003	-7.2089612E-001	-7.2143143E-001	8.584132192751226E-003	1.000000000000000E+000	4.1859794E-006	13	4.6879613E-001	7.0797510E+000	4.149999949731864E-001	-6.1928627E-006	-1.1902275E+000
