EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	1.936086751810362E+003	-5.2943736E-001	-5.2981752E-001	5.030124913901091E-003	1.000000000000000E+000	0.0000000E+000	11	4.3689018E-001	7.6073637E+000	0.000000000000000E+000	-2.6650482E-006	2.1976123E-006	-4.8626607E-006	-9.6670771E-001	1.0532890E+005	8.6854742E+004	1.9218364E+005
2	1	0	1	0	1.936244251806384E+003	-5.2628791E-001	-5.2658308E-001	5.206809938697092E-003	1.000000000000000E+000	1.0660794E-006	11	4.3405572E-001	7.6073470E+000	0.000000000000000E+000	-2.7418180E-006	2.2600457E-006	-5.0018634E-006	-9.6063876E-001	1.0113353E+005	8.3363078E+004	1.8449661E+005
2	1	0	1	0	1.936524251799310E+003	-5.2068812E-001	-5.2096993E-001	6.018626645898792E-003	1.000000000000000E+000	3.0230563E-006	13	4.2868316E-001	7.6073489E+000	2.799999929266051E-001	-3.1355235E-006	2.5800839E-006	-5.7156076E-006	-9.4965309E-001	8.6559602E+004	7.1226078E+004	1.5778567E+005
2	1	0	1	0	1.936774251792995E+003	-5.1568824E-001	-5.1601994E-001	6.181970593178168E-003	1.000000000000000E+000	4.8542920E-006	13	4.2391977E-001	7.6073489E+000	5.299999866110739E-001	-3.1900202E-006	2.6206596E-006	-5.8106798E-006	-9.3993974E-001	8.3471758E+004	6.8573563E+004	1.5204533E+005
2	1	0	1	0	1.937024251786679E+003	-5.1068836E-001	-5.1099545E-001	6.312802852013452E-003	1.000000000000000E+000	6.7218834E-006	13	4.1915628E-001	7.6073489E+000	7.799999802955427E-001	-3.2258135E-006	2.6460509E-006	-5.8718647E-006	-9.3015170E-001	8.0945891E+004	6.6397813E+004	1.4734370E+005
2	1	0	1	0	1.937274251780364E+003	-5.0568849E-001	-5.0598431E-001	6.413783991632567E-003	1.000000000000000E+000	8.6195378E-006	13	4.1439477E-001	7.6073489E+000	1.029999973980011E+000	-3.2452740E-006	2.6578384E-006	-5.9031127E-006	-9.2037904E-001	7.8890141E+004	6.4610027E+004	1.4350017E+005
2	1	0	1	0	1.937524251774048E+003	-5.0068861E-001	-5.0097823E-001	6.508705172656878E-003	1.000000000000000E+000	1.0541050E-005	13	4.0962955E-001	7.6073489E+000	1.279999967664480E+000	-3.2607195E-006	2.6661580E-006	-5.9268777E-006	-9.1060781E-001	7.6970492E+004	6.2935645E+004	1.3990614E+005
2	1	0	1	0	1.937774251767732E+003	-4.9568877E-001	-4.9599227E-001	6.560276939769682E-003	1.000000000000000E+000	1.2482452E-005	13	4.0487865E-001	7.6073489E+000	1.529999961348949E+000	-3.2538467E-006	2.6561161E-006	-5.9099625E-006	-9.0087092E-001	7.5605383E+004	6.1716699E+004	1.3732209E+005
2	1	0	1	0	1.938024251761417E+003	-4.9068889E-001	-4.9098247E-001	6.629680817531860E-003	1.000000000000000E+000	1.4436689E-005	13	4.0019423E-001	7.6073489E+000	1.779999955033418E+000	-3.2550570E-006	2.6531600E-006	-5.9082172E-006	-8.9117670E-001	7.4058234E+004	6.0364027E+004	1.3442227E+005
2	1	0	1	0	1.938274251755101E+003	-4.8568901E-001	-4.8597059E-001	6.700933681045449E-003	1.000000000000000E+000	1.6407346E-005	13	3.9549565E-001	7.6073489E+000	2.029999948717887E+000	-3.2564567E-006	2.6501903E-006	-5.9066469E-006	-8.8146627E-001	7.2522820E+004	5.9020977E+004	1.3154380E+005
2	1	0	1	0	1.938524251748786E+003	-4.8068917E-001	-4.8098630E-001	6.794820937207693E-003	1.000000000000000E+000	1.8399052E-005	13	3.9079568E-001	7.6073489E+000	2.279999942402356E+000	-3.2682158E-006	2.6553867E-006	-5.9236022E-006	-8.7178195E-001	7.0787195E+004	5.7513758E+004	1.2830095E+005
2	1	0	1	0	1.938774251742470E+003	-4.7568926E-001	-4.7601795E-001	6.843093559929999E-003	1.000000000000000E+000	2.0407249E-005	13	3.8609925E-001	7.6073489E+000	2.529999936086824E+000	-3.2574353E-006	2.6421133E-006	-5.8995488E-006	-8.6211717E-001	6.9561805E+004	5.6421742E+004	1.2598355E+005
2	1	0	1	0	1.939024251736155E+003	-4.7068942E-001	-4.7100818E-001	6.892304942146488E-003	1.000000000000000E+000	2.2430249E-005	13	3.8144892E-001	7.6073489E+000	2.779999929771293E+000	-3.2463320E-006	2.6290622E-006	-5.8753944E-006	-8.5245711E-001	6.8338266E+004	5.5344176E+004	1.2368245E+005
2	1	0	1	0	1.939274251729839E+003	-4.6568960E-001	-4.6600515E-001	6.943689501641647E-003	1.000000000000000E+000	2.4467226E-005	13	3.7678188E-001	7.6073489E+000	3.029999923455762E+000	-3.2357950E-006	2.6162563E-006	-5.8520513E-006	-8.4278703E-001	6.7112039E+004	5.4262488E+004	1.2137452E+005
2	1	0	1	0	1.939524251723524E+003	-4.6068969E-001	-4.6097481E-001	7.014962534703739E-003	1.000000000000000E+000	2.6520745E-005	13	3.7214130E-001	7.6073489E+000	3.279999917140230E+000	-3.2337211E-006	2.6105572E-006	-5.8442783E-006	-8.3311611E-001	6.5713086E+004	5.3049648E+004	1.1876273E+005
2	1	0	1	0	1.939774251717208E+003	-4.5568985E-001	-4.5598111E-001	7.092536014677416E-003	1.000000000000000E+000	2.8592909E-005	13	3.6752111E-001	7.6073489E+000	3.529999910824700E+000	-3.2340624E-006	2.6066566E-006	-5.8407190E-006	-8.2350218E-001	6.4290277E+004	5.1818012E+004	1.1610829E+005
2	1	0	1	0	1.940024251710893E+003	-4.5068997E-001	-4.5098284E-001	7.140788570605600E-003	1.000000000000000E+000	3.0678097E-005	13	3.6295792E-001	7.6073489E+000	3.779999904509168E+000	-3.2203732E-006	2.5918057E-006	-5.8121791E-006	-8.1394076E-001	6.3155887E+004	5.0828828E+004	1.1398472E+005
2	1	0	1	0	1.940274251704577E+003	-4.4569007E-001	-4.4597766E-001	7.179722339976088E-003	1.000000000000000E+000	3.2776185E-005	13	3.5839617E-001	7.6073489E+000	4.029999898193637E+000	-3.2019957E-006	2.5731849E-006	-5.7751809E-006	-8.0437386E-001	6.2116281E+004	4.9917832E+004	1.1203412E+005
2	1	0	1	0	1.940524251698262E+003	-4.4069025E-001	-4.4096029E-001	7.248173162917704E-003	1.000000000000000E+000	3.4892808E-005	13	3.5384819E-001	7.6073489E+000	4.279999891878106E+000	-3.1961565E-006	2.5647530E-006	-5.7609095E-006	-7.9480851E-001	6.0837438E+004	4.8818949E+004	1.0965638E+005
2	1	0	1	0	1.940774251691946E+003	-4.3569037E-001	-4.3602490E-001	7.356185109281702E-003	1.000000000000000E+000	3.7029145E-005	13	3.4932473E-001	7.6073489E+000	4.529999885562575E+000	-3.2074799E-006	2.5696975E-006	-5.7771772E-006	-7.8534961E-001	5.9273238E+004	4.7487215E+004	1.0676045E+005
2	1	0	1	0	1.941024251685631E+003	-4.3069053E-001	-4.3100792E-001	7.411435844778963E-003	1.000000000000000E+000	3.9182552E-005	13	3.4483859E-001	7.6073489E+000	4.779999879247043E+000	-3.1943875E-006	2.5557490E-006	-5.7501366E-006	-7.7584648E-001	5.8154441E+004	4.6527906E+004	1.0468235E+005
2	1	0	1	0	1.941274251679315E+003	-4.2569041E-001	-4.2599151E-001	7.484359897951903E-003	1.000000000000000E+000	4.1353189E-005	13	3.4038892E-001	7.6073489E+000	5.029999872931512E+000	-3.1882737E-006	2.5475931E-006	-5.7358670E-006	-7.6638043E-001	5.6917559E+004	4.5480031E+004	1.0239759E+005
2	1	0	1	0	1.941524251673000E+003	-4.2068785E-001	-4.2098227E-001	7.545510654616492E-003	1.000000000000000E+000	4.3540367E-005	13	3.3597922E-001	7.6073489E+000	5.279999866615981E+000	-3.1765262E-006	2.5351349E-006	-5.7116608E-006	-7.5696146E-001	5.5792418E+004	4.4527035E+004	1.0031945E+005
2	1	0	1	0	1.941774251666684E+003	-4.1568789E-001	-4.1597378E-001	7.615972811405293E-003	1.000000000000000E+000	4.5745535E-005	13	3.3155853E-001	7.6073489E+000	5.529999860300450E+000	-3.1680449E-006	2.5251406E-006	-5.6931858E-006	-7.4753231E-001	5.4618602E+004	4.3534625E+004	9.8153227E+004
