EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.430              
vs.                 Ref                 
dE/dt               0.500               
dE/dt unit          mV/s                
E1 (V)              0.070               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.430              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              -0.430              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	2.927196526198240E+003	-4.2999151E-001	-4.3036017E-001	-4.284292663214728E-005	1.000000000000000E+000	0.0000000E+000	14	-6.7369121E-001	6.8273654E+000	0.000000000000000E+000	1.8437889E-008	2.4333104E-001
2	1	0	1	0	2.928296426170455E+003	-4.2944172E-001	-4.2977181E-001	2.416332418305445E-004	1.000000000000000E+000	6.5124590E-007	14	-6.7402017E-001	6.8273640E+000	0.000000000000000E+000	-1.0384716E-007	2.4424836E-001
2	1	0	1	0	2.930296326119933E+003	-4.2844173E-001	-4.2875820E-001	2.688066232235482E-004	1.000000000000000E+000	1.8788757E-006	14	-6.7456490E-001	6.8273640E+000	1.999899949478277E+000	-1.1525304E-007	2.4580669E-001
2	1	0	1	0	2.932296226069411E+003	-4.2744181E-001	-4.2775083E-001	2.953257988171959E-004	1.000000000000000E+000	3.1565567E-006	14	-6.7511541E-001	6.8273640E+000	3.999799898956553E+000	-1.2632586E-007	2.4736458E-001
2	1	0	1	0	2.934296026018892E+003	-4.2644191E-001	-4.2673725E-001	3.174636783683435E-004	1.000000000000000E+000	4.4796011E-006	14	-6.7567497E-001	6.8273640E+000	5.999599848437356E+000	-1.3547357E-007	2.4893773E-001
2	1	0	1	0	2.936295625968378E+003	-4.2544204E-001	-4.2577884E-001	3.368568792852548E-004	1.000000000000000E+000	5.8415121E-006	14	-6.7623496E-001	6.8273640E+000	7.999199797923211E+000	-1.4342653E-007	2.5045612E-001
2	1	0	1	0	2.938295125917866E+003	-4.2444235E-001	-4.2478240E-001	3.552695602731717E-004	1.000000000000000E+000	7.2404291E-006	14	-6.7683667E-001	6.8273640E+000	9.998699747411592E+000	-1.5091226E-007	2.5205427E-001
2	1	0	1	0	2.940294925867347E+003	-4.2344242E-001	-4.2377299E-001	3.793707673398839E-004	1.000000000000000E+000	8.6945174E-006	14	-6.7746305E-001	6.8273640E+000	1.199849969689240E+001	-1.6076709E-007	2.5369006E-001
2	1	0	1	0	2.942294825816825E+003	-4.2244250E-001	-4.2278162E-001	4.001308860006915E-004	1.000000000000000E+000	1.0192179E-005	14	-6.7811728E-001	6.8273640E+000	1.399839964637067E+001	-1.6916799E-007	2.5533566E-001
2	1	0	1	0	2.944294725766318E+003	-4.2144254E-001	-4.2175838E-001	4.223927609145954E-004	1.000000000000000E+000	1.1718050E-005	14	-6.7879814E-001	6.8273640E+000	1.599829959586350E+001	-1.7814769E-007	2.5703976E-001
2	1	0	1	0	2.946294725715794E+003	-4.2044252E-001	-4.2078078E-001	4.380729269009309E-004	1.000000000000000E+000	1.3285455E-005	14	-6.7947984E-001	6.8273640E+000	1.799829954533925E+001	-1.8433266E-007	2.5869906E-001
2	1	0	1	0	2.948294725665270E+003	-4.1944253E-001	-4.1974896E-001	4.596513910596484E-004	1.000000000000000E+000	1.4889833E-005	14	-6.8019468E-001	6.8273640E+000	1.999829949481500E+001	-1.9293819E-007	2.6044571E-001
2	1	0	1	0	2.950294625614733E+003	-4.1844261E-001	-4.1878092E-001	4.793837981550183E-004	1.000000000000000E+000	1.6539043E-005	14	-6.8095154E-001	6.8273640E+000	2.199819944427873E+001	-2.0075679E-007	2.6217061E-001
