EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 69801)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Technique started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0.001 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.730              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.170               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           10                  
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	P/W	Ewe-Ece/V	
2	0	0	0	0	5.102282284508532E+003	-7.2997832E-001	-7.3023254E-001	-3.785677952691913E-003	1.000000000000000E+000	0.0000000E+000	14	3.3849961E-001	6.7038922E+000	0.000000000000000E+000	2.7644253E-006	-1.0687321E+000
2	0	0	1	0	5.102324984508014E+003	-7.2912586E-001	-7.2943658E-001	1.326641234472441E-002	1.000000000000000E+000	5.0018406E-007	14	3.3518803E-001	6.7038898E+000	0.000000000000000E+000	-9.6770063E-006	-1.0646245E+000
2	1	0	1	0	5.102390284507244E+003	-7.2781903E-001	-7.2812325E-001	1.673751152081830E-002	1.000000000000000E+000	1.5044938E-006	13	3.3169162E-001	6.7038903E+000	6.529999923077412E-002	-1.2186972E-005	-1.0598149E+000
2	1	0	1	0	5.102440384506619E+003	-7.2681653E-001	-7.2711772E-001	1.668323389323498E-002	1.000000000000000E+000	2.3999005E-006	13	3.2936618E-001	6.7038903E+000	1.153999986054259E-001	-1.2130675E-005	-1.0564839E+000
2	1	0	1	0	5.102490584506013E+003	-7.2581279E-001	-7.2608119E-001	1.701833436728595E-002	1.000000000000000E+000	3.3046583E-006	13	3.2702011E-001	6.7038903E+000	1.655999979993794E-001	-1.2356692E-005	-1.0531013E+000
2	1	0	1	0	5.102540684505424E+003	-7.2481102E-001	-7.2513586E-001	1.704293086283917E-002	1.000000000000000E+000	4.2166994E-006	13	3.2474184E-001	6.7038903E+000	2.156999974104110E-001	-1.2358440E-005	-1.0498776E+000
2	1	0	1	0	5.102590884504796E+003	-7.2380704E-001	-7.2409344E-001	1.738540956265699E-002	1.000000000000000E+000	5.1394286E-006	13	3.2244292E-001	6.7038903E+000	2.658999967825366E-001	-1.2588661E-005	-1.0465363E+000
2	1	0	1	0	5.102641084504190E+003	-7.2280300E-001	-7.2308117E-001	1.742237754002635E-002	1.000000000000000E+000	6.0694720E-006	13	3.2015046E-001	6.7038903E+000	3.160999961764901E-001	-1.2597793E-005	-1.0432316E+000
2	1	0	1	0	5.102691184503579E+003	-7.2180057E-001	-7.2208714E-001	1.739452161645100E-002	1.000000000000000E+000	7.0008332E-006	13	3.1786105E-001	6.7038903E+000	3.661999955656938E-001	-1.2560360E-005	-1.0399482E+000
2	1	0	1	0	5.102741184502978E+003	-7.2080052E-001	-7.2110319E-001	1.766075790618307E-002	1.000000000000000E+000	7.9358033E-006	13	3.1557506E-001	6.7038903E+000	4.161999949646997E-001	-1.2735229E-005	-1.0366783E+000
2	1	0	1	0	5.102791284502382E+003	-7.1979904E-001	-7.2009099E-001	1.751970545034950E-002	1.000000000000000E+000	8.8728166E-006	13	3.1332716E-001	6.7038903E+000	4.662999943684554E-001	-1.2615782E-005	-1.0334182E+000
2	1	0	1	0	5.102841384501764E+003	-7.1879655E-001	-7.1910352E-001	1.765686054110388E-002	1.000000000000000E+000	9.8132177E-006	13	3.1104884E-001	6.7038903E+000	5.163999937503831E-001	-1.2697111E-005	-1.0301523E+000
2	1	0	1	0	5.102891384501156E+003	-7.1779650E-001	-7.1811211E-001	1.800615155931422E-002	1.000000000000000E+000	1.0762063E-005	13	3.0876008E-001	6.7038903E+000	5.663999931421131E-001	-1.2930435E-005	-1.0268722E+000
2	1	0	1	0	5.102941484500552E+003	-7.1679497E-001	-7.1706730E-001	1.771323714035178E-002	1.000000000000000E+000	1.1715247E-005	13	3.0652934E-001	6.7038903E+000	6.164999925385928E-001	-1.2701583E-005	-1.0235966E+000
2	1	0	1	0	5.102991584499949E+003	-7.1579248E-001	-7.1607965E-001	1.787857469645565E-002	1.000000000000000E+000	1.2664491E-005	13	3.0425140E-001	6.7038903E+000	6.665999919350725E-001	-1.2802484E-005	-1.0203310E+000
2	1	0	1	0	5.103041584499340E+003	-7.1479255E-001	-7.1509022E-001	1.789935730630537E-002	1.000000000000000E+000	1.3615310E-005	13	3.0202410E-001	6.7038903E+000	7.165999913268024E-001	-1.2799655E-005	-1.0171143E+000
2	1	0	1	0	5.103091684498730E+003	-7.1379101E-001	-7.1408361E-001	1.777281462483440E-002	1.000000000000000E+000	1.4568296E-005	13	2.9981574E-001	6.7038903E+000	7.666999907160061E-001	-1.2691276E-005	-1.0138993E+000
2	1	0	1	0	5.103141784498133E+003	-7.1278858E-001	-7.1308643E-001	1.811086073414325E-002	1.000000000000000E+000	1.5525486E-005	13	2.9754838E-001	6.7038903E+000	8.167999901197618E-001	-1.2914609E-005	-1.0106348E+000
2	1	0	1	0	5.103191784497525E+003	-7.1178854E-001	-7.1209395E-001	1.797846555752958E-002	1.000000000000000E+000	1.6483194E-005	13	2.9535243E-001	6.7038903E+000	8.667999895114917E-001	-1.2802357E-005	-1.0074464E+000
2	1	0	1	0	5.103241984496912E+003	-7.1078479E-001	-7.1110183E-001	1.793606764755670E-002	1.000000000000000E+000	1.7445749E-005	13	2.9311624E-001	6.7038903E+000	9.169999888981692E-001	-1.2754371E-005	-1.0042181E+000
2	1	0	1	0	5.103292084496308E+003	-7.0978302E-001	-7.1010226E-001	1.809820341429360E-002	1.000000000000000E+000	1.8407172E-005	13	2.9090512E-001	6.7038903E+000	9.670999882946489E-001	-1.2851575E-005	-1.0010073E+000
2	1	0	1	0	5.103342284495702E+003	-7.0877904E-001	-7.0910627E-001	1.793658907744589E-002	1.000000000000000E+000	1.9370116E-005	13	2.8874466E-001	6.7038903E+000	1.017299987688602E+000	-1.2718948E-005	-9.9785089E-001
