EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 1 (SN 69763)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Safety Limits :
	Do not start on E overload
Acquisition started on :
Loaded Setting File :
Saved on :
	File :
	Directory :
	Host :
Device :
Address : USB
EC-LAB for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.801 mA.h
Battery capacity : 0.000 A.h
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Record Ece
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0.530              
vs.                 Ref                 
dE/dt               20.000              
dE/dt unit          mV/s                
E1 (V)              0.370               
vs.                 Ref                 
Step percent        50                  
N                   50                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           7                   
E2 (V)              -0.830              
vs.                 Ref                 
nc cycles           1                   
Reverse Scan        1                   
Ef (V)              -0.730              
vs.                 Ref                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	<Ece>/V	Rcmp/Ohm	step time/s	Pwe/W	Pce/W	Pwe-ce/W	Ewe-Ece/V	Rwe/Ohm	Rce/Ohm	Rwe-ce/Ohm	
2	1	0	1	0	2.840336528931293E+003	-5.2949661E-001	-5.3011632E-001	6.148492451757193E-003	1.000000000000000E+000	0.0000000E+000	11	2.6847032E-001	6.8282161E+000	0.000000000000000E+000	-3.2594162E-006	1.6506878E-006	-4.9101041E-006	-7.9858661E-001	8.6218914E+004	4.3664414E+004	1.2988332E+005
2	1	0	1	0	2.840494828927294E+003	-5.2632767E-001	-5.2689201E-001	1.501786571670605E-002	1.000000000000000E+000	2.6272128E-006	11	2.6344302E-001	6.8282104E+000	0.000000000000000E+000	-7.9127931E-006	3.9563520E-006	-1.1869145E-005	-7.9033506E-001	3.5084348E+004	1.7541975E+004	5.2626320E+004
2	1	0	1	0	2.840775928920193E+003	-5.2070540E-001	-5.2126920E-001	1.655501179505503E-002	1.000000000000000E+000	7.4506993E-006	13	2.5430328E-001	6.8282123E+000	2.810999928988167E-001	-8.6296177E-006	4.2099937E-006	-1.2839611E-005	-7.7557248E-001	3.1487094E+004	1.5361105E+004	4.6848199E+004
2	1	0	1	0	2.841026828913855E+003	-5.1568770E-001	-5.1625621E-001	1.725951673932813E-002	1.000000000000000E+000	1.1993482E-005	13	2.4604620E-001	6.8282113E+000	5.319999865605496E-001	-8.9103323E-006	4.2466386E-006	-1.3156971E-005	-7.6230240E-001	2.9911395E+004	1.4255683E+004	4.4167078E+004
2	1	0	1	0	2.841278228907504E+003	-5.1065987E-001	-5.1124710E-001	1.717724964943201E-002	1.000000000000000E+000	1.6620697E-005	13	2.3786435E-001	6.8282108E+000	7.833999802096515E-001	-8.7818189E-006	4.0858554E-006	-1.2867674E-005	-7.4911141E-001	2.9763035E+004	1.3847639E+004	4.3610676E+004
2	1	0	1	0	2.841529728901150E+003	-5.0562960E-001	-5.0621587E-001	1.735536916949692E-002	1.000000000000000E+000	2.1257150E-005	13	2.2978011E-001	6.8282113E+000	1.034899973856227E+000	-8.7855633E-006	3.9879187E-006	-1.2773482E-005	-7.3599601E-001	2.9167682E+004	1.3239713E+004	4.2407395E+004
2	1	0	1	0	2.841781128894800E+003	-5.0060195E-001	-5.0117230E-001	1.789452630894894E-002	1.000000000000000E+000	2.5982490E-005	13	2.2162852E-001	6.8282123E+000	1.286299967505329E+000	-8.9682408E-006	3.9659371E-006	-1.2934178E-005	-7.2280085E-001	2.8007018E+004	1.2385269E+004	4.0392285E+004
2	1	0	1	0	2.842032028888461E+003	-4.9558318E-001	-4.9616888E-001	1.779019240912402E-002	1.000000000000000E+000	3.0757208E-005	13	2.1350309E-001	6.8282123E+000	1.537199961167062E+000	-8.8269398E-006	3.7982611E-006	-1.2625201E-005	-7.0967197E-001	2.7890023E+004	1.2001168E+004	3.9891191E+004
2	1	0	1	0	2.842282028882146E+003	-4.9058318E-001	-4.9115282E-001	1.797875548557695E-002	1.000000000000000E+000	3.5525965E-005	13	2.0549668E-001	6.8282123E+000	1.787199954851531E+000	-8.8303168E-006	3.6945746E-006	-1.2524891E-005	-6.9664949E-001	2.7318510E+004	1.1429973E+004	3.8748484E+004
2	1	0	1	0	2.842532028875830E+003	-4.8558319E-001	-4.8617467E-001	1.814229260943215E-002	1.000000000000000E+000	4.0339717E-005	13	1.9752182E-001	6.8282123E+000	2.037199948535999E+000	-8.8203233E-006	3.5834987E-006	-1.2403822E-005	-6.8369651E-001	2.6797863E+004	1.0887368E+004	3.7685230E+004
2	1	0	1	0	2.842782028869515E+003	-4.8058319E-001	-4.8115811E-001	1.826308965271162E-002	1.000000000000000E+000	4.5187833E-005	13	1.8958671E-001	6.8282123E+000	2.287199942220468E+000	-8.7874332E-006	3.4624391E-006	-1.2249873E-005	-6.7074484E-001	2.6345932E+004	1.0380867E+004	3.6726801E+004
2	1	0	1	0	2.843032028863199E+003	-4.7558317E-001	-4.7617447E-001	1.846790336013843E-002	1.000000000000000E+000	5.0075523E-005	13	1.8169643E-001	6.8282123E+000	2.537199935904937E+000	-8.7939443E-006	3.3555521E-006	-1.2149496E-005	-6.5787089E-001	2.5783895E+004	9.8384980E+003	3.5622395E+004
2	1	0	1	0	2.843282028856884E+003	-4.7058320E-001	-4.7117516E-001	1.858648943412289E-002	1.000000000000000E+000	5.5002427E-005	13	1.7385085E-001	6.8282123E+000	2.787199929589406E+000	-8.7574927E-006	3.2312769E-006	-1.1988769E-005	-6.4502603E-001	2.5350412E+004	9.3536143E+003	3.4704027E+004
2	1	0	1	0	2.843532028850568E+003	-4.6558315E-001	-4.6618012E-001	1.874255792350279E-002	1.000000000000000E+000	5.9961352E-005	13	1.6605811E-001	6.8282123E+000	3.037199923273875E+000	-8.7374083E-006	3.1123536E-006	-1.1849762E-005	-6.3223821E-001	2.4872813E+004	8.8599492E+003	3.3732762E+004
2	1	0	1	0	2.843782028844252E+003	-4.6058318E-001	-4.6116844E-001	1.898897152915158E-002	1.000000000000000E+000	6.4972002E-005	13	1.5831438E-001	6.8282123E+000	3.287199916958343E+000	-8.7571143E-006	3.0062272E-006	-1.1763342E-005	-6.1948282E-001	2.4286119E+004	8.3371748E+003	3.2623295E+004
